RAM 2131/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,0%@102,6%@102,0%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33.5C PMIC@50C GPU@30.5C AO@42C thermal@30.25C POM_5V_IN 6889/5714 POM_5V_GPU 4436/3255 POM_5V_CPU 122/151
RAM 2131/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,0%@102,3%@102,1%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@42C thermal@31.75C POM_5V_IN 6889/5783 POM_5V_GPU 4396/3322 POM_5V_CPU 122/150
RAM 2131/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,1%@102,4%@102,2%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@32.25C POM_5V_IN 6849/5842 POM_5V_GPU 4396/3382 POM_5V_CPU 122/148
RAM 2131/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,1%@102,2%@102,1%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@31.25C POM_5V_IN 6889/5897 POM_5V_GPU 4396/3435 POM_5V_CPU 122/147
RAM 2131/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,3%@102,4%@102,3%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@42C thermal@31.25C POM_5V_IN 6971/5951 POM_5V_GPU 4396/3483 POM_5V_CPU 122/145
RAM 2131/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,2%@102,3%@102,2%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@42C thermal@31.75C POM_5V_IN 6889/5995 POM_5V_GPU 4436/3529 POM_5V_CPU 122/144
RAM 2131/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,0%@204,3%@204,3%@204] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@42C thermal@31.75C POM_5V_IN 6859/6035 POM_5V_GPU 4355/3566 POM_5V_CPU 122/143
RAM 2131/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,2%@204,3%@204,2%@204] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@31.75C POM_5V_IN 6818/6069 POM_5V_GPU 4280/3597 POM_5V_CPU 122/142
RAM 2131/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,0%@102,4%@102,1%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@30.25C POM_5V_IN 6818/6100 POM_5V_GPU 4280/3626 POM_5V_CPU 122/141
RAM 2131/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,1%@102,2%@102,2%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@41.5C thermal@31.75C POM_5V_IN 6818/6129 POM_5V_GPU 4280/3652 POM_5V_CPU 122/141
