RAM 2061/3964MB (lfb 74x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,6%@307,4%@307,16%@307] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@31.5C AO@42.5C thermal@33C POM_5V_IN 7943/7943 POM_5V_GPU 4823/4823 POM_5V_CPU 160/160
RAM 2061/3964MB (lfb 74x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,12%@307,5%@307,25%@307] EMC_FREQ 34%@1600 GR3D_FREQ 69%@921 APE 25 PLL@28C CPU@34.5C PMIC@50C GPU@32C AO@43C thermal@33.25C POM_5V_IN 7930/7936 POM_5V_GPU 4823/4823 POM_5V_CPU 161/160
RAM 2061/3964MB (lfb 74x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,8%@204,3%@204,26%@204] EMC_FREQ 42%@1600 GR3D_FREQ 89%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@33.25C POM_5V_IN 8038/7970 POM_5V_GPU 4975/4873 POM_5V_CPU 160/160
RAM 2061/3964MB (lfb 74x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,7%@204,6%@204,15%@204] EMC_FREQ 47%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 7781/7923 POM_5V_GPU 5072/4923 POM_5V_CPU 120/150
RAM 2061/3964MB (lfb 74x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,5%@102,4%@102,3%@102] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 7902/7918 POM_5V_GPU 5152/4969 POM_5V_CPU 120/144
RAM 2061/3964MB (lfb 74x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,7%@102,6%@102,5%@102] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@32.5C AO@44C thermal@33.5C POM_5V_IN 8010/7934 POM_5V_GPU 5265/5018 POM_5V_CPU 120/140
RAM 2061/3964MB (lfb 74x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,6%@102,3%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@34C POM_5V_IN 8078/7954 POM_5V_GPU 5256/5052 POM_5V_CPU 160/143
RAM 2061/3964MB (lfb 74x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,10%@102,4%@102,4%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32.5C AO@44.5C thermal@33.5C POM_5V_IN 8078/7970 POM_5V_GPU 5256/5077 POM_5V_CPU 120/140
RAM 2061/3964MB (lfb 74x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,7%@102,7%@102,2%@204] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32.5C AO@44.5C thermal@33.75C POM_5V_IN 8078/7982 POM_5V_GPU 5296/5102 POM_5V_CPU 120/137
RAM 2061/3964MB (lfb 74x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,10%@204,3%@204,2%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32.5C AO@44C thermal@33.75C POM_5V_IN 8158/7999 POM_5V_GPU 5337/5125 POM_5V_CPU 120/136
RAM 2061/3964MB (lfb 74x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,9%@204,3%@307,1%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@32.5C AO@43C thermal@33.75C POM_5V_IN 7233/7929 POM_5V_GPU 4618/5079 POM_5V_CPU 121/134
