RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,8%@102,4%@204,0%@204] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@43C thermal@33.75C POM_5V_IN 6788/6671 POM_5V_GPU 4587/4582 POM_5V_CPU 123/153
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,5%@102,2%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@32C AO@43.5C thermal@33.75C POM_5V_IN 6491/6661 POM_5V_GPU 4314/4566 POM_5V_CPU 123/151
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,6%@204,2%@204,3%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@33.75C POM_5V_IN 6491/6651 POM_5V_GPU 4273/4550 POM_5V_CPU 123/150
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,5%@102,5%@102,3%@102] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 6419/6639 POM_5V_GPU 4273/4535 POM_5V_CPU 123/148
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,7%@102,3%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 6450/6630 POM_5V_GPU 4273/4522 POM_5V_CPU 123/147
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,7%@102,3%@102,1%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32C AO@43.5C thermal@34C POM_5V_IN 6419/6619 POM_5V_GPU 4273/4510 POM_5V_CPU 123/146
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,7%@102,1%@102,2%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@34C POM_5V_IN 6017/6592 POM_5V_GPU 4197/4496 POM_5V_CPU 123/145
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,6%@204,3%@204,8%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@34C POM_5V_IN 6553/6590 POM_5V_GPU 4171/4482 POM_5V_CPU 163/145
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,4%@204,6%@204,31%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@34C POM_5V_IN 6799/6599 POM_5V_GPU 4334/4476 POM_5V_CPU 163/146
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,4%@204,4%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 6090/6579 POM_5V_GPU 4232/4466 POM_5V_CPU 123/145
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,3%@204,6%@204,1%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@32C AO@43.5C thermal@34C POM_5V_IN 6058/6559 POM_5V_GPU 4197/4456 POM_5V_CPU 123/144
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,7%@204,6%@204,2%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 6058/6540 POM_5V_GPU 4197/4446 POM_5V_CPU 123/144
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,5%@204,3%@204,7%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@31.5C AO@44C thermal@33.75C POM_5V_IN 6058/6523 POM_5V_GPU 4238/4438 POM_5V_CPU 164/144
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,3%@204,6%@204,4%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@32C AO@44C thermal@33.5C POM_5V_IN 6058/6507 POM_5V_GPU 4238/4432 POM_5V_CPU 123/143
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,3%@204,6%@204,1%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@32C AO@44C thermal@34C POM_5V_IN 6131/6494 POM_5V_GPU 4273/4426 POM_5V_CPU 123/143
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,7%@102,3%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@34C POM_5V_IN 6337/6489 POM_5V_GPU 4314/4423 POM_5V_CPU 123/142
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,6%@102,2%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@34C POM_5V_IN 6099/6477 POM_5V_GPU 4197/4416 POM_5V_CPU 123/142
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,7%@102,3%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32.5C AO@43.5C thermal@34C POM_5V_IN 6213/6469 POM_5V_GPU 4232/4410 POM_5V_CPU 123/141
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,5%@102,4%@102,5%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32.5C AO@43.5C thermal@34C POM_5V_IN 6255/6463 POM_5V_GPU 4232/4405 POM_5V_CPU 164/142
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,5%@102,3%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@34C POM_5V_IN 6296/6458 POM_5V_GPU 4355/4403 POM_5V_CPU 123/141
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,4%@102,4%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32.5C AO@44C thermal@34C POM_5V_IN 5976/6444 POM_5V_GPU 4197/4398 POM_5V_CPU 123/141
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,6%@102,2%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 6131/6436 POM_5V_GPU 4232/4393 POM_5V_CPU 123/140
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,3%@102,4%@102,3%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32.5C AO@43.5C thermal@34.25C POM_5V_IN 6099/6427 POM_5V_GPU 4197/4388 POM_5V_CPU 123/140
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@204,2%@204,7%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32.5C AO@44C thermal@34.25C POM_5V_IN 6017/6417 POM_5V_GPU 4197/4383 POM_5V_CPU 123/139
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,6%@102,2%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32.5C AO@44C thermal@34.25C POM_5V_IN 6058/6408 POM_5V_GPU 4197/4378 POM_5V_CPU 123/139
