RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,4%@204,1%@204,4%@204] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@32C POM_5V_IN 6358/6361 POM_5V_GPU 4096/3896 POM_5V_CPU 122/137
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,0%@102,4%@102] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@32C POM_5V_IN 6594/6374 POM_5V_GPU 4171/3912 POM_5V_CPU 122/136
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,5%@102,1%@102,3%@102] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41C thermal@32C POM_5V_IN 6747/6395 POM_5V_GPU 4096/3923 POM_5V_CPU 123/136
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,4%@102,0%@102,3%@102] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31C PMIC@50C GPU@29.5C AO@38.5C thermal@30.5C POM_5V_IN 4604/6301 POM_5V_GPU 2343/3839 POM_5V_CPU 125/135
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [3%@403,4%@403,3%@403,4%@403] EMC_FREQ 33%@1600 GR3D_FREQ 88%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@32C POM_5V_IN 4120/6192 POM_5V_GPU 2096/3752 POM_5V_CPU 167/137
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [2%@825,4%@825,1%@825,5%@825] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@32C POM_5V_IN 5788/6172 POM_5V_GPU 3343/3733 POM_5V_CPU 165/138
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [1%@614,4%@614,1%@614,5%@614] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41C thermal@32.25C POM_5V_IN 6399/6183 POM_5V_GPU 3932/3742 POM_5V_CPU 164/139
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,6%@102,1%@102,5%@102] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@31.75C POM_5V_IN 6481/6196 POM_5V_GPU 4055/3755 POM_5V_CPU 122/138
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,5%@204,1%@204,4%@204] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@32C POM_5V_IN 6471/6207 POM_5V_GPU 4177/3773 POM_5V_CPU 122/138
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,1%@102,5%@102] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@31C AO@42.5C thermal@32.25C POM_5V_IN 6512/6219 POM_5V_GPU 4253/3792 POM_5V_CPU 122/137
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,5%@102,2%@102,2%@102] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@42.5C thermal@30.25C POM_5V_IN 6481/6229 POM_5V_GPU 4218/3808 POM_5V_CPU 122/136
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,1%@102,2%@102] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@31C AO@42.5C thermal@32.25C POM_5V_IN 6625/6244 POM_5V_GPU 4328/3828 POM_5V_CPU 122/136
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,2%@204,5%@204,0%@204] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@31C AO@42C thermal@32.25C POM_5V_IN 6747/6262 POM_5V_GPU 4328/3846 POM_5V_CPU 122/135
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,4%@204,3%@204,0%@204] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30.5C AO@39.5C thermal@32.25C POM_5V_IN 5788/6246 POM_5V_GPU 3271/3826 POM_5V_CPU 124/135
