RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,6%@102,0%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@31C AO@40C thermal@33.5C POM_5V_IN 5200/6883 POM_5V_GPU 2999/4616 POM_5V_CPU 124/160
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,3%@102,0%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31C AO@43C thermal@33.25C POM_5V_IN 6368/6853 POM_5V_GPU 4341/4600 POM_5V_CPU 123/158
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,3%@102,2%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@44C thermal@33.25C POM_5V_IN 6900/6855 POM_5V_GPU 4851/4614 POM_5V_CPU 122/156
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,3%@204,2%@204,4%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31.5C AO@43.5C thermal@33.75C POM_5V_IN 7012/6864 POM_5V_GPU 4884/4628 POM_5V_CPU 122/154
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,2%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@32.75C POM_5V_IN 7093/6875 POM_5V_GPU 4843/4639 POM_5V_CPU 122/152
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,0%@204,0%@204,5%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33.5C POM_5V_IN 7163/6889 POM_5V_GPU 5039/4658 POM_5V_CPU 122/151
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,1%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 7082/6898 POM_5V_GPU 4965/4672 POM_5V_CPU 122/149
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@204,0%@204,4%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@33.75C POM_5V_IN 7163/6909 POM_5V_GPU 5039/4688 POM_5V_CPU 122/148
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,0%@102,6%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@33C POM_5V_IN 4764/6820 POM_5V_GPU 2670/4604 POM_5V_CPU 166/149
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,2%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@34.5C PMIC@50C GPU@31.5C AO@43.5C thermal@33.75C POM_5V_IN 6327/6800 POM_5V_GPU 4307/4592 POM_5V_CPU 123/148
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,0%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 6859/6802 POM_5V_GPU 4810/4600 POM_5V_CPU 122/147
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,0%@102,1%@102,5%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31.5C AO@44C thermal@33C POM_5V_IN 7012/6810 POM_5V_GPU 4884/4611 POM_5V_CPU 122/146
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,1%@102,2%@102,3%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 7134/6821 POM_5V_GPU 4843/4619 POM_5V_CPU 122/145
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,2%@204,1%@204,4%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@34C POM_5V_IN 7163/6833 POM_5V_GPU 5039/4633 POM_5V_CPU 122/144
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,1%@102,3%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@32.75C POM_5V_IN 7093/6842 POM_5V_GPU 4965/4644 POM_5V_CPU 122/143
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,0%@102,0%@102,3%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@33.75C POM_5V_IN 7123/6851 POM_5V_GPU 4998/4656 POM_5V_CPU 122/143
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,0%@102,1%@204,7%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@31C AO@40C thermal@33.75C POM_5V_IN 4646/6782 POM_5V_GPU 2632/4593 POM_5V_CPU 125/142
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [4%@518,1%@518,1%@518,5%@518] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@32.5C POM_5V_IN 6327/6768 POM_5V_GPU 4225/4581 POM_5V_CPU 123/142
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,0%@102,3%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@31.5C AO@44.5C thermal@32.5C POM_5V_IN 6818/6770 POM_5V_GPU 4729/4586 POM_5V_CPU 122/141
