RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,4%@102,1%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@33.75C POM_5V_IN 6971/6830 POM_5V_GPU 4851/4661 POM_5V_CPU 122/127
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,2%@204,1%@204,4%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 7052/6843 POM_5V_GPU 4925/4676 POM_5V_CPU 122/127
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,1%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 7134/6860 POM_5V_GPU 5006/4694 POM_5V_CPU 122/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,1%@204,1%@204,5%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@31C AO@43.5C thermal@33.75C POM_5V_IN 6666/6849 POM_5V_GPU 4573/4688 POM_5V_CPU 122/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,1%@102,2%@102,5%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@31C AO@40C thermal@33.75C POM_5V_IN 4604/6737 POM_5V_GPU 2628/4585 POM_5V_CPU 125/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,2%@307,1%@307,4%@307] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 7052/6752 POM_5V_GPU 4843/4597 POM_5V_CPU 162/128
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@204,2%@204,6%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@33.75C POM_5V_IN 7052/6766 POM_5V_GPU 4965/4614 POM_5V_CPU 122/127
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,1%@102,5%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 7052/6778 POM_5V_GPU 4965/4629 POM_5V_CPU 122/127
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,1%@102,5%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 7093/6791 POM_5V_GPU 4965/4643 POM_5V_CPU 122/127
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@204,1%@204,2%@204,5%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@33.75C POM_5V_IN 6859/6794 POM_5V_GPU 4769/4648 POM_5V_CPU 122/127
