RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,0%@102,4%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@41C thermal@31.75C POM_5V_IN 6594/6384 POM_5V_GPU 4259/3958 POM_5V_CPU 123/132
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,0%@102,4%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30.5C AO@40C thermal@30.75C POM_5V_IN 6532/6393 POM_5V_GPU 3903/3954 POM_5V_CPU 123/132
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@710,4%@710,0%@710,4%@710] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@29.5C AO@39.5C thermal@31.75C POM_5V_IN 5746/6357 POM_5V_GPU 3343/3920 POM_5V_CPU 165/134
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,4%@102,2%@102,4%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30C AO@41.5C thermal@29.75C POM_5V_IN 6553/6367 POM_5V_GPU 4300/3940 POM_5V_CPU 122/133
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,2%@102,4%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30C AO@40.5C thermal@32C POM_5V_IN 6747/6386 POM_5V_GPU 4334/3960 POM_5V_CPU 122/132
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,2%@204,3%@204,7%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@30.75C POM_5V_IN 5861/6361 POM_5V_GPU 3503/3938 POM_5V_CPU 123/132
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,4%@204,3%@204,4%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41C thermal@31.5C POM_5V_IN 6594/6372 POM_5V_GPU 4300/3955 POM_5V_CPU 123/131
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,3%@102,3%@102,3%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.5C POM_5V_IN 6522/6378 POM_5V_GPU 3903/3952 POM_5V_CPU 123/131
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,3%@102,4%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@29.5C AO@41.5C thermal@31C POM_5V_IN 6172/6369 POM_5V_GPU 3821/3947 POM_5V_CPU 123/131
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,2%@102,3%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@41.5C thermal@31.5C POM_5V_IN 6481/6374 POM_5V_GPU 4177/3956 POM_5V_CPU 123/130
