RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,4%@102,2%@102,3%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@32.25C POM_5V_IN 6990/6763 POM_5V_GPU 4625/4284 POM_5V_CPU 121/144
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,3%@102,2%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@42C thermal@32C POM_5V_IN 7141/6785 POM_5V_GPU 4747/4311 POM_5V_CPU 121/143
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,1%@102,2%@102,3%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@42C thermal@31.5C POM_5V_IN 7100/6803 POM_5V_GPU 4780/4337 POM_5V_CPU 121/141
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,2%@102,4%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@32.25C POM_5V_IN 7060/6816 POM_5V_GPU 4739/4359 POM_5V_CPU 121/140
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,3%@204,6%@204,3%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@42C thermal@32.25C POM_5V_IN 7030/6827 POM_5V_GPU 4625/4372 POM_5V_CPU 121/139
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,1%@102,3%@102,4%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@31C AO@42C thermal@32.25C POM_5V_IN 7071/6839 POM_5V_GPU 4592/4382 POM_5V_CPU 121/138
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,2%@102,2%@102,4%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@31C AO@42.5C thermal@31C POM_5V_IN 6990/6845 POM_5V_GPU 4666/4395 POM_5V_CPU 121/138
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,3%@204,3%@204,3%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@39.5C thermal@32.5C POM_5V_IN 6081/6812 POM_5V_GPU 3662/4363 POM_5V_CPU 123/137
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,3%@102,5%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@30C AO@38C thermal@32.5C POM_5V_IN 4715/6725 POM_5V_GPU 2420/4282 POM_5V_CPU 125/136
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,2%@102,4%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30C AO@40.5C thermal@32.5C POM_5V_IN 5729/6685 POM_5V_GPU 3539/4253 POM_5V_CPU 123/136
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,2%@102,1%@102,6%@102] EMC_FREQ 34%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@31.75C POM_5V_IN 6533/6679 POM_5V_GPU 4239/4252 POM_5V_CPU 122/135
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,2%@102,4%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@31C AO@41.5C thermal@32.5C POM_5V_IN 6878/6686 POM_5V_GPU 4511/4262 POM_5V_CPU 121/135
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,2%@102,3%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@42C thermal@32.5C POM_5V_IN 7071/6700 POM_5V_GPU 4625/4275 POM_5V_CPU 121/134
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,1%@204,1%@204,4%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@31C AO@43C thermal@30.75C POM_5V_IN 7100/6714 POM_5V_GPU 4780/4292 POM_5V_CPU 121/134
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,2%@102,4%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@31C AO@42.5C thermal@32.5C POM_5V_IN 7100/6727 POM_5V_GPU 4739/4307 POM_5V_CPU 121/133
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,1%@102,4%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@31C AO@42.5C thermal@32.5C POM_5V_IN 7060/6737 POM_5V_GPU 4699/4319 POM_5V_CPU 121/133
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,1%@204,3%@204,2%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@31C AO@42C thermal@32.5C POM_5V_IN 6949/6744 POM_5V_GPU 4585/4328 POM_5V_CPU 121/133
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,2%@102,5%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@31C AO@42.5C thermal@32.25C POM_5V_IN 7019/6752 POM_5V_GPU 4739/4340 POM_5V_CPU 121/132
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,1%@102,2%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31C AO@42.5C thermal@31.75C POM_5V_IN 6990/6759 POM_5V_GPU 4666/4350 POM_5V_CPU 121/132
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,5%@204,2%@204,4%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@31C AO@40.5C thermal@33C POM_5V_IN 6461/6751 POM_5V_GPU 3932/4338 POM_5V_CPU 123/132
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,1%@102,5%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@30C AO@38.5C thermal@32.75C POM_5V_IN 4833/6698 POM_5V_GPU 2541/4288 POM_5V_CPU 125/131
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@204,1%@204,4%@204] EMC_FREQ 35%@1600 GR3D_FREQ 90%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30C AO@41C thermal@30.75C POM_5V_IN 5614/6668 POM_5V_GPU 3497/4266 POM_5V_CPU 164/132
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,1%@102,4%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@31C AO@41.5C thermal@32.75C POM_5V_IN 6573/6666 POM_5V_GPU 4246/4266 POM_5V_CPU 122/132
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,2%@204,1%@204,3%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@31C AO@42C thermal@32.75C POM_5V_IN 6908/6672 POM_5V_GPU 4585/4274 POM_5V_CPU 121/132
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,1%@102,3%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@42.5C thermal@32.75C POM_5V_IN 7100/6683 POM_5V_GPU 4739/4286 POM_5V_CPU 121/131
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,0%@102,5%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31C AO@42.5C thermal@32.75C POM_5V_IN 7100/6693 POM_5V_GPU 4780/4298 POM_5V_CPU 121/131
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,3%@102,3%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31C AO@43C thermal@32.75C POM_5V_IN 7100/6702 POM_5V_GPU 4739/4308 POM_5V_CPU 121/131
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,5%@204,1%@204,4%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@42.5C thermal@32.75C POM_5V_IN 7060/6711 POM_5V_GPU 4699/4317 POM_5V_CPU 121/131
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,3%@102,4%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@42.5C thermal@32.75C POM_5V_IN 7030/6718 POM_5V_GPU 4625/4324 POM_5V_CPU 162/131
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,2%@102,3%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@42.5C thermal@31.5C POM_5V_IN 7060/6726 POM_5V_GPU 4747/4334 POM_5V_CPU 121/131
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@204,1%@204,3%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31.5C AO@43C thermal@32.75C POM_5V_IN 6990/6731 POM_5V_GPU 4666/4341 POM_5V_CPU 121/131
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,2%@102,2%@102,5%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@31C AO@40.5C thermal@33C POM_5V_IN 6348/6723 POM_5V_GPU 3774/4329 POM_5V_CPU 123/131
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,1%@102,4%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30C AO@38.5C thermal@32C POM_5V_IN 4715/6681 POM_5V_GPU 2420/4289 POM_5V_CPU 125/131
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,1%@102,4%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@32.75C POM_5V_IN 5852/6664 POM_5V_GPU 3539/4274 POM_5V_CPU 164/131
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,1%@102,3%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@31C AO@42C thermal@33.25C POM_5V_IN 6573/6663 POM_5V_GPU 4280/4274 POM_5V_CPU 122/131
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,2%@102,4%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31C AO@42.5C thermal@32.75C POM_5V_IN 6878/6667 POM_5V_GPU 4551/4279 POM_5V_CPU 121/131
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,2%@102,3%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31.5C AO@42.5C thermal@31.75C POM_5V_IN 7030/6674 POM_5V_GPU 4625/4286 POM_5V_CPU 121/131
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,3%@204,1%@204,5%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@43C thermal@33.25C POM_5V_IN 7141/6683 POM_5V_GPU 4780/4295 POM_5V_CPU 121/130
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,2%@102,2%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@33.25C POM_5V_IN 7141/6691 POM_5V_GPU 4780/4304 POM_5V_CPU 121/130
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,0%@102,2%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@43C thermal@33C POM_5V_IN 7060/6698 POM_5V_GPU 4699/4311 POM_5V_CPU 121/130
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,2%@102,5%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@43C thermal@33C POM_5V_IN 6990/6703 POM_5V_GPU 4625/4317 POM_5V_CPU 121/130
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,1%@102,3%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31.5C AO@43C thermal@33C POM_5V_IN 7060/6709 POM_5V_GPU 4739/4324 POM_5V_CPU 121/130
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,1%@102,3%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31.5C AO@43C thermal@33.25C POM_5V_IN 6990/6714 POM_5V_GPU 4666/4330 POM_5V_CPU 121/130
RAM 2150/3964MB (lfb 75x4MB) SWAP 440/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,3%@204,1%@204,4%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@31.5C AO@40.5C thermal@33C POM_5V_IN 6235/6706 POM_5V_GPU 3780/4321 POM_5V_CPU 123/129
