RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,1%@102,0%@102,3%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@31.5C AO@44C thermal@32.75C POM_5V_IN 8010/7312 POM_5V_GPU 5152/4532 POM_5V_CPU 120/126
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,0%@102,2%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@33.25C POM_5V_IN 7943/7349 POM_5V_GPU 5112/4566 POM_5V_CPU 120/126
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,1%@102,2%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@32C AO@43.5C thermal@33.25C POM_5V_IN 7943/7382 POM_5V_GPU 5112/4596 POM_5V_CPU 120/125
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,0%@102,3%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@31.5C AO@44C thermal@33.5C POM_5V_IN 8023/7416 POM_5V_GPU 5152/4626 POM_5V_CPU 120/125
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,2%@102,2%@102,1%@102] EMC_FREQ 57%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@32.75C POM_5V_IN 8118/7451 POM_5V_GPU 5136/4651 POM_5V_CPU 200/129
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,3%@204,23%@204,4%@204] EMC_FREQ 57%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@33.5C POM_5V_IN 8386/7495 POM_5V_GPU 5080/4671 POM_5V_CPU 160/130
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,3%@307,25%@307,5%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 8453/7539 POM_5V_GPU 5120/4692 POM_5V_CPU 160/131
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,3%@307,20%@307,4%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@33.25C POM_5V_IN 8493/7580 POM_5V_GPU 5160/4712 POM_5V_CPU 160/133
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,0%@307,1%@307,5%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@33.5C POM_5V_IN 8010/7598 POM_5V_GPU 5144/4730 POM_5V_CPU 161/134
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,2%@307,1%@307,5%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44C thermal@34C POM_5V_IN 8051/7616 POM_5V_GPU 5184/4748 POM_5V_CPU 161/135
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,1%@307,1%@307,6%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44C thermal@34C POM_5V_IN 8010/7631 POM_5V_GPU 5144/4763 POM_5V_CPU 161/136
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,2%@307,1%@307,4%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 8131/7650 POM_5V_GPU 5224/4780 POM_5V_CPU 160/137
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@518,1%@518,5%@518] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@32.5C POM_5V_IN 8091/7666 POM_5V_GPU 5224/4796 POM_5V_CPU 160/138
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,1%@307,3%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44C thermal@33.75C POM_5V_IN 7943/7675 POM_5V_GPU 5112/4807 POM_5V_CPU 161/138
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,1%@307,1%@307,4%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@33.75C POM_5V_IN 7902/7683 POM_5V_GPU 5032/4815 POM_5V_CPU 161/139
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,1%@307,6%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@34.25C POM_5V_IN 7725/7684 POM_5V_GPU 4919/4818 POM_5V_CPU 161/140
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,3%@307,1%@307,5%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@33.5C POM_5V_IN 7535/7679 POM_5V_GPU 4772/4817 POM_5V_CPU 161/140
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,1%@307,5%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@34.25C POM_5V_IN 7303/7668 POM_5V_GPU 4618/4811 POM_5V_CPU 162/141
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,2%@307,0%@307,6%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@34C POM_5V_IN 7012/7649 POM_5V_GPU 4389/4798 POM_5V_CPU 162/142
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,2%@307,1%@307,4%@307] EMC_FREQ 56%@1600 GR3D_FREQ 64%@921 APE 25 PLL@29C CPU@35.5C PMIC@50C GPU@31C AO@43.5C thermal@33.5C POM_5V_IN 6706/7622 POM_5V_GPU 4158/4780 POM_5V_CPU 163/142
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,2%@307,1%@307,5%@403] EMC_FREQ 56%@1600 GR3D_FREQ 84%@921 APE 25 PLL@29C CPU@34.5C PMIC@50C GPU@31.5C AO@42C thermal@33.5C POM_5V_IN 5820/7572 POM_5V_GPU 3456/4743 POM_5V_CPU 205/144
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [0%@307,3%@307,1%@307,5%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29.5C CPU@35C PMIC@50C GPU@32C AO@41.5C thermal@34C POM_5V_IN 6327/7538 POM_5V_GPU 3574/4711 POM_5V_CPU 164/145
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,1%@307,2%@307,3%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29.5C CPU@34.5C PMIC@50C GPU@32C AO@41.5C thermal@34.25C POM_5V_IN 6758/7518 POM_5V_GPU 3932/4691 POM_5V_CPU 164/145
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,1%@307,4%@307] EMC_FREQ 57%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@35C PMIC@50C GPU@32.5C AO@42.5C thermal@34.25C POM_5V_IN 7396/7514 POM_5V_GPU 4429/4684 POM_5V_CPU 162/145
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,0%@307,2%@307,4%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@32.75C POM_5V_IN 8010/7527 POM_5V_GPU 5112/4695 POM_5V_CPU 161/146
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,2%@307,0%@307,4%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 8010/7539 POM_5V_GPU 5144/4706 POM_5V_CPU 161/146
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,1%@307,5%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34C POM_5V_IN 8010/7550 POM_5V_GPU 5104/4715 POM_5V_CPU 161/147
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,2%@307,1%@307,5%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 8010/7560 POM_5V_GPU 5144/4725 POM_5V_CPU 161/147
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,3%@307,0%@307,4%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@33.75C POM_5V_IN 7983/7570 POM_5V_GPU 5112/4734 POM_5V_CPU 161/147
RAM 1902/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,3%@307,1%@307,3%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 8051/7581 POM_5V_GPU 5104/4742 POM_5V_CPU 161/147
RAM 1903/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,1%@307,3%@307,6%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29.5C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34.25C POM_5V_IN 8091/7592 POM_5V_GPU 5184/4752 POM_5V_CPU 160/148
RAM 1903/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,2%@307,0%@307,5%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@37C PMIC@50C GPU@32.5C AO@45C thermal@34.75C POM_5V_IN 8051/7602 POM_5V_GPU 5184/4761 POM_5V_CPU 160/148
RAM 1903/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,1%@307,3%@307,4%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@33.5C POM_5V_IN 8051/7611 POM_5V_GPU 5144/4769 POM_5V_CPU 161/148
RAM 1903/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [0%@307,3%@307,1%@307,5%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29.5C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34.25C POM_5V_IN 8051/7620 POM_5V_GPU 5184/4777 POM_5V_CPU 161/148
RAM 1903/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,1%@307,1%@307,4%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36C PMIC@50C GPU@33C AO@45C thermal@34.5C POM_5V_IN 8091/7629 POM_5V_GPU 5184/4786 POM_5V_CPU 160/149
RAM 1903/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,6%@307,1%@307,4%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29.5C CPU@37C PMIC@50C GPU@32.5C AO@45C thermal@34.5C POM_5V_IN 8131/7639 POM_5V_GPU 5184/4793 POM_5V_CPU 160/149
RAM 1903/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,1%@307,4%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29.5C CPU@37C PMIC@50C GPU@32.5C AO@45C thermal@33.75C POM_5V_IN 8051/7647 POM_5V_GPU 5184/4801 POM_5V_CPU 160/149
RAM 1903/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,1%@307,1%@307,4%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@37C PMIC@50C GPU@32.5C AO@45C thermal@34.75C POM_5V_IN 7902/7652 POM_5V_GPU 5072/4806 POM_5V_CPU 161/149
RAM 1903/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,0%@204,1%@204,5%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29.5C CPU@36.5C PMIC@50C GPU@33C AO@45C thermal@34.75C POM_5V_IN 7902/7656 POM_5V_GPU 5112/4812 POM_5V_CPU 161/150
RAM 1903/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,1%@307,4%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29.5C CPU@36.5C PMIC@50C GPU@33C AO@45C thermal@34.5C POM_5V_IN 7834/7660 POM_5V_GPU 5040/4816 POM_5V_CPU 161/150
RAM 1903/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,3%@307,2%@307,5%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29.5C CPU@36.5C PMIC@50C GPU@33C AO@45C thermal@34.25C POM_5V_IN 7725/7661 POM_5V_GPU 4919/4818 POM_5V_CPU 161/150
RAM 1903/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,0%@307,1%@307,5%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34.25C POM_5V_IN 7563/7659 POM_5V_GPU 4813/4817 POM_5V_CPU 161/150
RAM 1903/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,2%@307,2%@307,4%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36C PMIC@50C GPU@32.5C AO@44.5C thermal@34.5C POM_5V_IN 7233/7652 POM_5V_GPU 4544/4813 POM_5V_CPU 162/150
RAM 1903/3964MB (lfb 65x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,3%@307,1%@307,5%@307] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29.5C CPU@36C PMIC@50C GPU@32.5C AO@44C thermal@34.75C POM_5V_IN 7012/7641 POM_5V_GPU 4355/4805 POM_5V_CPU 162/150
