Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_PLL,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L5_F128_K1x1_3_K4x4_2_W70,5,7567370,2869806858,ConvNet,70,1846.0,315.0,0.0,9.432203389830509,85.37288135593221,22.71186440677966,25.0,50.0,39.13636363636363,30.23404255319149,5621.457627118644,3447.627118644068,167.10169491525423,25.764705882352946,28.64,31.607142857142858,331666.0,203410.0,9859.0,1246.0,46.255416870117095,163.25040128410916,7.912520064205458
convnet_L5_F128_K1x1_3_K4x4_2_W80,5,9589770,3727017738,ConvNet,80,1854.71186440678,315.0,0.0,8.677966101694915,93.40677966101696,23.322033898305083,25.0,50.0,39.37096774193548,30.34722222222222,5847.932203389831,3569.0677966101694,170.03389830508473,25.88235294117647,28.933333333333334,31.61111111111111,345028.0,210575.0,10032.0,998.0,59.2170643806457,210.996993987976,10.052104208416834
convnet_L5_F128_K1x1_3_K4x4_2_W90,5,11868170,4696100618,ConvNet,90,1867.71186440678,315.0,0.0,7.555084745762712,91.66101694915254,24.30508474576272,25.0,50.0,39.8125,30.671875,6028.677966101695,3779.830508474576,145.57627118644066,25.933333333333334,29.13043478260869,31.96551724137931,355692.0,223010.0,8589.0,811.0,73.49389314651481,274.98150431565966,10.590628853267573
convnet_L5_F128_K1x1_3_K4x4_2_W100,5,14402570,5777055498,ConvNet,100,1883.033898305085,315.0,0.0,6.521186440677966,92.55932203389833,25.11864406779661,25.0,50.0,39.94736842105263,30.547619047619047,5975.8983050847455,3713.084745762712,151.47457627118644,25.93548387096774,29.08,31.96153846153846,352578.0,219072.0,8937.0,679.0,88.4534454345703,322.63917525773195,13.1620029455081
convnet_L5_F128_K1x1_3_K5x5_2_W40,5,3110922,1372545034,ConvNet,40,1818.7966101694915,315.0,0.0,11.55084745762712,81.16949152542372,17.47457627118644,25.0,50.0,39.67142857142857,30.625,5638.152542372882,3510.898305084746,215.8813559322033,25.97222222222222,29.08333333333333,32.142857142857146,332651.0,207143.0,12737.0,2704.0,23.694953918457,76.60613905325444,4.71042899408284
convnet_L5_F128_K1x1_3_K5x5_2_W50,5,4314122,2142782474,ConvNet,50,1824.5762711864409,315.0,0.0,9.567796610169491,82.64406779661017,18.406779661016948,25.0,50.0,40.10714285714285,30.392857142857142,5753.762711864407,3650.9661016949153,179.66101694915255,25.953488372093023,29.0,32.04761904761905,339472.0,215407.0,10600.0,1861.0,32.2762775421142,115.74798495432564,5.6958624395486295
convnet_L5_F128_K1x1_3_K5x5_2_W60,5,5773322,3083874314,ConvNet,60,1836.0,315.0,0.0,9.70689655172414,82.84482758620689,13.362068965517242,25.0,50.0,40.0,30.61184210526316,5666.206896551724,3742.413793103448,168.44827586206895,25.77142857142857,29.08333333333333,32.24,328640.0,217060.0,9770.0,1318.0,44.888772964477496,164.68892261001517,7.412746585735964
convnet_L5_F128_K1x1_3_K5x5_2_W70,5,7488522,4195820554,ConvNet,70,1845.0169491525423,315.0,0.0,8.322033898305085,86.84745762711864,20.338983050847457,25.0,50.0,40.385714285714286,30.90625,6022.813559322034,3876.6101694915255,162.77966101694915,25.95238095238096,29.633333333333333,32.46153846153846,355346.0,228720.0,9604.0,988.0,62.8437542915344,231.49797570850205,9.720647773279351
convnet_L5_F128_K1x1_3_K5x5_2_W80,5,9459722,5478621194,ConvNet,80,1856.0677966101696,315.0,0.0,6.906779661016949,86.27118644067797,20.1864406779661,25.0,50.0,40.61111111111112,30.68125,5902.406779661017,3813.084745762712,157.76271186440678,26.0,29.19047619047619,32.21875,348242.0,224972.0,9308.0,789.0,75.88640451431269,285.1356147021546,11.79721166032953
convnet_L5_F128_K1x1_3_K5x5_2_W90,5,11686922,6932276234,ConvNet,90,1866.050847457627,315.0,0.0,6.190677966101695,91.08474576271186,20.38983050847457,25.0,50.0,40.4,30.916666666666668,6004.576271186441,3884.0,148.03389830508473,26.0,29.5,32.52,354270.0,229156.0,8734.0,632.0,93.9925265312194,362.5886075949367,13.819620253164556
convnet_L5_F128_K1x1_3_K5x5_2_W100,5,14170122,8556785674,ConvNet,100,1882.033898305085,315.0,0.0,5.7923728813559325,91.79661016949152,22.372881355932204,25.0,50.0,41.274193548387096,31.154255319148938,6333.966101694915,4166.118644067797,141.03389830508473,26.375,29.727272727272727,32.93333333333333,373704.0,245801.0,8321.0,516.0,115.817551612854,476.3585271317829,16.125968992248062
convnet_L5_F128_K1x1_3_K6x6_2_W40,5,3261450,1806334730,ConvNet,40,1820.71186440678,315.0,0.0,10.872881355932204,84.47457627118644,14.440677966101696,25.0,50.0,40.614285714285714,31.03125,5690.779661016949,3685.372881355932,195.2542372881356,26.041666666666668,29.46153846153846,32.75,335756.0,217437.0,11520.0,2213.0,26.6729831695556,98.2544057840036,5.205603253502034
convnet_L5_F128_K1x1_3_K6x6_2_W50,5,4413450,2864536330,ConvNet,50,1826.0169491525423,315.0,0.0,10.254237288135592,82.76271186440678,14.627118644067796,25.0,50.0,40.5,30.789772727272727,5674.440677966101,3683.813559322034,179.96610169491527,26.0,29.307692307692307,32.035714285714285,334792.0,217345.0,10618.0,1428.0,41.6206836700439,152.20238095238096,7.435574229691877
convnet_L5_F128_K1x1_3_K6x6_2_W60,5,5821450,4165681930,ConvNet,60,1836.0,315.0,0.0,8.228813559322035,83.88135593220339,15.88135593220339,25.0,50.0,40.85714285714285,31.08888888888889,5954.627118644068,3978.186440677966,153.33898305084745,25.96153846153846,29.62962962962963,32.51724137931034,351323.0,234713.0,9047.0,1017.0,58.5135793685913,230.78957718780728,8.895771878072763
convnet_L5_F128_K1x1_3_K6x6_2_W70,5,7485450,5709771530,ConvNet,70,1843.2033898305085,315.0,0.0,7.012711864406779,87.52542372881356,16.54237288135593,25.0,50.0,41.04545454545455,31.24019607843137,6106.406779661017,4099.067796610169,142.74576271186442,26.47058823529412,29.75862068965517,32.935483870967744,360278.0,241845.0,8422.0,777.0,77.0511722564697,311.25482625482624,10.83912483912484
convnet_L5_F128_K1x1_3_K6x6_2_W80,5,9405450,7496805130,ConvNet,80,1857.033898305085,315.0,0.0,5.932203389830509,89.54237288135593,12.627118644067796,25.0,50.0,41.64705882352941,31.46590909090909,6063.406779661017,4138.542372881356,150.05084745762713,26.4,29.846153846153847,33.266666666666666,357741.0,244174.0,8853.0,629.0,95.2248001098632,388.1939586645469,14.074721780604133
convnet_L5_F128_K1x1_3_K6x6_2_W90,5,11581450,9526782730,ConvNet,90,1866.881355932204,315.0,0.0,5.402542372881356,93.03389830508476,18.406779661016948,25.0,50.0,41.75,31.670454545454547,6328.186440677966,4236.745762711865,140.33898305084745,26.61764705882353,30.04,33.37931034482759,373363.0,249968.0,8280.0,490.0,122.4342012405395,510.1387755102041,16.897959183673468
convnet_L5_F128_K1x1_3_K6x6_2_W100,5,14013450,11799704330,ConvNet,100,1882.0169491525423,315.0,0.0,4.665254237288136,91.864406779661,18.728813559322035,25.0,50.0,41.58108108108108,31.445121951219512,6394.71186440678,4307.084745762712,141.23728813559322,26.59375,29.82608695652174,33.4,377288.0,254118.0,8333.0,400.0,149.2489695549011,635.295,20.8325
convnet_L5_F128_K1x1_3_K7x7_2_W30,5,2642954,1201632266,ConvNet,30,1569.0,315.0,0.0,11.90677966101695,79.22033898305085,10.694915254237287,25.0,50.0,40.472972972972975,30.76851851851852,5411.71186440678,3568.338983050848,173.84745762711864,26.666666666666668,29.285714285714285,32.45454545454545,319291.0,210532.0,10257.0,2924.0,22.494661808013905,72.00136798905609,3.5078659370725034
convnet_L5_F128_K1x1_3_K7x7_2_W40,5,3487754,2253080586,ConvNet,40,1824.0,315.0,0.0,9.77542372881356,83.7457627118644,12.440677966101696,25.0,50.0,40.9375,31.06914893617021,5938.135593220339,3965.508474576271,175.1864406779661,26.24242424242424,29.52,32.958333333333336,350350.0,233965.0,10336.0,1828.0,31.969327926635696,127.98960612691468,5.654266958424508
convnet_L5_F128_K1x1_3_K7x7_2_W50,5,4588554,3632669706,ConvNet,50,1828.542372881356,315.0,0.0,9.59322033898305,83.08474576271186,12.677966101694915,25.0,50.0,41.06410256410256,31.282608695652176,5836.203389830508,3933.8813559322034,167.4406779661017,26.045454545454547,29.703703703703702,32.85294117647059,344336.0,232099.0,9879.0,1197.0,49.4711995124816,193.90058479532163,8.253132832080201
convnet_L5_F128_K1x1_3_K7x7_2_W60,5,5945354,5340399626,ConvNet,60,1835.3275862068965,315.0,0.0,7.383620689655173,88.56896551724138,13.810344827586206,25.0,50.0,41.7,31.377659574468087,6091.551724137931,4143.758620689655,141.6206896551724,26.166666666666668,29.794117647058822,33.03225806451613,353310.0,240338.0,8214.0,851.0,69.669280052185,282.4183313748531,9.652173913043478
convnet_L5_F128_K1x1_3_K7x7_2_W70,5,7558154,7376270346,ConvNet,70,1845.8983050847453,315.0,0.0,6.309322033898305,91.84745762711864,14.542372881355933,25.0,50.0,42.26470588235294,31.81770833333333,6392.508474576272,4403.847457627118,137.4406779661017,26.5625,30.185185185185187,33.529411764705884,377158.0,259827.0,8109.0,638.0,93.10713529586788,407.2523510971787,12.710031347962383
convnet_L5_F128_K1x1_3_K7x7_2_W80,5,9426954,9740281866,ConvNet,80,1853.966101694916,315.0,0.0,5.288135593220339,92.30508474576273,10.694915254237287,25.0,50.0,42.46666666666667,31.99375,6345.745762711865,4470.050847457627,131.1864406779661,26.694444444444443,30.321428571428573,34.0,374399.0,263733.0,7740.0,509.0,117.3694801330566,518.139489194499,15.206286836935169
