RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,3%@102,4%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@33C PMIC@50C GPU@29C AO@41C thermal@30.75C POM_5V_IN 7134/6458 POM_5V_GPU 5006/4197 POM_5V_CPU 122/157
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,0%@102,2%@102] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@28.5C AO@39C thermal@30.75C POM_5V_IN 5515/6403 POM_5V_GPU 3514/4157 POM_5V_CPU 124/155
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,1%@102,2%@102,1%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32.5C PMIC@50C GPU@29C AO@39.5C thermal@31C POM_5V_IN 7063/6440 POM_5V_GPU 4695/4187 POM_5V_CPU 122/154
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,1%@102,1%@102,5%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32.5C PMIC@50C GPU@29C AO@40.5C thermal@31C POM_5V_IN 7052/6472 POM_5V_GPU 4965/4227 POM_5V_CPU 122/152
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,5%@102,2%@102,6%@102] EMC_FREQ 24%@1600 GR3D_FREQ 56%@921 APE 25 PLL@25C CPU@31C PMIC@50C GPU@28.5C AO@38.5C thermal@31C POM_5V_IN 4999/6398 POM_5V_GPU 3156/4174 POM_5V_CPU 124/150
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,0%@102,1%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33C PMIC@50C GPU@29.5C AO@40C thermal@30.5C POM_5V_IN 7355/6444 POM_5V_GPU 5193/4222 POM_5V_CPU 122/149
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,4%@102,1%@102,3%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@33C PMIC@50C GPU@29.5C AO@41C thermal@28.75C POM_5V_IN 7023/6470 POM_5V_GPU 4973/4256 POM_5V_CPU 122/148
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,2%@204,0%@204,3%@204] EMC_FREQ 24%@1600 GR3D_FREQ 57%@921 APE 25 PLL@25C CPU@31C PMIC@50C GPU@27.5C AO@38C thermal@28.75C POM_5V_IN 4562/6387 POM_5V_GPU 2670/4187 POM_5V_CPU 124/147
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@204,0%@204,2%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33.5C PMIC@50C GPU@29.5C AO@41C thermal@28.75C POM_5V_IN 7315/6426 POM_5V_GPU 5201/4230 POM_5V_CPU 121/146
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@204,0%@204,3%@204] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@29.5C POM_5V_IN 7012/6449 POM_5V_GPU 4925/4257 POM_5V_CPU 122/145
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,3%@307,1%@307,4%@403] EMC_FREQ 24%@1600 GR3D_FREQ 70%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@28C AO@36C thermal@30.25C POM_5V_IN 4042/6356 POM_5V_GPU 1976/4170 POM_5V_CPU 125/144
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,0%@102,2%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33C PMIC@50C GPU@29.5C AO@41.5C thermal@31.5C POM_5V_IN 7315/6392 POM_5V_GPU 5234/4209 POM_5V_CPU 121/143
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,2%@102,0%@102,3%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33C PMIC@50C GPU@29C AO@41C thermal@31.5C POM_5V_IN 6982/6413 POM_5V_GPU 4810/4231 POM_5V_CPU 122/142
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,5%@102,0%@102,1%@102] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28C AO@36C thermal@31.25C POM_5V_IN 4126/6334 POM_5V_GPU 1979/4153 POM_5V_CPU 126/142
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,2%@204,0%@204,2%@204] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33.5C PMIC@50C GPU@29.5C AO@41C thermal@31.5C POM_5V_IN 7315/6367 POM_5V_GPU 5193/4188 POM_5V_CPU 121/141
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,2%@102,0%@102,5%@204] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33C PMIC@50C GPU@29C AO@40.5C thermal@31.5C POM_5V_IN 6829/6382 POM_5V_GPU 4736/4205 POM_5V_CPU 122/140
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,2%@102,3%@204,0%@204] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28.5C AO@36.5C thermal@31.25C POM_5V_IN 4324/6317 POM_5V_GPU 2183/4142 POM_5V_CPU 126/140
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,3%@204,1%@204,2%@204] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33.5C PMIC@50C GPU@29.5C AO@41.5C thermal@31.5C POM_5V_IN 7274/6346 POM_5V_GPU 5201/4174 POM_5V_CPU 121/139
RAM 2370/3964MB (lfb 74x4MB) SWAP 373/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,2%@204,0%@204,5%@204] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@31.25C POM_5V_IN 6788/6359 POM_5V_GPU 4654/4188 POM_5V_CPU 163/140
