RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,4%@102,0%@102] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42C thermal@30.75C POM_5V_IN 7862/7615 POM_5V_GPU 5112/4810 POM_5V_CPU 161/131
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,1%@204,1%@204,0%@204] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@32C PMIC@50C GPU@29.5C AO@38.5C thermal@30.25C POM_5V_IN 6378/7542 POM_5V_GPU 3662/4742 POM_5V_CPU 123/130
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@518,0%@518,4%@518,1%@518] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30.5C AO@42C thermal@30.25C POM_5V_IN 7902/7562 POM_5V_GPU 5072/4760 POM_5V_CPU 161/132
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,3%@307,3%@307,0%@307] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30.5C AO@39C thermal@30.75C POM_5V_IN 6450/7503 POM_5V_GPU 3739/4707 POM_5V_CPU 164/133
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,0%@307,3%@307,2%@307] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@30.75C POM_5V_IN 7834/7520 POM_5V_GPU 5040/4723 POM_5V_CPU 161/135
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,3%@307,0%@307] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@39.5C thermal@31C POM_5V_IN 6799/7486 POM_5V_GPU 4014/4690 POM_5V_CPU 164/136
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@518,0%@518,2%@518,1%@518] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42C thermal@31.5C POM_5V_IN 7725/7496 POM_5V_GPU 4926/4700 POM_5V_CPU 161/137
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@518,3%@518,5%@518,1%@518] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@31C AO@40.5C thermal@31.5C POM_5V_IN 7766/7508 POM_5V_GPU 4780/4704 POM_5V_CPU 121/137
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@518,1%@518,3%@518,0%@518] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@42C thermal@32.25C POM_5V_IN 7575/7511 POM_5V_GPU 4813/4708 POM_5V_CPU 161/138
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,3%@307,1%@307] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@31C AO@41C thermal@32.5C POM_5V_IN 8144/7536 POM_5V_GPU 5080/4723 POM_5V_CPU 161/138
