Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PLL,Avrg_PMIC,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_CPU_TEMP,Avrg_GPU_TEMP,Avrg_AO,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L2_F128_K1x1_1_K3x3_1_W80,2,8754826,1004404234,ConvNet,80,1858.033898305085,214.0,0.0,11.05084745762712,77.22033898305085,29.52542372881356,25.0,22.818181818181817,50.0,26.307692307692307,4634.28813559322,2384.322033898305,170.6271186440678,27.44117647058824,25.161290322580644,33.766666666666666,273423.0,140675.0,10067.0,2616,25.6483554840087,53.774847094801224,3.848241590214067
convnet_L2_F128_K1x1_1_K3x3_1_W85,2,9836426,1130626954,ConvNet,85,1865.0,214.0,0.0,10.559322033898304,76.38983050847457,44.69491525423729,25.0,23.5,50.0,26.92361111111111,4944.762711864407,2300.2203389830506,160.16949152542372,28.0,25.916666666666668,34.224137931034484,291741.0,135713.0,9450.0,2058,27.17214345932,65.944120505345,4.591836734693878
convnet_L2_F128_K1x1_1_K3x3_1_W90,2,10982026,1264318474,ConvNet,90,1867.9661016949156,214.0,0.0,9.60593220338983,79.7457627118644,47.3728813559322,25.0,24.0,50.0,27.46195652173913,5099.152542372882,2387.0169491525426,161.4915254237288,28.33333333333333,26.59259259259259,34.706896551724135,300850.0,140834.0,9528.0,1949,30.630857944488497,72.25962031811186,4.88866085171883
convnet_L2_F128_K1x1_1_K3x3_1_W95,2,12191626,1405478794,ConvNet,95,1874.949152542373,214.0,0.0,8.389830508474576,84.15254237288136,46.983050847457626,25.0,24.11111111111111,50.0,27.520408163265305,5080.8983050847455,2350.694915254237,152.5084745762712,28.60606060606061,26.914285714285715,35.15714285714286,299773.0,138691.0,8998.0,1691,35.738620758056605,82.01714961561207,5.321111768184506
convnet_L2_F128_K1x1_1_K3x3_1_W100,2,13465226,1554107914,ConvNet,100,1881.6101694915253,214.0,0.0,9.23728813559322,81.54237288135593,29.67796610169492,25.0,21.2,50.0,24.371951219512194,4537.406779661017,2302.830508474576,156.3050847457627,25.22222222222222,23.433333333333334,31.53703703703704,267707.0,135867.0,9222.0,1802,36.1517643928527,75.39789123196448,5.117647058823529
convnet_L2_F128_K1x1_1_K4x4_1_W65,2,5838474,1150330890,ConvNet,65,1836.0,214.0,0.0,10.89406779661017,75.45762711864407,11.966101694915254,25.0,24.96551724137931,50.0,28.588541666666668,4811.677966101695,2925.0169491525426,168.67796610169492,29.97142857142857,27.615384615384617,37.18,283889.0,172576.0,9952.0,2472,22.4042630195617,69.81229773462783,4.02588996763754
convnet_L2_F128_K1x1_1_K4x4_1_W70,2,6715274,1331219850,ConvNet,70,1843.4915254237287,214.0,0.0,10.23728813559322,76.86440677966101,24.203389830508478,25.0,24.96,50.0,28.54245283018868,5064.677966101695,2869.101694915254,158.9322033898305,29.959183673469383,27.130434782608692,36.79032258064516,298816.0,169277.0,9377.0,1984,28.9229559898376,85.3210685483871,4.726310483870968
convnet_L2_F128_K1x1_1_K4x4_1_W75,2,7656074,1525312010,ConvNet,75,1848.915254237288,214.0,0.0,8.805084745762711,79.54237288135593,12.576271186440678,25.0,24.58823529411765,50.0,28.71938775510204,4751.4915254237285,2856.186440677966,158.16949152542372,30.0,27.5,37.03125,280338.0,168515.0,9332.0,1950,30.8712005615234,86.41794871794872,4.785641025641025
convnet_L2_F128_K1x1_1_K4x4_1_W80,2,8660874,1732607370,ConvNet,80,1854.9830508474577,214.0,0.0,8.970338983050848,80.64406779661017,25.23728813559322,25.0,24.85185185185185,50.0,28.75,5186.983050847458,2926.338983050848,149.135593220339,29.973684210526315,27.620689655172413,36.8125,306032.0,172654.0,8799.0,1587,36.4730429649353,108.79269061121613,5.544423440453686
convnet_L2_F128_K1x1_1_K4x4_1_W85,2,9729674,1953105930,ConvNet,85,1860.0,214.0,0.0,7.847457627118644,81.49152542372882,26.491525423728813,25.0,25.0,50.0,29.181372549019606,5337.881355932203,3077.728813559322,140.59322033898306,30.48148148148148,28.0,37.369565217391305,314935.0,181586.0,8295.0,1481,40.014820098876896,122.61039837947332,5.6009453072248485
