RAM 2162/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,1%@307,0%@307,1%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33.5C PMIC@50C GPU@31.5C AO@42.5C thermal@33C POM_5V_IN 7672/7886 POM_5V_GPU 4805/4899 POM_5V_CPU 161/145
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,2%@307,1%@307,2%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@42C thermal@32.75C POM_5V_IN 7494/7863 POM_5V_GPU 4691/4886 POM_5V_CPU 161/146
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@518,2%@518,0%@518,3%@518] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@33C POM_5V_IN 6204/7771 POM_5V_GPU 3440/4806 POM_5V_CPU 163/147
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,0%@307,0%@307,2%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31C AO@43C thermal@31.5C POM_5V_IN 7930/7779 POM_5V_GPU 5144/4824 POM_5V_CPU 160/148
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,0%@307,1%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@32.5C POM_5V_IN 7482/7764 POM_5V_GPU 4684/4817 POM_5V_CPU 161/148
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,2%@307,1%@307,1%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31C AO@43.5C thermal@32.5C POM_5V_IN 8226/7786 POM_5V_GPU 5368/4843 POM_5V_CPU 160/149
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,2%@307,0%@307,3%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31.5C AO@43C thermal@33C POM_5V_IN 8038/7798 POM_5V_GPU 5216/4860 POM_5V_CPU 160/149
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,1%@307,0%@307,3%@403] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@31.5C AO@42.5C thermal@33.25C POM_5V_IN 7862/7800 POM_5V_GPU 4991/4866 POM_5V_CPU 161/150
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,0%@307,2%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@31C AO@42.5C thermal@32.75C POM_5V_IN 7753/7798 POM_5V_GPU 4798/4863 POM_5V_CPU 161/150
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@403,0%@403,0%@403,1%@403] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30.5C AO@39.5C thermal@33C POM_5V_IN 6358/7741 POM_5V_GPU 3363/4803 POM_5V_CPU 164/151
