RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,1%@102,0%@102,1%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@34C PMIC@50C GPU@30C AO@42C thermal@31.75C POM_5V_IN 8091/7642 POM_5V_GPU 5184/4681 POM_5V_CPU 120/160
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,3%@204,0%@204,3%@204] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@41.5C thermal@32C POM_5V_IN 7713/7646 POM_5V_GPU 4919/4695 POM_5V_CPU 120/158
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,0%@102,1%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31C PMIC@50C GPU@29C AO@38.5C thermal@31.75C POM_5V_IN 4840/7490 POM_5V_GPU 2583/4577 POM_5V_CPU 124/156
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,0%@102,1%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30.5C AO@42C thermal@31.75C POM_5V_IN 8158/7525 POM_5V_GPU 5216/4611 POM_5V_CPU 120/154
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,1%@102,2%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@41.5C thermal@31.75C POM_5V_IN 7834/7541 POM_5V_GPU 4959/4628 POM_5V_CPU 121/152
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,0%@204,0%@204,1%@204] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@33.5C PMIC@50C GPU@29C AO@41C thermal@31.75C POM_5V_IN 6737/7502 POM_5V_GPU 4199/4608 POM_5V_CPU 122/151
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,2%@102,0%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@41.5C thermal@32C POM_5V_IN 8010/7525 POM_5V_GPU 5072/4629 POM_5V_CPU 120/150
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,0%@102,0%@102,2%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@42C thermal@32C POM_5V_IN 8091/7550 POM_5V_GPU 5184/4653 POM_5V_CPU 120/148
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,0%@102,1%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@42C thermal@32C POM_5V_IN 7794/7560 POM_5V_GPU 4959/4666 POM_5V_CPU 120/147
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,0%@204,0%@204,3%@204] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29.5C AO@39C thermal@31.75C POM_5V_IN 4756/7448 POM_5V_GPU 2704/4587 POM_5V_CPU 124/146
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,2%@204,2%@204,4%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@32.25C POM_5V_IN 8226/7478 POM_5V_GPU 5248/4613 POM_5V_CPU 160/147
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,0%@102,0%@102,1%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34.5C PMIC@50C GPU@30C AO@42.5C thermal@32.25C POM_5V_IN 7902/7494 POM_5V_GPU 5072/4630 POM_5V_CPU 120/146
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,1%@102,1%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@34C PMIC@50C GPU@30C AO@41.5C thermal@32.25C POM_5V_IN 7041/7477 POM_5V_GPU 4429/4623 POM_5V_CPU 121/145
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,2%@204,2%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33.5C PMIC@50C GPU@30.5C AO@40.5C thermal@31.75C POM_5V_IN 7725/7486 POM_5V_GPU 4658/4624 POM_5V_CPU 121/144
