RAM 2121/3964MB (lfb 82x4MB) SWAP 469/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [10%@307,14%@307,16%@307,1%@307] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@28C AO@40.5C thermal@30.25C POM_5V_IN 7575/7575 POM_5V_GPU 4732/4732 POM_5V_CPU 162/162
RAM 2121/3964MB (lfb 82x4MB) SWAP 469/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@614,3%@614,14%@614,2%@614] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@28.5C AO@40C thermal@30.5C POM_5V_IN 6635/7105 POM_5V_GPU 4294/4513 POM_5V_CPU 163/162
RAM 2121/3964MB (lfb 82x4MB) SWAP 469/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@518,4%@518,1%@518,1%@518] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@38C thermal@30.25C POM_5V_IN 6255/6821 POM_5V_GPU 3785/4270 POM_5V_CPU 164/163
RAM 2121/3964MB (lfb 82x4MB) SWAP 469/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@518,8%@518,3%@518,0%@518] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@28.5C AO@39.5C thermal@30.5C POM_5V_IN 6788/6813 POM_5V_GPU 4409/4305 POM_5V_CPU 163/163
RAM 2121/3964MB (lfb 82x4MB) SWAP 469/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,5%@307,1%@307,2%@307] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@29.5C PMIC@50C GPU@28C AO@36.5C thermal@30.25C POM_5V_IN 4923/6435 POM_5V_GPU 2628/3969 POM_5V_CPU 167/163
RAM 2121/3964MB (lfb 82x4MB) SWAP 469/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,3%@307,24%@307,7%@307] EMC_FREQ 31%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33.5C PMIC@50C GPU@29C AO@41C thermal@30.75C POM_5V_IN 7494/6611 POM_5V_GPU 4739/4097 POM_5V_CPU 162/163
RAM 2121/3964MB (lfb 82x4MB) SWAP 469/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@403,4%@403,37%@403,11%@403] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28C AO@39.5C thermal@30.75C POM_5V_IN 6286/6565 POM_5V_GPU 3487/4010 POM_5V_CPU 246/175
RAM 2121/3964MB (lfb 82x4MB) SWAP 469/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@403,6%@403,26%@403,10%@403] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33C PMIC@50C GPU@28.5C AO@41C thermal@30.75C POM_5V_IN 7616/6696 POM_5V_GPU 4732/4100 POM_5V_CPU 202/178
RAM 2121/3964MB (lfb 82x4MB) SWAP 469/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@614,3%@614,26%@614,9%@614] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33C PMIC@50C GPU@28.5C AO@40.5C thermal@30.75C POM_5V_IN 7082/6739 POM_5V_GPU 4226/4114 POM_5V_CPU 203/181
RAM 2121/3964MB (lfb 82x4MB) SWAP 469/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@614,2%@614,12%@614,3%@614] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@29C AO@38C thermal@30.75C POM_5V_IN 6368/6702 POM_5V_GPU 3868/4090 POM_5V_CPU 165/179
RAM 2121/3964MB (lfb 82x4MB) SWAP 469/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@518,3%@518,2%@518,7%@518] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@29C AO@40.5C thermal@31C POM_5V_IN 6818/6712 POM_5V_GPU 4443/4122 POM_5V_CPU 163/178
