RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,1%@102,2%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@33C POM_5V_IN 5490/7750 POM_5V_GPU 3292/4900 POM_5V_CPU 123/130
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,0%@102,2%@102] EMC_FREQ 53%@1600 GR3D_FREQ 79%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@31.25C POM_5V_IN 6645/7685 POM_5V_GPU 4226/4860 POM_5V_CPU 121/129
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,0%@102,0%@102,3%@204] EMC_FREQ 53%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@31C AO@42C thermal@33C POM_5V_IN 7130/7654 POM_5V_GPU 4651/4849 POM_5V_CPU 121/129
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,0%@102,2%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@31C AO@42.5C thermal@31.25C POM_5V_IN 7060/7623 POM_5V_GPU 4530/4832 POM_5V_CPU 121/128
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,1%@102,0%@102,4%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@43C thermal@33C POM_5V_IN 7430/7613 POM_5V_GPU 4838/4832 POM_5V_CPU 120/128
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,0%@102,3%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31.5C AO@42.5C thermal@33C POM_5V_IN 7620/7613 POM_5V_GPU 4943/4837 POM_5V_CPU 120/127
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,0%@102,2%@102,2%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31.5C AO@43C thermal@32.75C POM_5V_IN 7688/7617 POM_5V_GPU 5024/4846 POM_5V_CPU 120/127
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,0%@102,2%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@33C POM_5V_IN 7945/7631 POM_5V_GPU 5208/4862 POM_5V_CPU 120/127
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,1%@102,6%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@43C thermal@32.25C POM_5V_IN 7905/7642 POM_5V_GPU 5048/4869 POM_5V_CPU 120/126
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,0%@102,1%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@33.5C POM_5V_IN 8092/7660 POM_5V_GPU 5240/4884 POM_5V_CPU 120/126
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,3%@102,0%@102,2%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@32C AO@43.5C thermal@31.5C POM_5V_IN 8092/7677 POM_5V_GPU 5320/4901 POM_5V_CPU 120/126
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@204,0%@204,4%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@33.25C POM_5V_IN 8132/7694 POM_5V_GPU 5280/4915 POM_5V_CPU 120/126
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,0%@102,3%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31.5C AO@43.5C thermal@33.25C POM_5V_IN 8240/7713 POM_5V_GPU 5391/4932 POM_5V_CPU 119/125
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,1%@204,0%@204,2%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 8306/7734 POM_5V_GPU 5502/4951 POM_5V_CPU 119/125
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@204,0%@204,4%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@32C AO@44C thermal@33C POM_5V_IN 8280/7752 POM_5V_GPU 5431/4967 POM_5V_CPU 119/125
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,0%@102,4%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@33.75C POM_5V_IN 8386/7772 POM_5V_GPU 5542/4986 POM_5V_CPU 119/125
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,2%@102,0%@102,2%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@32C AO@42.5C thermal@32.75C POM_5V_IN 8346/7790 POM_5V_GPU 5480/5001 POM_5V_CPU 120/125
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@204,0%@204,2%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@34.5C PMIC@50C GPU@32C AO@42C thermal@33.75C POM_5V_IN 8145/7801 POM_5V_GPU 5064/5003 POM_5V_CPU 121/124
