RAM 1816/3964MB (lfb 92x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,0%@102,1%@102] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@35C PMIC@50C GPU@30.5C AO@43C thermal@32.75C POM_5V_IN 6767/6680 POM_5V_GPU 4884/4669 POM_5V_CPU 122/142
RAM 1816/3964MB (lfb 92x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,5%@102,0%@102,1%@102] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31C AO@43.5C thermal@31.25C POM_5V_IN 6767/6685 POM_5V_GPU 4925/4684 POM_5V_CPU 122/141
RAM 1816/3964MB (lfb 92x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,3%@204,1%@204,4%@204] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@30.5C AO@42C thermal@32.5C POM_5V_IN 6808/6692 POM_5V_GPU 4688/4684 POM_5V_CPU 163/142
RAM 1816/3964MB (lfb 92x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,15%@102,1%@102,2%@102] EMC_FREQ 15%@1600 GR3D_FREQ 67%@921 APE 25 PLL@26.5C CPU@34.5C PMIC@50C GPU@30C AO@42C thermal@31.75C POM_5V_IN 6502/6682 POM_5V_GPU 4001/4648 POM_5V_CPU 122/141
RAM 1816/3964MB (lfb 92x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,6%@102,20%@204,2%@204] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34.5C PMIC@50C GPU@30.5C AO@43C thermal@32.75C POM_5V_IN 6878/6692 POM_5V_GPU 4511/4641 POM_5V_CPU 121/140
RAM 1816/3964MB (lfb 92x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,21%@102,10%@102,4%@102] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@30.5C AO@43C thermal@32.75C POM_5V_IN 6726/6693 POM_5V_GPU 4851/4651 POM_5V_CPU 122/139
RAM 1816/3964MB (lfb 92x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,1%@102,0%@102,2%@102] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@30.5C AO@43.5C thermal@33C POM_5V_IN 6838/6700 POM_5V_GPU 4884/4662 POM_5V_CPU 122/138
RAM 1816/3964MB (lfb 92x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,0%@102,0%@102,3%@102] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31C AO@43C thermal@32.75C POM_5V_IN 6808/6704 POM_5V_GPU 4925/4673 POM_5V_CPU 122/138
RAM 1816/3964MB (lfb 92x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,0%@102,0%@102,3%@204] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41C thermal@32.5C POM_5V_IN 6430/6693 POM_5V_GPU 4177/4652 POM_5V_CPU 123/137
RAM 1816/3964MB (lfb 92x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,0%@102,4%@102] EMC_FREQ 15%@1600 GR3D_FREQ 82%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@32.75C POM_5V_IN 6235/6675 POM_5V_GPU 4218/4635 POM_5V_CPU 122/136
RAM 1816/3964MB (lfb 92x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,0%@102,2%@102] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31C AO@43.5C thermal@32.75C POM_5V_IN 6614/6672 POM_5V_GPU 4688/4637 POM_5V_CPU 122/136
RAM 1816/3964MB (lfb 92x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,0%@102,3%@102] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@30.5C AO@43.5C thermal@33C POM_5V_IN 6726/6674 POM_5V_GPU 4851/4645 POM_5V_CPU 122/135
RAM 1816/3964MB (lfb 92x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,0%@102,3%@102] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31C AO@43.5C thermal@33C POM_5V_IN 6767/6678 POM_5V_GPU 4925/4655 POM_5V_CPU 122/135
