RAM 1719/3964MB (lfb 77x4MB) SWAP 291/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [9%@307,2%@307,9%@307,2%@307] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@31C POM_5V_IN 8091/8091 POM_5V_GPU 4863/4863 POM_5V_CPU 201/201
RAM 1719/3964MB (lfb 77x4MB) SWAP 291/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,4%@204,8%@204,3%@204] EMC_FREQ 32%@1600 GR3D_FREQ 72%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29.5C AO@39.5C thermal@31.5C POM_5V_IN 7766/7928 POM_5V_GPU 4415/4639 POM_5V_CPU 121/161
RAM 1719/3964MB (lfb 77x4MB) SWAP 291/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [20%@102,10%@102,6%@102,2%@102] EMC_FREQ 39%@1600 GR3D_FREQ 98%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@31C POM_5V_IN 7465/7774 POM_5V_GPU 4449/4575 POM_5V_CPU 121/147
RAM 1719/3964MB (lfb 77x4MB) SWAP 291/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [27%@102,11%@102,3%@102,4%@102] EMC_FREQ 44%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@40C thermal@31C POM_5V_IN 7286/7652 POM_5V_GPU 4098/4456 POM_5V_CPU 162/151
RAM 1718/3964MB (lfb 77x4MB) SWAP 291/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,3%@204,14%@204,2%@204] EMC_FREQ 49%@1600 GR3D_FREQ 83%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@31.25C POM_5V_IN 7123/7546 POM_5V_GPU 4064/4377 POM_5V_CPU 162/153
RAM 1718/3964MB (lfb 77x4MB) SWAP 291/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [19%@102,3%@102,13%@102,5%@102] EMC_FREQ 51%@1600 GR3D_FREQ 86%@921 APE 25 PLL@26C CPU@33.5C PMIC@50C GPU@30C AO@41.5C thermal@31C POM_5V_IN 7535/7544 POM_5V_GPU 4489/4396 POM_5V_CPU 161/154
RAM 1718/3964MB (lfb 77x4MB) SWAP 291/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,4%@204,7%@204,4%@204] EMC_FREQ 52%@1600 GR3D_FREQ 68%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@30C AO@40.5C thermal@31C POM_5V_IN 6778/7434 POM_5V_GPU 4117/4356 POM_5V_CPU 122/150
RAM 1719/3964MB (lfb 77x4MB) SWAP 291/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [20%@102,3%@102,3%@102,2%@102] EMC_FREQ 53%@1600 GR3D_FREQ 91%@921 APE 25 PLL@26C CPU@33.5C PMIC@50C GPU@30C AO@40C thermal@31.5C POM_5V_IN 7063/7388 POM_5V_GPU 4117/4326 POM_5V_CPU 122/146
RAM 1719/3964MB (lfb 77x4MB) SWAP 291/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [19%@204,3%@204,0%@204,3%@204] EMC_FREQ 53%@1600 GR3D_FREQ 84%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@41.5C thermal@31.25C POM_5V_IN 7384/7387 POM_5V_GPU 4699/4367 POM_5V_CPU 121/143
RAM 1719/3964MB (lfb 77x4MB) SWAP 291/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [19%@102,4%@102,2%@102,1%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@30.5C AO@41C thermal@31.75C POM_5V_IN 7012/7350 POM_5V_GPU 4389/4370 POM_5V_CPU 121/141
RAM 1719/3964MB (lfb 77x4MB) SWAP 291/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,11%@204,8%@204,6%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@30C AO@41C thermal@31.75C POM_5V_IN 6900/7309 POM_5V_GPU 4233/4357 POM_5V_CPU 122/139
RAM 1719/3964MB (lfb 77x4MB) SWAP 291/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,20%@204,5%@204,0%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@31.75C POM_5V_IN 6747/7262 POM_5V_GPU 4158/4340 POM_5V_CPU 122/138
