RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,5%@102,7%@102,0%@102] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@34C PMIC@50C GPU@31.5C AO@41C thermal@33C POM_5V_IN 6409/6939 POM_5V_GPU 3621/4046 POM_5V_CPU 123/147
RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,8%@102,2%@102] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@34C PMIC@50C GPU@31.5C AO@40C thermal@33.5C POM_5V_IN 6182/6894 POM_5V_GPU 3256/3999 POM_5V_CPU 123/146
RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,2%@204,6%@204,0%@204] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@33C PMIC@50C GPU@31C AO@39.5C thermal@33.25C POM_5V_IN 5640/6825 POM_5V_GPU 2612/3922 POM_5V_CPU 124/144
RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,4%@307,6%@307,0%@307] EMC_FREQ 50%@1600 GR3D_FREQ 60%@921 APE 25 PLL@29C CPU@33.5C PMIC@50C GPU@31C AO@40.5C thermal@33.5C POM_5V_IN 5275/6743 POM_5V_GPU 2654/3855 POM_5V_CPU 165/145
RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,4%@102,1%@204] EMC_FREQ 50%@1600 GR3D_FREQ 58%@921 APE 25 PLL@28.5C CPU@34.5C PMIC@50C GPU@31C AO@41.5C thermal@33.5C POM_5V_IN 5944/6703 POM_5V_GPU 3292/3827 POM_5V_CPU 164/146
RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,4%@102,6%@102,1%@102] EMC_FREQ 50%@1600 GR3D_FREQ 75%@921 APE 25 PLL@28.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42C thermal@33.5C POM_5V_IN 5976/6668 POM_5V_GPU 3333/3803 POM_5V_CPU 164/147
RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@204,6%@204,0%@204] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@35C PMIC@50C GPU@31.5C AO@42.5C thermal@33C POM_5V_IN 6327/6653 POM_5V_GPU 3692/3798 POM_5V_CPU 123/146
RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,5%@102,4%@102,0%@102] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@31.5C AO@42.5C thermal@34C POM_5V_IN 6563/6649 POM_5V_GPU 3809/3799 POM_5V_CPU 122/145
RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,4%@204,6%@204,1%@204] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@32C AO@42.5C thermal@32.25C POM_5V_IN 6676/6650 POM_5V_GPU 4007/3807 POM_5V_CPU 122/144
RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,3%@204,5%@204,1%@204] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@43C thermal@33.75C POM_5V_IN 6788/6656 POM_5V_GPU 4124/3820 POM_5V_CPU 122/143
RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,6%@102,4%@204,0%@204] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32C AO@43C thermal@32.5C POM_5V_IN 6788/6661 POM_5V_GPU 4164/3833 POM_5V_CPU 122/142
RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,3%@102,5%@204,1%@204] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@35.5C PMIC@50C GPU@32.5C AO@43C thermal@33.75C POM_5V_IN 6859/6668 POM_5V_GPU 4239/3848 POM_5V_CPU 122/141
RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,4%@102,6%@102,1%@102] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@32.75C POM_5V_IN 6941/6678 POM_5V_GPU 4321/3865 POM_5V_CPU 122/141
RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,4%@204,6%@204,2%@204] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@35.5C PMIC@50C GPU@32C AO@43C thermal@33.5C POM_5V_IN 6941/6687 POM_5V_GPU 4239/3878 POM_5V_CPU 122/140
RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,1%@102,5%@102,3%@102] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29.5C CPU@35.5C PMIC@50C GPU@32C AO@43C thermal@33.75C POM_5V_IN 6982/6697 POM_5V_GPU 4362/3894 POM_5V_CPU 122/139
RAM 2088/3964MB (lfb 70x4MB) SWAP 381/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,8%@204,3%@204,4%@204] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36C PMIC@50C GPU@32.5C AO@43C thermal@33.75C POM_5V_IN 7052/6708 POM_5V_GPU 4436/3912 POM_5V_CPU 122/139
