RAM 2255/3964MB (lfb 71x4MB) SWAP 358/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,12%@102,6%@102,1%@204] EMC_FREQ 42%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@29C AO@39.5C thermal@30.75C POM_5V_IN 7396/6321 POM_5V_GPU 4382/3436 POM_5V_CPU 121/133
RAM 2255/3964MB (lfb 71x4MB) SWAP 358/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,17%@102,8%@102,1%@102] EMC_FREQ 42%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@28.5C AO@39.5C thermal@28.75C POM_5V_IN 7286/6378 POM_5V_GPU 4307/3488 POM_5V_CPU 121/132
RAM 2255/3964MB (lfb 71x4MB) SWAP 358/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,9%@204,4%@204,1%@204] EMC_FREQ 42%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32.5C PMIC@50C GPU@29C AO@40C thermal@30C POM_5V_IN 6941/6409 POM_5V_GPU 4321/3534 POM_5V_CPU 122/131
RAM 2255/3964MB (lfb 71x4MB) SWAP 358/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,3%@204,6%@204,2%@204] EMC_FREQ 42%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@29C AO@39.5C thermal@30.75C POM_5V_IN 6870/6433 POM_5V_GPU 4246/3571 POM_5V_CPU 122/131
RAM 2255/3964MB (lfb 71x4MB) SWAP 358/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,0%@102,6%@102,1%@102] EMC_FREQ 42%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@28.5C AO@39.5C thermal@30.25C POM_5V_IN 6788/6451 POM_5V_GPU 4164/3601 POM_5V_CPU 122/130
RAM 2255/3964MB (lfb 71x4MB) SWAP 358/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,3%@102,0%@102] EMC_FREQ 42%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32.5C PMIC@50C GPU@29C AO@39.5C thermal@29C POM_5V_IN 6747/6465 POM_5V_GPU 4130/3626 POM_5V_CPU 122/130
RAM 2255/3964MB (lfb 71x4MB) SWAP 358/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,1%@102,5%@102,0%@102] EMC_FREQ 42%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@29C AO@39.5C thermal@30.5C POM_5V_IN 6788/6480 POM_5V_GPU 4246/3654 POM_5V_CPU 122/130
RAM 2255/3964MB (lfb 71x4MB) SWAP 358/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,2%@204,6%@204,3%@204] EMC_FREQ 42%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@29C AO@39.5C thermal@30.5C POM_5V_IN 6747/6491 POM_5V_GPU 4205/3678 POM_5V_CPU 122/129
RAM 2253/3964MB (lfb 71x4MB) SWAP 358/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [13%@1479,1%@1479,3%@1479,1%@1479] EMC_FREQ 42%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@34C PMIC@50C GPU@29C AO@40C thermal@30.75C POM_5V_IN 7274/6524 POM_5V_GPU 4064/3694 POM_5V_CPU 812/158
RAM 2252/3964MB (lfb 71x4MB) SWAP 358/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,1%@204,4%@204,1%@204] EMC_FREQ 42%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@29C AO@39.5C thermal@29.25C POM_5V_IN 6368/6518 POM_5V_GPU 3856/3701 POM_5V_CPU 123/156
