RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@1036,3%@1036,1%@1036,5%@1036] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 7396/7396 POM_5V_GPU 5112/5112 POM_5V_CPU 243/243
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,4%@102,2%@204,1%@204] EMC_FREQ 18%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@31.5C AO@42.5C thermal@33.5C POM_5V_IN 6481/6938 POM_5V_GPU 4300/4706 POM_5V_CPU 122/182
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,0%@102,2%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 7245/7040 POM_5V_GPU 4998/4803 POM_5V_CPU 121/162
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,1%@102,2%@102,2%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@43.5C thermal@34.25C POM_5V_IN 6941/7015 POM_5V_GPU 4851/4815 POM_5V_CPU 122/152
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,3%@102,0%@102,1%@102] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44C thermal@34.25C POM_5V_IN 7355/7083 POM_5V_GPU 5112/4874 POM_5V_CPU 121/145
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,4%@102,4%@102] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@43.5C thermal@34C POM_5V_IN 7286/7117 POM_5V_GPU 4884/4876 POM_5V_CPU 122/141
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,1%@204,0%@204,1%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@33C POM_5V_IN 7286/7141 POM_5V_GPU 5080/4905 POM_5V_CPU 121/138
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [0%@102,5%@102,0%@102,2%@102] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@44C thermal@34C POM_5V_IN 7315/7163 POM_5V_GPU 5072/4926 POM_5V_CPU 121/136
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,0%@102,1%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@34C PMIC@50C GPU@32C AO@40.5C thermal@34C POM_5V_IN 6068/7041 POM_5V_GPU 3638/4783 POM_5V_CPU 124/135
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@204,3%@204,1%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44.5C thermal@32C POM_5V_IN 7315/7068 POM_5V_GPU 5120/4816 POM_5V_CPU 121/133
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,1%@102,0%@102] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@33C PMIC@50C GPU@31C AO@39C thermal@34.25C POM_5V_IN 4126/6801 POM_5V_GPU 2144/4573 POM_5V_CPU 125/133
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,5%@102,0%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 7465/6856 POM_5V_GPU 5193/4625 POM_5V_CPU 121/132
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,1%@102,1%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@32C AO@43.5C thermal@33.75C POM_5V_IN 6058/6795 POM_5V_GPU 4032/4579 POM_5V_CPU 123/131
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@204,2%@204,0%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@44C thermal@33.75C POM_5V_IN 7204/6824 POM_5V_GPU 4998/4609 POM_5V_CPU 122/130
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,1%@102,2%@102,0%@102] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@44C thermal@34.5C POM_5V_IN 7023/6837 POM_5V_GPU 4843/4625 POM_5V_CPU 122/130
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@204,2%@204,0%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@33C AO@44.5C thermal@34.75C POM_5V_IN 7245/6863 POM_5V_GPU 5080/4653 POM_5V_CPU 122/129
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,3%@102,10%@102,0%@102] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 7656/6909 POM_5V_GPU 5015/4674 POM_5V_CPU 121/129
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [19%@102,7%@102,0%@102,1%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@34.5C POM_5V_IN 7834/6961 POM_5V_GPU 5169/4702 POM_5V_CPU 121/128
RAM 2265/3964MB (lfb 76x4MB) SWAP 356/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,18%@102,5%@102,1%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@34.5C POM_5V_IN 7656/6997 POM_5V_GPU 5015/4718 POM_5V_CPU 121/128
