RAM 2098/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@403,1%@403,7%@403,1%@403] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@27.5C PMIC@50C GPU@26.5C AO@34C thermal@27.5C POM_5V_IN 4162/4162 POM_5V_GPU 2015/2015 POM_5V_CPU 125/125
RAM 2098/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,1%@204,7%@204,7%@204] EMC_FREQ 18%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@27.5C PMIC@50C GPU@26.5C AO@34C thermal@28.25C POM_5V_IN 4729/4445 POM_5V_GPU 1967/1991 POM_5V_CPU 167/146
RAM 2098/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,7%@102,13%@102,15%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@27C AO@35C thermal@27C POM_5V_IN 4965/4618 POM_5V_GPU 2628/2203 POM_5V_CPU 125/139
RAM 2098/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,13%@102,0%@102] EMC_FREQ 23%@1600 GR3D_FREQ 59%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26C AO@37C thermal@27.5C POM_5V_IN 4999/4713 POM_5V_GPU 2949/2389 POM_5V_CPU 124/135
RAM 2098/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,1%@102,10%@102,1%@102] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@27C PMIC@50C GPU@26C AO@33.5C thermal@27.5C POM_5V_IN 4324/4635 POM_5V_GPU 2099/2331 POM_5V_CPU 126/133
RAM 2098/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@204,10%@204,1%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@27C AO@35C thermal@27.25C POM_5V_IN 5324/4750 POM_5V_GPU 2912/2428 POM_5V_CPU 124/131
RAM 2098/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,6%@102,11%@102,1%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@37.5C thermal@27.25C POM_5V_IN 5976/4925 POM_5V_GPU 3292/2551 POM_5V_CPU 205/142
RAM 2099/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,22%@204,14%@204,4%@204] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@27.5C PMIC@50C GPU@26.5C AO@34C thermal@27.5C POM_5V_IN 4443/4865 POM_5V_GPU 1925/2473 POM_5V_CPU 209/150
RAM 2099/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,23%@204,13%@204,2%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@27C AO@34.5C thermal@27C POM_5V_IN 5316/4915 POM_5V_GPU 2579/2485 POM_5V_CPU 166/152
RAM 2099/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,23%@102,17%@102,3%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@30C PMIC@50C GPU@27C AO@36.5C thermal@27.75C POM_5V_IN 5861/5009 POM_5V_GPU 3297/2566 POM_5V_CPU 164/153
RAM 2099/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,28%@403,11%@307,1%@307] EMC_FREQ 28%@1600 GR3D_FREQ 79%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@26.5C AO@35C thermal@28.5C POM_5V_IN 4680/4979 POM_5V_GPU 2086/2522 POM_5V_CPU 166/154
RAM 2099/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,25%@204,8%@204,4%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@27C AO@34C thermal@27.5C POM_5V_IN 4408/4932 POM_5V_GPU 2179/2494 POM_5V_CPU 125/152
RAM 2099/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,1%@204,9%@204,1%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@27C AO@35C thermal@27C POM_5V_IN 5007/4938 POM_5V_GPU 2628/2504 POM_5V_CPU 125/150
RAM 2099/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,13%@102,1%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@26.5C AO@37.5C thermal@27.5C POM_5V_IN 5233/4959 POM_5V_GPU 3105/2547 POM_5V_CPU 165/151
RAM 2099/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,5%@204,6%@204,7%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@27.5C PMIC@50C GPU@27C AO@34C thermal@27C POM_5V_IN 4450/4925 POM_5V_GPU 2057/2514 POM_5V_CPU 252/157
RAM 2099/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,2%@102,9%@204,1%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@27C AO@34.5C thermal@27C POM_5V_IN 4847/4920 POM_5V_GPU 2507/2514 POM_5V_CPU 125/155
RAM 2099/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,3%@204,6%@204,2%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@27C AO@36C thermal@27C POM_5V_IN 5474/4952 POM_5V_GPU 3027/2544 POM_5V_CPU 124/153
RAM 2099/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,2%@204,6%@204,5%@204] EMC_FREQ 28%@1600 GR3D_FREQ 89%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@27C AO@35.5C thermal@27.5C POM_5V_IN 4078/4904 POM_5V_GPU 2054/2517 POM_5V_CPU 125/152
RAM 2099/3964MB (lfb 48x4MB) SWAP 244/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,5%@102,3%@102,10%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@27C AO@34.5C thermal@28.25C POM_5V_IN 4443/4879 POM_5V_GPU 2179/2499 POM_5V_CPU 125/150
