RAM 2004/3964MB (lfb 89x4MB) SWAP 361/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [13%@307,11%@307,3%@307,1%@307] EMC_FREQ 13%@1600 GR3D_FREQ 67%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@36C thermal@27.5C POM_5V_IN 5283/5283 POM_5V_GPU 3073/3073 POM_5V_CPU 165/165
RAM 2004/3964MB (lfb 89x4MB) SWAP 361/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,1%@204,3%@204,4%@204] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27C AO@37C thermal@27.75C POM_5V_IN 5672/5477 POM_5V_GPU 3390/3231 POM_5V_CPU 165/165
RAM 2004/3964MB (lfb 89x4MB) SWAP 361/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,4%@204,5%@204,4%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@26.5C AO@37C thermal@28.5C POM_5V_IN 5441/5465 POM_5V_GPU 3188/3217 POM_5V_CPU 165/165
RAM 2004/3964MB (lfb 89x4MB) SWAP 361/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [27%@204,1%@204,2%@204,6%@204] EMC_FREQ 26%@1600 GR3D_FREQ 59%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@36.5C thermal@28C POM_5V_IN 5399/5448 POM_5V_GPU 3234/3221 POM_5V_CPU 165/165
RAM 2004/3964MB (lfb 89x4MB) SWAP 361/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [26%@307,1%@307,4%@307,4%@307] EMC_FREQ 27%@1600 GR3D_FREQ 53%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27C AO@36.5C thermal@28.75C POM_5V_IN 4999/5358 POM_5V_GPU 2828/3142 POM_5V_CPU 166/165
RAM 2004/3964MB (lfb 89x4MB) SWAP 361/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [25%@204,4%@204,1%@204,3%@204] EMC_FREQ 29%@1600 GR3D_FREQ 94%@921 APE 25 PLL@24.5C CPU@28.5C PMIC@50C GPU@27C AO@35.5C thermal@28C POM_5V_IN 4604/5233 POM_5V_GPU 2507/3036 POM_5V_CPU 166/165
RAM 2004/3964MB (lfb 89x4MB) SWAP 361/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [26%@102,3%@102,1%@204,1%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@35.5C thermal@28C POM_5V_IN 4562/5137 POM_5V_GPU 2507/2961 POM_5V_CPU 166/165
RAM 2004/3964MB (lfb 89x4MB) SWAP 361/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [24%@204,4%@204,2%@204,4%@204] EMC_FREQ 30%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@35.5C thermal@28.5C POM_5V_IN 4646/5075 POM_5V_GPU 2587/2914 POM_5V_CPU 166/165
RAM 2004/3964MB (lfb 89x4MB) SWAP 361/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [25%@204,5%@204,2%@204,3%@204] EMC_FREQ 30%@1600 GR3D_FREQ 89%@921 APE 25 PLL@24.5C CPU@28.5C PMIC@50C GPU@27C AO@35.5C thermal@28.25C POM_5V_IN 4611/5024 POM_5V_GPU 2507/2869 POM_5V_CPU 166/165
RAM 2004/3964MB (lfb 89x4MB) SWAP 361/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [25%@204,6%@204,3%@204,5%@204] EMC_FREQ 31%@1600 GR3D_FREQ 88%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27C AO@35.5C thermal@28.5C POM_5V_IN 4646/4986 POM_5V_GPU 2549/2837 POM_5V_CPU 166/165
RAM 2004/3964MB (lfb 89x4MB) SWAP 361/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [27%@102,2%@102,6%@204,1%@307] EMC_FREQ 31%@1600 GR3D_FREQ 96%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27C AO@35.5C thermal@27.75C POM_5V_IN 4604/4951 POM_5V_GPU 2507/2807 POM_5V_CPU 166/165
