RAM 1930/3964MB (lfb 12x4MB) SWAP 214/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,5%@102,8%@102,7%@102] EMC_FREQ 8%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@33.5C PMIC@50C GPU@29.5C AO@41.5C thermal@30.75C POM_5V_IN 7163/7163 POM_5V_GPU 4795/4795 POM_5V_CPU 122/122
RAM 1930/3964MB (lfb 12x4MB) SWAP 214/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,0%@102,0%@102] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@31C POM_5V_IN 7012/7087 POM_5V_GPU 5096/4945 POM_5V_CPU 122/122
RAM 1930/3964MB (lfb 12x4MB) SWAP 214/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,4%@102,1%@102,1%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@30C AO@38.5C thermal@32.25C POM_5V_IN 6182/6785 POM_5V_GPU 3750/4547 POM_5V_CPU 123/122
RAM 1930/3964MB (lfb 12x4MB) SWAP 214/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,7%@102,1%@102,0%@102] EMC_FREQ 13%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@34C PMIC@50C GPU@30C AO@42.5C thermal@32C POM_5V_IN 6788/6786 POM_5V_GPU 4818/4614 POM_5V_CPU 122/122
RAM 1930/3964MB (lfb 12x4MB) SWAP 214/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,0%@102,20%@102] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@34.5C PMIC@50C GPU@30C AO@42.5C thermal@31.25C POM_5V_IN 7315/6892 POM_5V_GPU 5072/4706 POM_5V_CPU 121/122
RAM 1930/3964MB (lfb 12x4MB) SWAP 214/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,0%@102,8%@102] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29.5C AO@39.5C thermal@32.25C POM_5V_IN 6522/6830 POM_5V_GPU 4190/4620 POM_5V_CPU 123/122
RAM 1930/3964MB (lfb 12x4MB) SWAP 214/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,3%@307,0%@307,0%@307] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@34C PMIC@50C GPU@29.5C AO@42C thermal@32C POM_5V_IN 6706/6812 POM_5V_GPU 4695/4630 POM_5V_CPU 122/122
RAM 1930/3964MB (lfb 12x4MB) SWAP 214/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,0%@204,1%@204] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@34.5C PMIC@50C GPU@30C AO@42.5C thermal@31.25C POM_5V_IN 6982/6833 POM_5V_GPU 5096/4689 POM_5V_CPU 122/122
RAM 1930/3964MB (lfb 12x4MB) SWAP 214/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,2%@102,0%@102,1%@102] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@33.5C PMIC@50C GPU@30C AO@40C thermal@32.5C POM_5V_IN 6788/6828 POM_5V_GPU 4464/4664 POM_5V_CPU 123/122
RAM 1930/3964MB (lfb 12x4MB) SWAP 214/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,1%@102,1%@102] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@42.5C thermal@32.5C POM_5V_IN 6676/6813 POM_5V_GPU 4703/4667 POM_5V_CPU 122/122
RAM 1930/3964MB (lfb 12x4MB) SWAP 214/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,0%@102,0%@102] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@35C PMIC@50C GPU@30.5C AO@42.5C thermal@32.25C POM_5V_IN 6941/6825 POM_5V_GPU 5055/4703 POM_5V_CPU 122/122
