RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [13%@403,3%@403,3%@403,1%@403] EMC_FREQ 7%@1600 GR3D_FREQ 89%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26.5C AO@35C thermal@26C POM_5V_IN 5208/5208 POM_5V_GPU 2999/2999 POM_5V_CPU 166/166
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [21%@307,2%@307,4%@307,3%@307] EMC_FREQ 11%@1600 GR3D_FREQ 69%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26.5C AO@36C thermal@27C POM_5V_IN 4680/4944 POM_5V_GPU 2837/2918 POM_5V_CPU 166/166
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [26%@102,4%@102,2%@204,2%@204] EMC_FREQ 14%@1600 GR3D_FREQ 83%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26.5C AO@35.5C thermal@27.75C POM_5V_IN 5124/5004 POM_5V_GPU 2999/2945 POM_5V_CPU 125/152
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,1%@204,1%@204,0%@204] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@27C AO@35C thermal@27.25C POM_5V_IN 4729/4935 POM_5V_GPU 2674/2877 POM_5V_CPU 166/155
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [23%@102,4%@102,4%@102,1%@102] EMC_FREQ 16%@1600 GR3D_FREQ 68%@921 APE 25 PLL@23.5C CPU@29.5C PMIC@50C GPU@27C AO@34.5C thermal@27.5C POM_5V_IN 4806/4909 POM_5V_GPU 2716/2845 POM_5V_CPU 125/149
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [22%@102,1%@102,3%@102,3%@102] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26.5C AO@35.5C thermal@27.75C POM_5V_IN 4359/4817 POM_5V_GPU 2553/2796 POM_5V_CPU 125/145
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,2%@204,4%@204,2%@204] EMC_FREQ 18%@1600 GR3D_FREQ 66%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@27C AO@35.5C thermal@27.75C POM_5V_IN 5124/4861 POM_5V_GPU 3078/2836 POM_5V_CPU 124/142
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [24%@102,2%@102,3%@102,3%@102] EMC_FREQ 18%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26.5C AO@35.5C thermal@27.75C POM_5V_IN 4401/4803 POM_5V_GPU 2595/2806 POM_5V_CPU 125/140
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [24%@204,2%@204,5%@204,2%@204] EMC_FREQ 18%@1600 GR3D_FREQ 70%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@27.75C POM_5V_IN 4923/4817 POM_5V_GPU 2995/2827 POM_5V_CPU 124/138
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [23%@102,2%@102,4%@204,1%@204] EMC_FREQ 18%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@27C AO@35.5C thermal@27.5C POM_5V_IN 4478/4783 POM_5V_GPU 2674/2812 POM_5V_CPU 125/137
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [27%@102,4%@204,3%@204,2%@204] EMC_FREQ 19%@1600 GR3D_FREQ 88%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@35.5C thermal@28C POM_5V_IN 5241/4824 POM_5V_GPU 2995/2828 POM_5V_CPU 166/139
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,1%@102,5%@102,2%@102] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@35C thermal@27.5C POM_5V_IN 4923/4833 POM_5V_GPU 2795/2825 POM_5V_CPU 167/142
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [16%@102,2%@102,3%@102,1%@102] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@27C AO@35.5C thermal@27.75C POM_5V_IN 4611/4815 POM_5V_GPU 2511/2801 POM_5V_CPU 125/140
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,3%@102,4%@102,3%@102] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26.5C AO@35.5C thermal@27.75C POM_5V_IN 4687/4806 POM_5V_GPU 2553/2783 POM_5V_CPU 167/142
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,3%@204,1%@204,2%@204] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@34.5C thermal@28.25C POM_5V_IN 4687/4798 POM_5V_GPU 2553/2768 POM_5V_CPU 167/144
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [20%@102,3%@102,3%@102,3%@102] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@27.75C POM_5V_IN 4729/4794 POM_5V_GPU 2511/2752 POM_5V_CPU 167/145
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,2%@204,1%@204,1%@204] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@34.5C thermal@27.75C POM_5V_IN 4729/4790 POM_5V_GPU 2595/2743 POM_5V_CPU 167/146
RAM 1906/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,6%@102,23%@102,6%@204] EMC_FREQ 19%@1600 GR3D_FREQ 45%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26.5C AO@35C thermal@28C POM_5V_IN 5283/4817 POM_5V_GPU 2745/2743 POM_5V_CPU 166/147
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,5%@204,23%@204,7%@204] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26.5C AO@35C thermal@27.75C POM_5V_IN 5124/4834 POM_5V_GPU 2583/2734 POM_5V_CPU 166/148
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,4%@204,20%@204,1%@307] EMC_FREQ 19%@1600 GR3D_FREQ 92%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@35.5C thermal@27.75C POM_5V_IN 4958/4840 POM_5V_GPU 2704/2733 POM_5V_CPU 166/149
RAM 1905/3964MB (lfb 14x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [19%@102,5%@102,14%@204,4%@204] EMC_FREQ 19%@1600 GR3D_FREQ 65%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@26.5C AO@36C thermal@27.75C POM_5V_IN 5083/4851 POM_5V_GPU 3041/2747 POM_5V_CPU 125/148
