RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [25%@102,3%@102,0%@102,2%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@34.5C thermal@27.25C POM_5V_IN 4246/4483 POM_5V_GPU 2018/2376 POM_5V_CPU 167/156
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [20%@102,5%@102,0%@102,1%@102] EMC_FREQ 22%@1600 GR3D_FREQ 70%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@34C thermal@27.25C POM_5V_IN 4653/4493 POM_5V_GPU 2389/2377 POM_5V_CPU 125/154
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,3%@204,1%@204,2%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 4527/4495 POM_5V_GPU 2591/2389 POM_5V_CPU 125/153
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,4%@204,4%@204,1%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26C AO@34.5C thermal@27C POM_5V_IN 4204/4480 POM_5V_GPU 2305/2384 POM_5V_CPU 167/153
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [19%@307,4%@307,0%@307,1%@307] EMC_FREQ 22%@1600 GR3D_FREQ 89%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@34.5C thermal@27.25C POM_5V_IN 4771/4494 POM_5V_GPU 2595/2395 POM_5V_CPU 167/154
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [21%@204,7%@204,5%@204,0%@204] EMC_FREQ 22%@1600 GR3D_FREQ 97%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@34.5C thermal@27.5C POM_5V_IN 4771/4507 POM_5V_GPU 2469/2398 POM_5V_CPU 167/155
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [19%@102,5%@102,4%@102,3%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@34.5C thermal@27C POM_5V_IN 4042/4486 POM_5V_GPU 2225/2390 POM_5V_CPU 125/153
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [24%@102,3%@102,1%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34C thermal@27.25C POM_5V_IN 4246/4476 POM_5V_GPU 2144/2380 POM_5V_CPU 167/154
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [24%@204,3%@204,2%@204,0%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@25.5C AO@33.5C thermal@27C POM_5V_IN 4408/4473 POM_5V_GPU 2225/2373 POM_5V_CPU 125/153
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [20%@102,3%@102,1%@102,1%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@34.5C thermal@27.5C POM_5V_IN 4204/4462 POM_5V_GPU 2263/2369 POM_5V_CPU 167/153
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [20%@102,4%@102,1%@102,0%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@34.5C thermal@27C POM_5V_IN 4330/4457 POM_5V_GPU 2141/2360 POM_5V_CPU 167/154
