RAM 1630/3964MB (lfb 57x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [10%@307,5%@307,1%@307,1%@307] EMC_FREQ 7%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29C AO@39.5C thermal@27.5C POM_5V_IN 6017/6017 POM_5V_GPU 4115/4115 POM_5V_CPU 164/164
RAM 1630/3964MB (lfb 57x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,10%@204,1%@204,0%@204] EMC_FREQ 10%@1600 GR3D_FREQ 74%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29C AO@40.5C thermal@30.5C POM_5V_IN 6213/6115 POM_5V_GPU 4273/4194 POM_5V_CPU 123/143
RAM 1630/3964MB (lfb 57x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,14%@102,3%@102,1%@102] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29C AO@41C thermal@30.75C POM_5V_IN 6327/6185 POM_5V_GPU 4471/4286 POM_5V_CPU 123/136
RAM 1630/3964MB (lfb 57x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,18%@102,2%@102,0%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@40C thermal@30.5C POM_5V_IN 6296/6213 POM_5V_GPU 4149/4252 POM_5V_CPU 123/133
RAM 1630/3964MB (lfb 57x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,17%@204,1%@204,0%@204] EMC_FREQ 13%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@40.5C thermal@31.25C POM_5V_IN 5985/6167 POM_5V_GPU 4074/4216 POM_5V_CPU 123/131
RAM 1630/3964MB (lfb 57x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,6%@102,11%@102,1%@102] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@31.25C POM_5V_IN 6245/6180 POM_5V_GPU 4307/4231 POM_5V_CPU 123/129
RAM 1631/3964MB (lfb 57x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,16%@102,2%@102] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29.5C AO@40C thermal@31C POM_5V_IN 5985/6152 POM_5V_GPU 3956/4192 POM_5V_CPU 123/128
RAM 1631/3964MB (lfb 57x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,15%@102,0%@102] EMC_FREQ 14%@1600 GR3D_FREQ 90%@921 APE 25 PLL@26C CPU@33.5C PMIC@50C GPU@29C AO@41C thermal@31.25C POM_5V_IN 6172/6155 POM_5V_GPU 4355/4212 POM_5V_CPU 123/128
RAM 1630/3964MB (lfb 57x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,14%@204,2%@204] EMC_FREQ 15%@1600 GR3D_FREQ 93%@921 APE 25 PLL@26C CPU@33.5C PMIC@50C GPU@29.5C AO@41C thermal@31C POM_5V_IN 6286/6169 POM_5V_GPU 4389/4232 POM_5V_CPU 123/127
RAM 1630/3964MB (lfb 57x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,14%@102,2%@102] EMC_FREQ 15%@1600 GR3D_FREQ 93%@921 APE 25 PLL@26C CPU@33.5C PMIC@50C GPU@29.5C AO@41.5C thermal@31C POM_5V_IN 6327/6185 POM_5V_GPU 4430/4251 POM_5V_CPU 123/127
RAM 1630/3964MB (lfb 57x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,4%@204,4%@204,6%@204] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@31C POM_5V_IN 6378/6202 POM_5V_GPU 4190/4246 POM_5V_CPU 123/126
