RAM 1647/3964MB (lfb 17x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [8%@1479,10%@1479,0%@1479,4%@1479] EMC_FREQ 19%@1600 GR3D_FREQ 94%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@28.5C AO@38.5C thermal@29.5C POM_5V_IN 6399/6399 POM_5V_GPU 3399/3399 POM_5V_CPU 490/490
RAM 1647/3964MB (lfb 17x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,15%@204,3%@204,0%@204] EMC_FREQ 29%@1600 GR3D_FREQ 73%@921 APE 25 PLL@26C CPU@31C PMIC@50C GPU@29C AO@38.5C thermal@29.25C POM_5V_IN 6017/6208 POM_5V_GPU 3497/3448 POM_5V_CPU 123/306
RAM 1647/3964MB (lfb 17x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,16%@102,2%@102,0%@102] EMC_FREQ 36%@1600 GR3D_FREQ 65%@921 APE 25 PLL@26C CPU@31C PMIC@50C GPU@29C AO@37.5C thermal@30C POM_5V_IN 6255/6223 POM_5V_GPU 3338/3411 POM_5V_CPU 123/245
RAM 1647/3964MB (lfb 17x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,18%@102,4%@102,2%@102] EMC_FREQ 41%@1600 GR3D_FREQ 73%@921 APE 25 PLL@26.5C CPU@30.5C PMIC@50C GPU@28.5C AO@37.5C thermal@30C POM_5V_IN 5829/6125 POM_5V_GPU 2939/3293 POM_5V_CPU 124/215
RAM 1647/3964MB (lfb 17x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,17%@102,0%@102,1%@102] EMC_FREQ 44%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31C PMIC@50C GPU@28.5C AO@37.5C thermal@29.25C POM_5V_IN 5985/6097 POM_5V_GPU 3054/3245 POM_5V_CPU 124/196
RAM 1647/3964MB (lfb 17x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,14%@307,3%@307,3%@307] EMC_FREQ 46%@1600 GR3D_FREQ 72%@921 APE 25 PLL@26C CPU@31C PMIC@50C GPU@29C AO@39C thermal@29.75C POM_5V_IN 5903/6064 POM_5V_GPU 3251/3246 POM_5V_CPU 205/198
RAM 1647/3964MB (lfb 17x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,15%@204,3%@204,0%@204] EMC_FREQ 48%@1600 GR3D_FREQ 67%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@28.5C AO@37.5C thermal@29.5C POM_5V_IN 6213/6085 POM_5V_GPU 3297/3253 POM_5V_CPU 123/187
RAM 1647/3964MB (lfb 17x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,17%@204,2%@204,3%@204] EMC_FREQ 49%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@29C AO@38.5C thermal@30.25C POM_5V_IN 5664/6033 POM_5V_GPU 3137/3239 POM_5V_CPU 164/184
RAM 1647/3964MB (lfb 17x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,16%@204,24%@204,0%@204] EMC_FREQ 50%@1600 GR3D_FREQ 65%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@28.5C AO@37.5C thermal@30.75C POM_5V_IN 6450/6079 POM_5V_GPU 3122/3226 POM_5V_CPU 164/182
RAM 1647/3964MB (lfb 17x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,18%@204,20%@204,2%@204] EMC_FREQ 50%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29.5C AO@38C thermal@30.25C POM_5V_IN 6223/6093 POM_5V_GPU 2962/3199 POM_5V_CPU 123/176
RAM 1647/3964MB (lfb 17x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,17%@204,9%@204,3%@204] EMC_FREQ 50%@1600 GR3D_FREQ 71%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29C AO@38C thermal@30.5C POM_5V_IN 5985/6083 POM_5V_GPU 2972/3178 POM_5V_CPU 123/171
