RAM 1655/3964MB (lfb 84x4MB) SWAP 151/1982MB (cached 1MB) IRAM 0/252kB(lfb 252kB) CPU [16%@518,7%@518,3%@518,1%@518] EMC_FREQ 10%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@32C PMIC@50C GPU@29.5C AO@39C thermal@30.5C POM_5V_IN 5474/5474 POM_5V_GPU 3271/3271 POM_5V_CPU 248/248
RAM 1655/3964MB (lfb 84x4MB) SWAP 151/1982MB (cached 1MB) IRAM 0/252kB(lfb 252kB) CPU [31%@204,3%@204,3%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 81%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@29C AO@39C thermal@30.5C POM_5V_IN 5124/5299 POM_5V_GPU 2990/3130 POM_5V_CPU 249/248
RAM 1655/3964MB (lfb 84x4MB) SWAP 151/1982MB (cached 1MB) IRAM 0/252kB(lfb 252kB) CPU [28%@204,10%@204,3%@204,3%@204] EMC_FREQ 16%@1600 GR3D_FREQ 87%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@29.5C AO@39C thermal@30.5C POM_5V_IN 4999/5199 POM_5V_GPU 2958/3073 POM_5V_CPU 249/248
RAM 1655/3964MB (lfb 84x4MB) SWAP 151/1982MB (cached 1MB) IRAM 0/252kB(lfb 252kB) CPU [31%@307,8%@307,0%@307,4%@307] EMC_FREQ 18%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@29C AO@39C thermal@30.75C POM_5V_IN 5200/5199 POM_5V_GPU 3073/3073 POM_5V_CPU 207/238
RAM 1655/3964MB (lfb 84x4MB) SWAP 151/1982MB (cached 1MB) IRAM 0/252kB(lfb 252kB) CPU [36%@204,0%@204,5%@204,3%@204] EMC_FREQ 20%@1600 GR3D_FREQ 82%@921 APE 25 PLL@26.5C CPU@32C PMIC@50C GPU@29.5C AO@39C thermal@30.75C POM_5V_IN 5399/5239 POM_5V_GPU 3234/3105 POM_5V_CPU 207/232
RAM 1655/3964MB (lfb 84x4MB) SWAP 151/1982MB (cached 1MB) IRAM 0/252kB(lfb 252kB) CPU [35%@204,1%@204,5%@204,2%@204] EMC_FREQ 20%@1600 GR3D_FREQ 81%@921 APE 25 PLL@26.5C CPU@32C PMIC@50C GPU@29.5C AO@39C thermal@30.5C POM_5V_IN 5358/5259 POM_5V_GPU 3032/3093 POM_5V_CPU 249/234
RAM 1655/3964MB (lfb 84x4MB) SWAP 151/1982MB (cached 1MB) IRAM 0/252kB(lfb 252kB) CPU [37%@403,4%@403,4%@403,4%@403] EMC_FREQ 21%@1600 GR3D_FREQ 95%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@29.5C AO@39C thermal@30.75C POM_5V_IN 5200/5250 POM_5V_GPU 3156/3102 POM_5V_CPU 207/230
RAM 1655/3964MB (lfb 84x4MB) SWAP 151/1982MB (cached 1MB) IRAM 0/252kB(lfb 252kB) CPU [37%@204,5%@204,2%@307,3%@307] EMC_FREQ 21%@1600 GR3D_FREQ 83%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@29.5C AO@39C thermal@31C POM_5V_IN 5391/5268 POM_5V_GPU 3193/3113 POM_5V_CPU 207/227
RAM 1655/3964MB (lfb 84x4MB) SWAP 151/1982MB (cached 1MB) IRAM 0/252kB(lfb 252kB) CPU [33%@204,3%@204,3%@204,3%@204] EMC_FREQ 22%@1600 GR3D_FREQ 82%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30.75C POM_5V_IN 5366/5279 POM_5V_GPU 3036/3104 POM_5V_CPU 249/230
RAM 1655/3964MB (lfb 84x4MB) SWAP 151/1982MB (cached 1MB) IRAM 0/252kB(lfb 252kB) CPU [34%@307,5%@307,6%@307,2%@403] EMC_FREQ 22%@1600 GR3D_FREQ 97%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@29.5C AO@39.5C thermal@30.75C POM_5V_IN 5275/5278 POM_5V_GPU 3151/3109 POM_5V_CPU 207/227
RAM 1655/3964MB (lfb 84x4MB) SWAP 151/1982MB (cached 1MB) IRAM 0/252kB(lfb 252kB) CPU [32%@204,3%@204,5%@204,4%@204] EMC_FREQ 22%@1600 GR3D_FREQ 96%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@30C AO@39.5C thermal@30.75C POM_5V_IN 5241/5275 POM_5V_GPU 3032/3102 POM_5V_CPU 249/229
