RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [44%@710,4%@710,6%@710,9%@710] EMC_FREQ 31%@1600 GR3D_FREQ 86%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@38.5C thermal@31C POM_5V_IN 5258/5255 POM_5V_GPU 2650/2649 POM_5V_CPU 372/400
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [48%@825,5%@825,3%@825,6%@825] EMC_FREQ 32%@1600 GR3D_FREQ 87%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30C AO@39C thermal@30.75C POM_5V_IN 5341/5260 POM_5V_GPU 2728/2654 POM_5V_CPU 413/401
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [45%@825,8%@825,6%@825,5%@825] EMC_FREQ 32%@1600 GR3D_FREQ 88%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30C AO@39C thermal@31.25C POM_5V_IN 5341/5264 POM_5V_GPU 2646/2653 POM_5V_CPU 413/402
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [48%@710,4%@710,7%@710,1%@710] EMC_FREQ 32%@1600 GR3D_FREQ 88%@921 APE 25 PLL@27.5C CPU@32C PMIC@50C GPU@30C AO@38.5C thermal@31.25C POM_5V_IN 5300/5266 POM_5V_GPU 2650/2653 POM_5V_CPU 372/400
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [39%@825,11%@825,8%@825,11%@825] EMC_FREQ 32%@1600 GR3D_FREQ 88%@921 APE 25 PLL@27.5C CPU@32C PMIC@50C GPU@30C AO@39C thermal@31.25C POM_5V_IN 5258/5266 POM_5V_GPU 2691/2655 POM_5V_CPU 414/401
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [41%@614,8%@614,7%@614,7%@710] EMC_FREQ 32%@1600 GR3D_FREQ 87%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30C AO@38.5C thermal@31.25C POM_5V_IN 5258/5265 POM_5V_GPU 2650/2655 POM_5V_CPU 414/401
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [46%@710,6%@710,4%@710,4%@710] EMC_FREQ 32%@1600 GR3D_FREQ 84%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30C AO@38.5C thermal@31.25C POM_5V_IN 5341/5269 POM_5V_GPU 2728/2658 POM_5V_CPU 414/402
RAM 1634/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [48%@710,5%@710,5%@710,6%@710] EMC_FREQ 32%@1600 GR3D_FREQ 90%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30C AO@38.5C thermal@31.25C POM_5V_IN 5258/5268 POM_5V_GPU 2650/2658 POM_5V_CPU 372/401
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [37%@710,10%@710,5%@710,12%@710] EMC_FREQ 31%@1600 GR3D_FREQ 88%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30C AO@38.5C thermal@31.25C POM_5V_IN 5266/5268 POM_5V_GPU 2650/2657 POM_5V_CPU 414/401
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [45%@614,6%@614,8%@614,6%@614] EMC_FREQ 32%@1600 GR3D_FREQ 86%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30C AO@38.5C thermal@31.25C POM_5V_IN 5655/5284 POM_5V_GPU 2596/2655 POM_5V_CPU 412/402
