RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@518,3%@518,1%@518,6%@518] EMC_FREQ 10%@1600 GR3D_FREQ 92%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@27C AO@36.5C thermal@27.75C POM_5V_IN 5564/5564 POM_5V_GPU 3214/3214 POM_5V_CPU 247/247
RAM 1644/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [38%@307,3%@307,1%@307,4%@307] EMC_FREQ 15%@1600 GR3D_FREQ 83%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@26.5C AO@36.5C thermal@27.75C POM_5V_IN 5176/5370 POM_5V_GPU 3100/3157 POM_5V_CPU 206/226
RAM 1644/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [36%@307,2%@307,5%@307,2%@307] EMC_FREQ 19%@1600 GR3D_FREQ 83%@921 APE 25 PLL@23.5C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28.25C POM_5V_IN 5300/5346 POM_5V_GPU 3018/3110 POM_5V_CPU 206/219
RAM 1644/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [34%@204,2%@204,5%@204,4%@307] EMC_FREQ 21%@1600 GR3D_FREQ 84%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27.5C AO@36.5C thermal@28C POM_5V_IN 5522/5390 POM_5V_GPU 3004/3084 POM_5V_CPU 205/216
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,31%@204,3%@204,7%@204] EMC_FREQ 22%@1600 GR3D_FREQ 84%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28C POM_5V_IN 5366/5385 POM_5V_GPU 3054/3078 POM_5V_CPU 206/214
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,24%@307,3%@307,6%@307] EMC_FREQ 23%@1600 GR3D_FREQ 83%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@36C thermal@28C POM_5V_IN 5292/5370 POM_5V_GPU 3096/3081 POM_5V_CPU 206/212
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [34%@204,4%@204,3%@204,4%@204] EMC_FREQ 24%@1600 GR3D_FREQ 86%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28.25C POM_5V_IN 5300/5360 POM_5V_GPU 2935/3060 POM_5V_CPU 248/217
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [34%@204,3%@204,5%@204,2%@204] EMC_FREQ 24%@1600 GR3D_FREQ 82%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@37C thermal@28C POM_5V_IN 5300/5352 POM_5V_GPU 2976/3049 POM_5V_CPU 206/216
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [36%@307,1%@307,1%@307,3%@307] EMC_FREQ 25%@1600 GR3D_FREQ 92%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@37C thermal@28.5C POM_5V_IN 5292/5345 POM_5V_GPU 3054/3050 POM_5V_CPU 206/215
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@307,2%@307,2%@307,5%@307] EMC_FREQ 25%@1600 GR3D_FREQ 84%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@26.5C AO@37C thermal@28.25C POM_5V_IN 5374/5348 POM_5V_GPU 3096/3054 POM_5V_CPU 206/214
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [36%@307,2%@307,3%@307,2%@307] EMC_FREQ 25%@1600 GR3D_FREQ 83%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@37C thermal@28.25C POM_5V_IN 5292/5343 POM_5V_GPU 3096/3058 POM_5V_CPU 206/213
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [32%@204,6%@204,3%@204,8%@204] EMC_FREQ 25%@1600 GR3D_FREQ 83%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28.5C POM_5V_IN 5258/5336 POM_5V_GPU 2976/3051 POM_5V_CPU 206/212
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [34%@307,5%@307,6%@307,6%@307] EMC_FREQ 25%@1600 GR3D_FREQ 76%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@37C thermal@28.5C POM_5V_IN 5101/5318 POM_5V_GPU 2976/3045 POM_5V_CPU 207/212
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@204,4%@204,4%@204,4%@204] EMC_FREQ 25%@1600 GR3D_FREQ 89%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28.5C POM_5V_IN 5217/5311 POM_5V_GPU 2972/3040 POM_5V_CPU 247/214
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [34%@204,2%@204,4%@307,5%@307] EMC_FREQ 25%@1600 GR3D_FREQ 98%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27.5C AO@36.5C thermal@28.25C POM_5V_IN 5341/5313 POM_5V_GPU 2898/3031 POM_5V_CPU 206/214
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [36%@403,1%@403,1%@403,5%@403] EMC_FREQ 25%@1600 GR3D_FREQ 84%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27C AO@37C thermal@28.25C POM_5V_IN 5217/5307 POM_5V_GPU 3018/3030 POM_5V_CPU 206/213
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [32%@204,1%@204,3%@204,7%@204] EMC_FREQ 25%@1600 GR3D_FREQ 83%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27C AO@37C thermal@28.5C POM_5V_IN 5341/5309 POM_5V_GPU 2898/3022 POM_5V_CPU 206/213
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [34%@204,3%@204,3%@204,7%@204] EMC_FREQ 25%@1600 GR3D_FREQ 98%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27C AO@36.5C thermal@28.25C POM_5V_IN 5093/5297 POM_5V_GPU 2976/3019 POM_5V_CPU 248/215
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [37%@204,3%@307,3%@307,4%@307] EMC_FREQ 25%@1600 GR3D_FREQ 87%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27.5C AO@36.5C thermal@28.25C POM_5V_IN 5761/5321 POM_5V_GPU 3045/3021 POM_5V_CPU 246/216
RAM 1643/3964MB (lfb 51x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [36%@307,4%@307,1%@307,2%@403] EMC_FREQ 25%@1600 GR3D_FREQ 85%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27.5C AO@37C thermal@28.5C POM_5V_IN 5292/5319 POM_5V_GPU 3096/3024 POM_5V_CPU 206/216
