RAM 1638/3964MB (lfb 87x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@518,22%@518,3%@518,4%@518] EMC_FREQ 8%@1600 GR3D_FREQ 83%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@39C thermal@31.25C POM_5V_IN 5590/5590 POM_5V_GPU 3271/3271 POM_5V_CPU 289/289
RAM 1638/3964MB (lfb 87x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@403,28%@403,7%@403,5%@403] EMC_FREQ 14%@1600 GR3D_FREQ 92%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@31.25C POM_5V_IN 5557/5573 POM_5V_GPU 3229/3250 POM_5V_CPU 331/310
RAM 1638/3964MB (lfb 87x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@518,35%@518,7%@518,7%@518] EMC_FREQ 17%@1600 GR3D_FREQ 84%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@39.5C thermal@31.25C POM_5V_IN 5557/5568 POM_5V_GPU 3110/3203 POM_5V_CPU 289/303
RAM 1638/3964MB (lfb 87x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@307,33%@307,9%@307,5%@307] EMC_FREQ 20%@1600 GR3D_FREQ 88%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.25C POM_5V_IN 5515/5554 POM_5V_GPU 3188/3199 POM_5V_CPU 289/299
RAM 1638/3964MB (lfb 87x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,35%@403,8%@403,7%@403] EMC_FREQ 22%@1600 GR3D_FREQ 88%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.5C POM_5V_IN 5590/5561 POM_5V_GPU 3224/3204 POM_5V_CPU 331/305
RAM 1638/3964MB (lfb 87x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@403,34%@403,5%@403,7%@403] EMC_FREQ 23%@1600 GR3D_FREQ 92%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@39.5C thermal@31.25C POM_5V_IN 5640/5574 POM_5V_GPU 3188/3201 POM_5V_CPU 331/310
RAM 1638/3964MB (lfb 87x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,34%@403,8%@518,6%@518] EMC_FREQ 24%@1600 GR3D_FREQ 81%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.5C POM_5V_IN 5515/5566 POM_5V_GPU 3229/3205 POM_5V_CPU 289/307
RAM 1638/3964MB (lfb 87x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@403,31%@403,8%@403,5%@403] EMC_FREQ 24%@1600 GR3D_FREQ 80%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@39.5C thermal@31.25C POM_5V_IN 5590/5569 POM_5V_GPU 3188/3203 POM_5V_CPU 289/304
RAM 1638/3964MB (lfb 87x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@403,35%@403,5%@403,5%@307] EMC_FREQ 24%@1600 GR3D_FREQ 87%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@29.5C AO@39.5C thermal@31C POM_5V_IN 5548/5566 POM_5V_GPU 3193/3202 POM_5V_CPU 290/303
RAM 1638/3964MB (lfb 87x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@403,35%@403,7%@403,4%@403] EMC_FREQ 25%@1600 GR3D_FREQ 92%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@39.5C thermal@31.5C POM_5V_IN 5631/5573 POM_5V_GPU 3224/3204 POM_5V_CPU 372/310
RAM 1638/3964MB (lfb 87x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [39%@403,8%@403,8%@403,8%@403] EMC_FREQ 25%@1600 GR3D_FREQ 93%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.25C POM_5V_IN 5590/5574 POM_5V_GPU 3266/3210 POM_5V_CPU 289/308
