RAM 1636/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,18%@204,10%@204,5%@204] EMC_FREQ 8%@1600 GR3D_FREQ 84%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@29.5C AO@39.5C thermal@31C POM_5V_IN 5275/5275 POM_5V_GPU 3073/3073 POM_5V_CPU 290/290
RAM 1636/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [33%@307,2%@307,4%@307,11%@307] EMC_FREQ 13%@1600 GR3D_FREQ 93%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@31C POM_5V_IN 5391/5333 POM_5V_GPU 3193/3133 POM_5V_CPU 290/290
RAM 1636/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [35%@307,4%@307,8%@307,7%@307] EMC_FREQ 16%@1600 GR3D_FREQ 88%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@39.5C thermal@31C POM_5V_IN 5391/5352 POM_5V_GPU 3151/3139 POM_5V_CPU 290/290
RAM 1636/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [32%@518,8%@518,7%@518,8%@518] EMC_FREQ 18%@1600 GR3D_FREQ 86%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@39.5C thermal@31.25C POM_5V_IN 5399/5364 POM_5V_GPU 3110/3131 POM_5V_CPU 290/290
RAM 1636/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@307,6%@307,5%@307,6%@307] EMC_FREQ 19%@1600 GR3D_FREQ 84%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@31.25C POM_5V_IN 5399/5371 POM_5V_GPU 3068/3119 POM_5V_CPU 290/290
RAM 1636/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [34%@403,4%@403,6%@403,6%@403] EMC_FREQ 20%@1600 GR3D_FREQ 84%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30C AO@39.5C thermal@31.25C POM_5V_IN 5358/5368 POM_5V_GPU 3110/3117 POM_5V_CPU 290/290
RAM 1637/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@518,5%@518,41%@518,6%@518] EMC_FREQ 20%@1600 GR3D_FREQ 85%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.25C POM_5V_IN 5432/5377 POM_5V_GPU 3193/3128 POM_5V_CPU 290/290
RAM 1637/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,6%@307,32%@307,6%@307] EMC_FREQ 21%@1600 GR3D_FREQ 86%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@31.25C POM_5V_IN 5474/5389 POM_5V_GPU 3151/3131 POM_5V_CPU 290/290
RAM 1637/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,6%@307,33%@307,4%@403] EMC_FREQ 21%@1600 GR3D_FREQ 88%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@31.25C POM_5V_IN 5358/5386 POM_5V_GPU 3110/3128 POM_5V_CPU 290/290
RAM 1637/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,5%@403,34%@403,9%@403] EMC_FREQ 21%@1600 GR3D_FREQ 85%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@31.25C POM_5V_IN 5705/5418 POM_5V_GPU 3105/3126 POM_5V_CPU 289/289
RAM 1637/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,6%@403,34%@403,4%@307] EMC_FREQ 22%@1600 GR3D_FREQ 85%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40.5C thermal@31.25C POM_5V_IN 5474/5423 POM_5V_GPU 3151/3128 POM_5V_CPU 290/289
RAM 1637/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@307,5%@307,34%@307,6%@307] EMC_FREQ 22%@1600 GR3D_FREQ 81%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.25C POM_5V_IN 5349/5417 POM_5V_GPU 3151/3130 POM_5V_CPU 290/289
RAM 1637/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,4%@403,32%@403,7%@403] EMC_FREQ 22%@1600 GR3D_FREQ 92%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.5C POM_5V_IN 5358/5412 POM_5V_GPU 3151/3132 POM_5V_CPU 290/289
RAM 1637/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@307,4%@307,22%@307,4%@307] EMC_FREQ 22%@1600 GR3D_FREQ 91%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.5C POM_5V_IN 5399/5411 POM_5V_GPU 3151/3133 POM_5V_CPU 290/289
RAM 1637/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [38%@307,5%@307,8%@307,4%@307] EMC_FREQ 22%@1600 GR3D_FREQ 90%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.5C POM_5V_IN 5432/5412 POM_5V_GPU 3147/3134 POM_5V_CPU 331/292
RAM 1637/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [36%@403,6%@403,5%@403,7%@403] EMC_FREQ 22%@1600 GR3D_FREQ 80%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@30C AO@40C thermal@31.5C POM_5V_IN 5432/5414 POM_5V_GPU 3193/3138 POM_5V_CPU 290/292
RAM 1637/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [32%@403,8%@403,8%@403,7%@403] EMC_FREQ 22%@1600 GR3D_FREQ 79%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@31.75C POM_5V_IN 5358/5410 POM_5V_GPU 3110/3136 POM_5V_CPU 290/292
RAM 1637/3964MB (lfb 102x4MB) SWAP 135/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [32%@307,8%@307,8%@307,7%@307] EMC_FREQ 22%@1600 GR3D_FREQ 78%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.75C POM_5V_IN 5358/5407 POM_5V_GPU 3073/3132 POM_5V_CPU 290/292
