RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@403,3%@403,2%@403,6%@403] EMC_FREQ 12%@1600 GR3D_FREQ 88%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@25.5C AO@34.5C thermal@26.5C POM_5V_IN 5059/5059 POM_5V_GPU 2691/2691 POM_5V_CPU 248/248
RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [33%@204,5%@204,4%@204,4%@204] EMC_FREQ 17%@1600 GR3D_FREQ 82%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@26.75C POM_5V_IN 4791/4925 POM_5V_GPU 2454/2572 POM_5V_CPU 208/228
RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,26%@204,6%@204,2%@204] EMC_FREQ 21%@1600 GR3D_FREQ 84%@921 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@35C thermal@26.75C POM_5V_IN 4901/4917 POM_5V_GPU 2616/2587 POM_5V_CPU 248/234
RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,36%@204,5%@204,2%@204] EMC_FREQ 24%@1600 GR3D_FREQ 84%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34C thermal@26.75C POM_5V_IN 5025/4944 POM_5V_GPU 2575/2584 POM_5V_CPU 207/227
RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,35%@307,3%@307,2%@307] EMC_FREQ 26%@1600 GR3D_FREQ 83%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@26.75C POM_5V_IN 4825/4920 POM_5V_GPU 2575/2582 POM_5V_CPU 207/223
RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,38%@307,7%@307,3%@307] EMC_FREQ 27%@1600 GR3D_FREQ 82%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@25.5C AO@35C thermal@26.75C POM_5V_IN 4908/4918 POM_5V_GPU 2612/2587 POM_5V_CPU 207/220
RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,35%@307,5%@307,4%@307] EMC_FREQ 28%@1600 GR3D_FREQ 88%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@27C POM_5V_IN 5018/4932 POM_5V_GPU 2737/2608 POM_5V_CPU 248/224
RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,33%@307,4%@307,3%@307] EMC_FREQ 28%@1600 GR3D_FREQ 83%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35C thermal@26.75C POM_5V_IN 5059/4948 POM_5V_GPU 2737/2624 POM_5V_CPU 207/222
RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,34%@307,2%@307,3%@307] EMC_FREQ 29%@1600 GR3D_FREQ 86%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@34.5C thermal@27C POM_5V_IN 5142/4969 POM_5V_GPU 2612/2623 POM_5V_CPU 248/225
RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@403,32%@403,4%@307,3%@307] EMC_FREQ 29%@1600 GR3D_FREQ 87%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@27C POM_5V_IN 5025/4975 POM_5V_GPU 2654/2626 POM_5V_CPU 207/223
RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,35%@307,8%@307,0%@307] EMC_FREQ 29%@1600 GR3D_FREQ 87%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34C thermal@27C POM_5V_IN 5025/4979 POM_5V_GPU 2616/2625 POM_5V_CPU 207/222
RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,35%@307,2%@307,5%@307] EMC_FREQ 29%@1600 GR3D_FREQ 82%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@27C POM_5V_IN 5059/4986 POM_5V_GPU 2654/2627 POM_5V_CPU 249/224
RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,34%@204,6%@204,2%@204] EMC_FREQ 29%@1600 GR3D_FREQ 80%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@27C POM_5V_IN 4784/4970 POM_5V_GPU 2533/2620 POM_5V_CPU 207/222
RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,30%@307,14%@307,3%@307] EMC_FREQ 29%@1600 GR3D_FREQ 83%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35C thermal@27C POM_5V_IN 4867/4963 POM_5V_GPU 2575/2617 POM_5V_CPU 207/221
RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,35%@307,2%@307,1%@307] EMC_FREQ 29%@1600 GR3D_FREQ 80%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@27C POM_5V_IN 4901/4959 POM_5V_GPU 2658/2619 POM_5V_CPU 249/223
RAM 1633/3964MB (lfb 111x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,36%@307,2%@307,0%@307] EMC_FREQ 29%@1600 GR3D_FREQ 84%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26.5C AO@35C thermal@27C POM_5V_IN 4942/4958 POM_5V_GPU 2654/2622 POM_5V_CPU 207/222
