RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,4%@102,5%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@28.5C AO@39.5C thermal@30C POM_5V_IN 6441/5945 POM_5V_GPU 4192/3651 POM_5V_CPU 122/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,4%@204,4%@204,6%@204] EMC_FREQ 28%@1600 GR3D_FREQ 61%@921 APE 25 PLL@25C CPU@31C PMIC@50C GPU@27.5C AO@38C thermal@29.25C POM_5V_IN 4976/5888 POM_5V_GPU 2935/3609 POM_5V_CPU 124/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,5%@102,1%@102,2%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@29C AO@37.5C thermal@29.25C POM_5V_IN 6153/5902 POM_5V_GPU 3651/3611 POM_5V_CPU 123/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,3%@102,5%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32.5C PMIC@50C GPU@28C AO@39.5C thermal@29.25C POM_5V_IN 6369/5927 POM_5V_GPU 4158/3640 POM_5V_CPU 122/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,5%@102,3%@102,4%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28C AO@38.5C thermal@30C POM_5V_IN 5481/5905 POM_5V_GPU 3415/3629 POM_5V_CPU 123/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,2%@102,2%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28C AO@36.5C thermal@30.25C POM_5V_IN 5258/5874 POM_5V_GPU 2944/3596 POM_5V_CPU 124/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,3%@102,2%@102,2%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@28.5C AO@39.5C thermal@30.25C POM_5V_IN 6451/5900 POM_5V_GPU 4164/3622 POM_5V_CPU 122/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,2%@102,4%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@28.5C AO@39.5C thermal@30.25C POM_5V_IN 6225/5914 POM_5V_GPU 3885/3633 POM_5V_CPU 122/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,4%@204,1%@204,4%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@29.5C PMIC@50C GPU@28C AO@36.5C thermal@29.25C POM_5V_IN 4548/5857 POM_5V_GPU 2416/3583 POM_5V_CPU 124/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,2%@102,5%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@28.5C AO@40C thermal@28.75C POM_5V_IN 6594/5887 POM_5V_GPU 4348/3613 POM_5V_CPU 121/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@204,6%@204,1%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@28.5C AO@40C thermal@30C POM_5V_IN 6441/5908 POM_5V_GPU 4192/3636 POM_5V_CPU 122/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,6%@102,7%@102] EMC_FREQ 28%@1600 GR3D_FREQ 71%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38.5C thermal@30.5C POM_5V_IN 4901/5871 POM_5V_GPU 3018/3613 POM_5V_CPU 123/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,2%@102,2%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@38C thermal@30.5C POM_5V_IN 6266/5885 POM_5V_GPU 3774/3618 POM_5V_CPU 123/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,2%@102,4%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@28.5C AO@40C thermal@30.5C POM_5V_IN 6369/5901 POM_5V_GPU 4158/3637 POM_5V_CPU 122/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,7%@102,3%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@28.5C AO@39C thermal@30.5C POM_5V_IN 5678/5894 POM_5V_GPU 3574/3635 POM_5V_CPU 123/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,3%@102,5%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28.5C AO@37C thermal@30C POM_5V_IN 5225/5872 POM_5V_GPU 2903/3611 POM_5V_CPU 124/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,3%@204,2%@204,4%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@28.5C AO@39.5C thermal@29C POM_5V_IN 6492/5892 POM_5V_GPU 4199/3630 POM_5V_CPU 122/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,2%@102,3%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@29C AO@39.5C thermal@29.5C POM_5V_IN 6184/5901 POM_5V_GPU 3885/3637 POM_5V_CPU 122/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,2%@102,4%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28C AO@36.5C thermal@30.5C POM_5V_IN 4590/5862 POM_5V_GPU 2416/3601 POM_5V_CPU 124/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,5%@204,5%@204,1%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@29C AO@40C thermal@30.5C POM_5V_IN 6594/5883 POM_5V_GPU 4389/3624 POM_5V_CPU 121/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,3%@102,2%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@29C AO@40C thermal@30.5C POM_5V_IN 6482/5900 POM_5V_GPU 4233/3641 POM_5V_CPU 122/122
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,4%@204,7%@204,4%@204] EMC_FREQ 28%@1600 GR3D_FREQ 85%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38.5C thermal@30C POM_5V_IN 4859/5871 POM_5V_GPU 2857/3620 POM_5V_CPU 165/123
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,5%@204,2%@204,0%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29C AO@38.5C thermal@29C POM_5V_IN 6420/5886 POM_5V_GPU 3926/3628 POM_5V_CPU 122/123
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,4%@102,2%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@28.5C AO@40C thermal@29.75C POM_5V_IN 6369/5898 POM_5V_GPU 4199/3642 POM_5V_CPU 122/123
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,2%@204,3%@204,5%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@28.5C AO@39.5C thermal@29.75C POM_5V_IN 5720/5894 POM_5V_GPU 3574/3641 POM_5V_CPU 123/123
