RAM 1650/3964MB (lfb 71x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@518,5%@518,18%@518,11%@518] EMC_FREQ 12%@1600 GR3D_FREQ 85%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27.5C AO@36.5C thermal@26.75C POM_5V_IN 5407/5407 POM_5V_GPU 2843/2843 POM_5V_CPU 330/330
RAM 1650/3964MB (lfb 71x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@403,7%@403,30%@403,7%@403] EMC_FREQ 19%@1600 GR3D_FREQ 87%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27.5C AO@36.5C thermal@28.5C POM_5V_IN 5333/5370 POM_5V_GPU 2889/2866 POM_5V_CPU 289/309
RAM 1650/3964MB (lfb 71x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@307,6%@307,31%@307,4%@307] EMC_FREQ 24%@1600 GR3D_FREQ 92%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27.5C AO@37C thermal@28.75C POM_5V_IN 5292/5344 POM_5V_GPU 2848/2860 POM_5V_CPU 288/302
RAM 1650/3964MB (lfb 71x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@403,4%@403,32%@307,4%@307] EMC_FREQ 27%@1600 GR3D_FREQ 81%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27.5C AO@36.5C thermal@28.5C POM_5V_IN 5333/5341 POM_5V_GPU 2728/2827 POM_5V_CPU 248/288
RAM 1650/3964MB (lfb 71x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [39%@307,5%@307,3%@307,2%@307] EMC_FREQ 29%@1600 GR3D_FREQ 88%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27.5C AO@37C thermal@28.75C POM_5V_IN 5250/5323 POM_5V_GPU 2848/2831 POM_5V_CPU 247/280
RAM 1650/3964MB (lfb 71x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@403,35%@518,5%@518,3%@518] EMC_FREQ 30%@1600 GR3D_FREQ 86%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@27.5C AO@37C thermal@28.75C POM_5V_IN 5333/5324 POM_5V_GPU 2848/2834 POM_5V_CPU 289/281
RAM 1650/3964MB (lfb 71x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,33%@307,3%@307,5%@307] EMC_FREQ 31%@1600 GR3D_FREQ 91%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27.5C AO@37C thermal@28.75C POM_5V_IN 5374/5331 POM_5V_GPU 2770/2824 POM_5V_CPU 289/282
RAM 1650/3964MB (lfb 71x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,31%@307,5%@307,7%@307] EMC_FREQ 32%@1600 GR3D_FREQ 92%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@28C AO@37.5C thermal@29C POM_5V_IN 5325/5330 POM_5V_GPU 2926/2837 POM_5V_CPU 288/283
RAM 1650/3964MB (lfb 71x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@518,32%@518,6%@518,5%@518] EMC_FREQ 32%@1600 GR3D_FREQ 81%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@28C AO@37C thermal@29C POM_5V_IN 5366/5334 POM_5V_GPU 2848/2838 POM_5V_CPU 248/279
RAM 1650/3964MB (lfb 71x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,30%@403,6%@403,5%@403] EMC_FREQ 33%@1600 GR3D_FREQ 85%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@27.5C AO@37C thermal@28.75C POM_5V_IN 5325/5333 POM_5V_GPU 2885/2843 POM_5V_CPU 288/280
RAM 1650/3964MB (lfb 71x4MB) SWAP 114/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,34%@307,7%@307,5%@307] EMC_FREQ 33%@1600 GR3D_FREQ 85%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@27.5C AO@37C thermal@28.75C POM_5V_IN 5292/5330 POM_5V_GPU 2770/2836 POM_5V_CPU 288/281
