RAM 1635/3964MB (lfb 37x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,3%@403,20%@403,25%@403] EMC_FREQ 12%@1600 GR3D_FREQ 87%@921 APE 25 PLL@23C CPU@27.5C PMIC@50C GPU@25.5C AO@34.5C thermal@25.25C POM_5V_IN 5059/5059 POM_5V_GPU 2567/2567 POM_5V_CPU 289/289
RAM 1635/3964MB (lfb 37x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@403,8%@403,37%@403,8%@403] EMC_FREQ 19%@1600 GR3D_FREQ 87%@921 APE 25 PLL@23C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@26.5C POM_5V_IN 5018/5038 POM_5V_GPU 2567/2567 POM_5V_CPU 289/289
RAM 1635/3964MB (lfb 37x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@307,12%@307,39%@307,8%@307] EMC_FREQ 23%@1600 GR3D_FREQ 85%@921 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34.5C thermal@26.75C POM_5V_IN 4976/5017 POM_5V_GPU 2525/2553 POM_5V_CPU 289/289
RAM 1635/3964MB (lfb 37x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@307,6%@307,37%@307,10%@307] EMC_FREQ 26%@1600 GR3D_FREQ 84%@921 APE 25 PLL@23.5C CPU@27C PMIC@50C GPU@25.5C AO@34.5C thermal@26.25C POM_5V_IN 4976/5007 POM_5V_GPU 2446/2526 POM_5V_CPU 290/289
RAM 1635/3964MB (lfb 37x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@307,10%@307,37%@307,7%@307] EMC_FREQ 28%@1600 GR3D_FREQ 81%@921 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34.5C thermal@26.5C POM_5V_IN 5333/5072 POM_5V_GPU 2435/2508 POM_5V_CPU 288/289
RAM 1635/3964MB (lfb 37x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@518,8%@518,40%@518,8%@518] EMC_FREQ 30%@1600 GR3D_FREQ 87%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@25.5C AO@34.5C thermal@26.5C POM_5V_IN 5051/5068 POM_5V_GPU 2529/2511 POM_5V_CPU 290/289
RAM 1635/3964MB (lfb 37x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,8%@403,37%@403,9%@403] EMC_FREQ 30%@1600 GR3D_FREQ 85%@921 APE 25 PLL@23C CPU@27.5C PMIC@50C GPU@25.5C AO@34.5C thermal@26.75C POM_5V_IN 4976/5055 POM_5V_GPU 2446/2502 POM_5V_CPU 290/289
RAM 1635/3964MB (lfb 37x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@518,8%@518,38%@518,3%@204] EMC_FREQ 31%@1600 GR3D_FREQ 86%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@25.5C AO@34.5C thermal@26.75C POM_5V_IN 5018/5050 POM_5V_GPU 2446/2495 POM_5V_CPU 289/289
RAM 1635/3964MB (lfb 37x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@403,7%@403,37%@403,11%@403] EMC_FREQ 32%@1600 GR3D_FREQ 83%@921 APE 25 PLL@23C CPU@27.5C PMIC@50C GPU@26C AO@34.5C thermal@26.75C POM_5V_IN 4942/5038 POM_5V_GPU 2484/2493 POM_5V_CPU 289/289
RAM 1635/3964MB (lfb 37x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,6%@204,36%@204,9%@204] EMC_FREQ 32%@1600 GR3D_FREQ 83%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@25.5C AO@34.5C thermal@26.75C POM_5V_IN 4818/5016 POM_5V_GPU 2446/2489 POM_5V_CPU 290/289
RAM 1635/3964MB (lfb 37x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@518,9%@518,38%@518,7%@518] EMC_FREQ 32%@1600 GR3D_FREQ 78%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34.5C thermal@26.5C POM_5V_IN 5101/5024 POM_5V_GPU 2446/2485 POM_5V_CPU 331/293
