RAM 1637/3964MB (lfb 25x4MB) SWAP 93/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@403,17%@403,2%@403,1%@403] EMC_FREQ 11%@1600 GR3D_FREQ 82%@921 APE 25 PLL@22.5C CPU@27.5C PMIC@50C GPU@25.5C AO@35.5C thermal@26.5C POM_5V_IN 5374/5374 POM_5V_GPU 2972/2972 POM_5V_CPU 247/247
RAM 1637/3964MB (lfb 25x4MB) SWAP 93/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,25%@204,2%@307,4%@307] EMC_FREQ 17%@1600 GR3D_FREQ 95%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@25.5C AO@35.5C thermal@26.75C POM_5V_IN 5333/5353 POM_5V_GPU 3054/3013 POM_5V_CPU 206/226
RAM 1637/3964MB (lfb 25x4MB) SWAP 93/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,30%@307,0%@307,2%@307] EMC_FREQ 20%@1600 GR3D_FREQ 83%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@35C thermal@27C POM_5V_IN 5292/5333 POM_5V_GPU 3091/3039 POM_5V_CPU 206/219
RAM 1637/3964MB (lfb 25x4MB) SWAP 93/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,29%@204,2%@204,2%@204] EMC_FREQ 23%@1600 GR3D_FREQ 83%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@25.5C AO@35.5C thermal@27C POM_5V_IN 5209/5302 POM_5V_GPU 2930/3011 POM_5V_CPU 206/216
RAM 1637/3964MB (lfb 25x4MB) SWAP 93/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,29%@102,3%@204,1%@204] EMC_FREQ 24%@1600 GR3D_FREQ 89%@921 APE 25 PLL@22.5C CPU@28.5C PMIC@50C GPU@25.5C AO@35C thermal@26.75C POM_5V_IN 5948/5431 POM_5V_GPU 3040/3017 POM_5V_CPU 205/214
RAM 1637/3964MB (lfb 25x4MB) SWAP 93/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,28%@204,4%@204,3%@204] EMC_FREQ 25%@1600 GR3D_FREQ 95%@921 APE 25 PLL@23C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@27C POM_5V_IN 5448/5434 POM_5V_GPU 3091/3029 POM_5V_CPU 165/205
RAM 1637/3964MB (lfb 25x4MB) SWAP 93/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,28%@307,3%@307,4%@307] EMC_FREQ 26%@1600 GR3D_FREQ 98%@921 APE 25 PLL@23C CPU@28.5C PMIC@50C GPU@26C AO@35.5C thermal@27.25C POM_5V_IN 5481/5440 POM_5V_GPU 3209/3055 POM_5V_CPU 206/205
RAM 1637/3964MB (lfb 25x4MB) SWAP 93/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,27%@307,2%@307,3%@307] EMC_FREQ 27%@1600 GR3D_FREQ 91%@921 APE 25 PLL@23C CPU@28.5C PMIC@50C GPU@26C AO@35.5C thermal@27.25C POM_5V_IN 5250/5416 POM_5V_GPU 3013/3050 POM_5V_CPU 206/205
RAM 1637/3964MB (lfb 25x4MB) SWAP 93/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,29%@204,0%@204,5%@204] EMC_FREQ 27%@1600 GR3D_FREQ 83%@921 APE 25 PLL@23C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@26.75C POM_5V_IN 5407/5415 POM_5V_GPU 2972/3041 POM_5V_CPU 206/205
RAM 1637/3964MB (lfb 25x4MB) SWAP 93/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,31%@204,5%@204,2%@204] EMC_FREQ 27%@1600 GR3D_FREQ 89%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35.5C thermal@27C POM_5V_IN 5333/5407 POM_5V_GPU 2930/3030 POM_5V_CPU 165/201
RAM 1637/3964MB (lfb 25x4MB) SWAP 93/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [28%@204,7%@307,6%@307,2%@307] EMC_FREQ 27%@1600 GR3D_FREQ 89%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@35.5C thermal@27C POM_5V_IN 5481/5414 POM_5V_GPU 3251/3050 POM_5V_CPU 246/205
RAM 1637/3964MB (lfb 25x4MB) SWAP 93/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [29%@204,4%@204,1%@204,3%@204] EMC_FREQ 28%@1600 GR3D_FREQ 82%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@35.5C thermal@27C POM_5V_IN 5250/5400 POM_5V_GPU 2930/3040 POM_5V_CPU 206/205
