RAM 1631/3964MB (lfb 19x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@403,32%@403,3%@403,6%@403] EMC_FREQ 8%@1600 GR3D_FREQ 80%@691 APE 25 PLL@23C CPU@27C PMIC@50C GPU@25C AO@33.5C thermal@26C POM_5V_IN 4024/4024 POM_5V_GPU 1634/1634 POM_5V_CPU 292/292
RAM 1631/3964MB (lfb 19x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [34%@403,17%@403,10%@403,6%@403] EMC_FREQ 15%@1600 GR3D_FREQ 78%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@26C POM_5V_IN 5201/4612 POM_5V_GPU 2724/2179 POM_5V_CPU 330/311
RAM 1631/3964MB (lfb 19x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [39%@403,9%@403,8%@403,9%@403] EMC_FREQ 20%@1600 GR3D_FREQ 83%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@27.25C POM_5V_IN 5283/4836 POM_5V_GPU 2761/2373 POM_5V_CPU 329/317
RAM 1631/3964MB (lfb 19x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [40%@403,8%@403,6%@403,5%@403] EMC_FREQ 23%@1600 GR3D_FREQ 83%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@26C AO@35.5C thermal@27.25C POM_5V_IN 5168/4919 POM_5V_GPU 2724/2460 POM_5V_CPU 330/320
RAM 1631/3964MB (lfb 19x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [41%@403,9%@403,11%@403,10%@403] EMC_FREQ 26%@1600 GR3D_FREQ 80%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@27C POM_5V_IN 5325/5000 POM_5V_GPU 2761/2520 POM_5V_CPU 329/322
RAM 1631/3964MB (lfb 19x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [40%@518,7%@518,8%@518,5%@518] EMC_FREQ 27%@1600 GR3D_FREQ 84%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@27.5C POM_5V_IN 5283/5047 POM_5V_GPU 2802/2567 POM_5V_CPU 330/323
RAM 1631/3964MB (lfb 19x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [38%@518,7%@518,9%@518,8%@518] EMC_FREQ 28%@1600 GR3D_FREQ 79%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26.5C AO@35.5C thermal@27.5C POM_5V_IN 5209/5070 POM_5V_GPU 2641/2578 POM_5V_CPU 288/318
RAM 1631/3964MB (lfb 19x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@403,43%@403,11%@403,6%@403] EMC_FREQ 29%@1600 GR3D_FREQ 81%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26.5C AO@35.5C thermal@27.5C POM_5V_IN 5587/5135 POM_5V_GPU 2670/2589 POM_5V_CPU 328/319
RAM 1631/3964MB (lfb 19x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,39%@403,11%@403,4%@403] EMC_FREQ 29%@1600 GR3D_FREQ 80%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26C AO@35.5C thermal@27.5C POM_5V_IN 5242/5146 POM_5V_GPU 2724/2604 POM_5V_CPU 330/320
RAM 1631/3964MB (lfb 19x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@403,42%@403,4%@403,2%@403] EMC_FREQ 30%@1600 GR3D_FREQ 89%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26C AO@35.5C thermal@27.5C POM_5V_IN 5168/5149 POM_5V_GPU 2720/2616 POM_5V_CPU 288/317
RAM 1631/3964MB (lfb 19x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@403,39%@403,8%@403,5%@403] EMC_FREQ 30%@1600 GR3D_FREQ 82%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26C AO@35.5C thermal@27.5C POM_5V_IN 5242/5157 POM_5V_GPU 2761/2629 POM_5V_CPU 330/318
RAM 1631/3964MB (lfb 19x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@307,33%@307,10%@307,8%@307] EMC_FREQ 30%@1600 GR3D_FREQ 81%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@36C thermal@27.5C POM_5V_IN 5126/5154 POM_5V_GPU 2683/2633 POM_5V_CPU 288/316
