RAM 1658/3964MB (lfb 77x4MB) SWAP 1/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [47%@614,5%@614,4%@614,6%@614] EMC_FREQ 25%@1600 GR3D_FREQ 90%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27C AO@36.5C thermal@28.25C POM_5V_IN 5564/5465 POM_5V_GPU 3127/3068 POM_5V_CPU 370/357
RAM 1658/3964MB (lfb 77x4MB) SWAP 1/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [44%@614,7%@614,3%@614,7%@614] EMC_FREQ 25%@1600 GR3D_FREQ 91%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@36.5C thermal@28.5C POM_5V_IN 5522/5468 POM_5V_GPU 3127/3071 POM_5V_CPU 329/355
RAM 1658/3964MB (lfb 77x4MB) SWAP 1/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [44%@518,4%@518,7%@518,7%@518] EMC_FREQ 26%@1600 GR3D_FREQ 89%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@36.5C thermal@28.75C POM_5V_IN 5407/5465 POM_5V_GPU 2967/3065 POM_5V_CPU 370/356
RAM 1658/3964MB (lfb 77x4MB) SWAP 1/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [36%@614,9%@614,4%@614,9%@614] EMC_FREQ 26%@1600 GR3D_FREQ 90%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@37C thermal@28.5C POM_5V_IN 5522/5468 POM_5V_GPU 3127/3069 POM_5V_CPU 370/357
RAM 1658/3964MB (lfb 77x4MB) SWAP 1/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [45%@614,3%@614,2%@614,9%@614] EMC_FREQ 26%@1600 GR3D_FREQ 90%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@36.5C thermal@28.75C POM_5V_IN 5522/5471 POM_5V_GPU 3008/3066 POM_5V_CPU 329/355
RAM 1658/3964MB (lfb 77x4MB) SWAP 1/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [44%@614,3%@614,6%@614,6%@614] EMC_FREQ 26%@1600 GR3D_FREQ 89%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@36.5C thermal@28.5C POM_5V_IN 5481/5471 POM_5V_GPU 3127/3068 POM_5V_CPU 329/354
RAM 1658/3964MB (lfb 77x4MB) SWAP 1/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [42%@710,2%@710,2%@710,5%@710] EMC_FREQ 26%@1600 GR3D_FREQ 90%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@37C thermal@28.5C POM_5V_IN 5481/5472 POM_5V_GPU 3091/3069 POM_5V_CPU 370/355
RAM 1658/3964MB (lfb 77x4MB) SWAP 1/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [44%@614,5%@614,7%@614,3%@614] EMC_FREQ 26%@1600 GR3D_FREQ 90%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27C AO@37C thermal@28.5C POM_5V_IN 5481/5472 POM_5V_GPU 3091/3070 POM_5V_CPU 329/354
RAM 1658/3964MB (lfb 77x4MB) SWAP 1/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [43%@614,7%@614,4%@614,8%@614] EMC_FREQ 26%@1600 GR3D_FREQ 89%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@36.5C thermal@28.25C POM_5V_IN 5514/5474 POM_5V_GPU 3127/3073 POM_5V_CPU 370/354
RAM 1658/3964MB (lfb 77x4MB) SWAP 1/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [43%@518,7%@518,4%@518,4%@518] EMC_FREQ 26%@1600 GR3D_FREQ 90%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27.5C AO@37C thermal@28.25C POM_5V_IN 5481/5474 POM_5V_GPU 3086/3073 POM_5V_CPU 370/355
