RAM 1620/3964MB (lfb 99x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [32%@403,20%@403,8%@403,7%@403] EMC_FREQ 30%@1600 GR3D_FREQ 77%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35.5C thermal@27C POM_5V_IN 4942/5038 POM_5V_GPU 2575/2548 POM_5V_CPU 332/344
RAM 1620/3964MB (lfb 99x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [48%@614,6%@614,5%@614,7%@614] EMC_FREQ 30%@1600 GR3D_FREQ 81%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@27.5C POM_5V_IN 5025/5038 POM_5V_GPU 2571/2549 POM_5V_CPU 331/343
RAM 1620/3964MB (lfb 99x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [42%@518,7%@518,7%@518,9%@518] EMC_FREQ 30%@1600 GR3D_FREQ 84%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 5108/5041 POM_5V_GPU 2575/2550 POM_5V_CPU 331/342
RAM 1620/3964MB (lfb 99x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@614,51%@614,7%@614,6%@614] EMC_FREQ 30%@1600 GR3D_FREQ 79%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26.5C AO@35C thermal@27.25C POM_5V_IN 5101/5045 POM_5V_GPU 2612/2554 POM_5V_CPU 331/342
RAM 1620/3964MB (lfb 99x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@518,41%@518,9%@518,7%@518] EMC_FREQ 30%@1600 GR3D_FREQ 77%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35.5C thermal@27.5C POM_5V_IN 4984/5042 POM_5V_GPU 2488/2550 POM_5V_CPU 331/341
RAM 1621/3964MB (lfb 99x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@518,42%@518,9%@518,8%@518] EMC_FREQ 30%@1600 GR3D_FREQ 83%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26.5C AO@35.5C thermal@27.5C POM_5V_IN 5101/5044 POM_5V_GPU 2571/2551 POM_5V_CPU 373/343
RAM 1620/3964MB (lfb 99x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@518,45%@518,7%@518,6%@518] EMC_FREQ 30%@1600 GR3D_FREQ 81%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@26.5C AO@35C thermal@27.25C POM_5V_IN 5101/5047 POM_5V_GPU 2571/2552 POM_5V_CPU 373/344
RAM 1620/3964MB (lfb 99x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@518,37%@518,7%@518,8%@518] EMC_FREQ 30%@1600 GR3D_FREQ 83%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@26C AO@35C thermal@27.5C POM_5V_IN 5067/5048 POM_5V_GPU 2529/2551 POM_5V_CPU 331/343
RAM 1620/3964MB (lfb 99x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@518,40%@518,8%@518,7%@518] EMC_FREQ 30%@1600 GR3D_FREQ 87%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@26.5C AO@35C thermal@27.25C POM_5V_IN 5416/5063 POM_5V_GPU 2604/2553 POM_5V_CPU 413/346
RAM 1620/3964MB (lfb 99x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@518,42%@518,6%@518,7%@518] EMC_FREQ 30%@1600 GR3D_FREQ 80%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26.5C AO@35.5C thermal@27.5C POM_5V_IN 5108/5065 POM_5V_GPU 2612/2556 POM_5V_CPU 331/346
RAM 1620/3964MB (lfb 99x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@518,44%@518,7%@518,6%@518] EMC_FREQ 30%@1600 GR3D_FREQ 85%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@27C AO@35.5C thermal@27.5C POM_5V_IN 5101/5066 POM_5V_GPU 2571/2556 POM_5V_CPU 331/345
RAM 1620/3964MB (lfb 99x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@614,40%@614,7%@614,7%@614] EMC_FREQ 30%@1600 GR3D_FREQ 82%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26.5C AO@35.5C thermal@27.25C POM_5V_IN 5067/5066 POM_5V_GPU 2571/2557 POM_5V_CPU 331/345
RAM 1620/3964MB (lfb 99x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@403,40%@403,8%@403,9%@403] EMC_FREQ 30%@1600 GR3D_FREQ 86%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26.5C AO@35C thermal@27.5C POM_5V_IN 5184/5070 POM_5V_GPU 2650/2560 POM_5V_CPU 331/344
RAM 1620/3964MB (lfb 99x4MB) SWAP 91/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@518,40%@518,6%@518,10%@518] EMC_FREQ 30%@1600 GR3D_FREQ 82%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@26.5C AO@35C thermal@27.5C POM_5V_IN 5067/5070 POM_5V_GPU 2529/2559 POM_5V_CPU 332/344
