RAM 1656/3964MB (lfb 38x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,18%@403,5%@403,1%@403] EMC_FREQ 10%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30.25C POM_5V_IN 5374/5374 POM_5V_GPU 3178/3178 POM_5V_CPU 206/206
RAM 1656/3964MB (lfb 38x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,29%@204,1%@204,3%@204] EMC_FREQ 15%@1600 GR3D_FREQ 71%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@29.5C AO@39C thermal@30.5C POM_5V_IN 5531/5452 POM_5V_GPU 3256/3217 POM_5V_CPU 206/206
RAM 1656/3964MB (lfb 38x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,18%@204,6%@204,4%@204] EMC_FREQ 19%@1600 GR3D_FREQ 85%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@30.5C POM_5V_IN 5176/5360 POM_5V_GPU 3100/3178 POM_5V_CPU 165/192
RAM 1656/3964MB (lfb 38x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [25%@204,7%@204,4%@204,2%@204] EMC_FREQ 21%@1600 GR3D_FREQ 72%@921 APE 25 PLL@26.5C CPU@32C PMIC@50C GPU@29.5C AO@38.5C thermal@30.25C POM_5V_IN 5655/5434 POM_5V_GPU 3137/3167 POM_5V_CPU 206/195
RAM 1656/3964MB (lfb 38x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,30%@102,3%@102,5%@102] EMC_FREQ 22%@1600 GR3D_FREQ 70%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29.5C AO@39C thermal@30.5C POM_5V_IN 5614/5470 POM_5V_GPU 3137/3161 POM_5V_CPU 206/197
RAM 1656/3964MB (lfb 38x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,29%@204,4%@204,3%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@29.5C AO@39C thermal@30.75C POM_5V_IN 5374/5454 POM_5V_GPU 3219/3171 POM_5V_CPU 206/199
RAM 1656/3964MB (lfb 38x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,27%@307,5%@307,2%@307] EMC_FREQ 24%@1600 GR3D_FREQ 88%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@29.5C AO@39C thermal@30.5C POM_5V_IN 5761/5497 POM_5V_GPU 3533/3222 POM_5V_CPU 205/200
RAM 1656/3964MB (lfb 38x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,30%@102,1%@102,7%@102] EMC_FREQ 25%@1600 GR3D_FREQ 74%@921 APE 25 PLL@26.5C CPU@32C PMIC@50C GPU@29C AO@39C thermal@30.5C POM_5V_IN 5655/5517 POM_5V_GPU 3059/3202 POM_5V_CPU 206/200
RAM 1656/3964MB (lfb 38x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,28%@307,1%@307,6%@307] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@29.5C AO@39C thermal@31C POM_5V_IN 5333/5497 POM_5V_GPU 3219/3204 POM_5V_CPU 206/201
RAM 1656/3964MB (lfb 38x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,30%@102,1%@204,7%@204] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@29.5C AO@39.5C thermal@30.75C POM_5V_IN 5498/5497 POM_5V_GPU 3219/3205 POM_5V_CPU 206/201
RAM 1656/3964MB (lfb 38x4MB) SWAP 109/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,28%@204,3%@204,4%@204] EMC_FREQ 25%@1600 GR3D_FREQ 96%@921 APE 25 PLL@26.5C CPU@32C PMIC@50C GPU@29.5C AO@39.5C thermal@30.75C POM_5V_IN 5614/5507 POM_5V_GPU 3214/3206 POM_5V_CPU 206/202
