RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,11%@102,3%@102] EMC_FREQ 13%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27C AO@38C thermal@26C POM_5V_IN 6216/6216 POM_5V_GPU 3803/3803 POM_5V_CPU 122/122
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,1%@307,10%@307,2%@307] EMC_FREQ 21%@1600 GR3D_FREQ 63%@921 APE 25 PLL@24.5C CPU@28.5C PMIC@50C GPU@26.5C AO@36.5C thermal@28.5C POM_5V_IN 5250/5733 POM_5V_GPU 2807/3305 POM_5V_CPU 165/143
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,2%@204,10%@204,2%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27.5C AO@37C thermal@29.25C POM_5V_IN 6634/6033 POM_5V_GPU 3622/3410 POM_5V_CPU 163/150
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,4%@204,11%@204,2%@204] EMC_FREQ 30%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38.5C thermal@28.25C POM_5V_IN 6675/6193 POM_5V_GPU 4023/3563 POM_5V_CPU 162/153
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,4%@204,3%@204,3%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31C PMIC@50C GPU@27.5C AO@38.5C thermal@29.25C POM_5V_IN 6175/6190 POM_5V_GPU 3879/3626 POM_5V_CPU 163/155
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@307,3%@307,2%@307,1%@307] EMC_FREQ 34%@1600 GR3D_FREQ 80%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@27.5C AO@38C thermal@28.5C POM_5V_IN 5637/6097 POM_5V_GPU 3245/3563 POM_5V_CPU 123/149
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,3%@102,2%@102,4%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@29.5C PMIC@50C GPU@28C AO@35.5C thermal@28.75C POM_5V_IN 5875/6066 POM_5V_GPU 3163/3506 POM_5V_CPU 123/145
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,2%@204,1%@204,5%@204] EMC_FREQ 36%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28C AO@39C thermal@29.5C POM_5V_IN 6288/6093 POM_5V_GPU 4076/3577 POM_5V_CPU 122/142
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,3%@102,2%@102,0%@204] EMC_FREQ 36%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31C PMIC@50C GPU@28.5C AO@38.5C thermal@28.75C POM_5V_IN 6369/6124 POM_5V_GPU 3960/3619 POM_5V_CPU 122/140
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,10%@102,5%@204,0%@204] EMC_FREQ 36%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@28C AO@38.5C thermal@28.75C POM_5V_IN 5948/6106 POM_5V_GPU 3446/3602 POM_5V_CPU 122/138
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,7%@102,6%@204,5%@204] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@29C PMIC@50C GPU@27.5C AO@36.5C thermal@29.5C POM_5V_IN 5217/6025 POM_5V_GPU 2641/3515 POM_5V_CPU 123/137
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,3%@102,6%@102,1%@102] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28C AO@37.5C thermal@29.5C POM_5V_IN 6103/6032 POM_5V_GPU 3481/3512 POM_5V_CPU 123/136
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,4%@204,6%@204,4%@204] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28C AO@39C thermal@28.75C POM_5V_IN 6328/6055 POM_5V_GPU 4036/3552 POM_5V_CPU 122/135
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,4%@102,4%@102] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28C AO@38.5C thermal@29.25C POM_5V_IN 6257/6069 POM_5V_GPU 3844/3573 POM_5V_CPU 163/137
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@403,6%@403,5%@403,2%@403] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@27.5C AO@37C thermal@29.5C POM_5V_IN 5366/6022 POM_5V_GPU 2885/3527 POM_5V_CPU 165/138
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,4%@102,6%@102,4%@102] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28C AO@37C thermal@28.25C POM_5V_IN 5989/6020 POM_5V_GPU 3363/3517 POM_5V_CPU 123/137
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,9%@102,7%@102,7%@102] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28C AO@39C thermal@29.5C POM_5V_IN 6369/6040 POM_5V_GPU 4076/3550 POM_5V_CPU 122/136
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,5%@102,3%@102,3%@102] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@27.5C AO@39C thermal@29.75C POM_5V_IN 6175/6048 POM_5V_GPU 3919/3570 POM_5V_CPU 122/136
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,2%@307,7%@307,2%@307] EMC_FREQ 37%@1600 GR3D_FREQ 67%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28C AO@38C thermal@28.75C POM_5V_IN 5366/6012 POM_5V_GPU 3008/3540 POM_5V_CPU 123/135
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,7%@102,6%@102,2%@102] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28.5C AO@36.5C thermal@29.75C POM_5V_IN 5720/5997 POM_5V_GPU 3132/3520 POM_5V_CPU 123/134
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@204,5%@204,4%@204] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@39.5C thermal@30C POM_5V_IN 6369/6015 POM_5V_GPU 4042/3545 POM_5V_CPU 122/134
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,4%@102,4%@102] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@28C AO@39.5C thermal@28.75C POM_5V_IN 6328/6029 POM_5V_GPU 3960/3564 POM_5V_CPU 122/133
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,9%@102,3%@102,3%@102] EMC_FREQ 37%@1600 GR3D_FREQ 69%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28C AO@38.5C thermal@28.75C POM_5V_IN 5637/6012 POM_5V_GPU 3204/3548 POM_5V_CPU 123/133
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,4%@102,5%@102] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@30C PMIC@50C GPU@28.5C AO@36.5C thermal@29.5C POM_5V_IN 5761/6002 POM_5V_GPU 3004/3525 POM_5V_CPU 123/132
RAM 1788/3964MB (lfb 62x4MB) SWAP 19/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,4%@204,4%@204,7%@204] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@28.5C AO@40C thermal@30.25C POM_5V_IN 6257/6012 POM_5V_GPU 4042/3546 POM_5V_CPU 122/132
