RAM 1927/3964MB (lfb 36x4MB) SWAP 100/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,2%@307,4%@307,14%@307] EMC_FREQ 13%@1600 GR3D_FREQ 59%@921 APE 25 PLL@25C CPU@28.5C PMIC@50C GPU@27.5C AO@37.5C thermal@29.5C POM_5V_IN 4893/4893 POM_5V_GPU 2604/2604 POM_5V_CPU 164/164
RAM 1927/3964MB (lfb 36x4MB) SWAP 100/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,7%@102,3%@102,23%@102] EMC_FREQ 18%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@28C AO@35.5C thermal@29.25C POM_5V_IN 5176/5034 POM_5V_GPU 2488/2546 POM_5V_CPU 124/144
RAM 1927/3964MB (lfb 36x4MB) SWAP 100/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,6%@102,2%@102,12%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@29.5C PMIC@50C GPU@28.5C AO@36.5C thermal@29C POM_5V_IN 5374/5147 POM_5V_GPU 3018/2703 POM_5V_CPU 124/137
RAM 1927/3964MB (lfb 36x4MB) SWAP 100/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,7%@102,0%@204,3%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28.5C AO@38C thermal@29.75C POM_5V_IN 6482/5481 POM_5V_GPU 3966/3019 POM_5V_CPU 123/133
RAM 1927/3964MB (lfb 36x4MB) SWAP 100/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,7%@102,2%@102,2%@204] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28.5C AO@40C thermal@29.75C POM_5V_IN 6319/5648 POM_5V_GPU 4151/3245 POM_5V_CPU 122/131
RAM 1927/3964MB (lfb 36x4MB) SWAP 100/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,6%@204,2%@204,2%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28.5C AO@40C thermal@28.75C POM_5V_IN 6359/5767 POM_5V_GPU 4111/3389 POM_5V_CPU 122/129
RAM 1927/3964MB (lfb 36x4MB) SWAP 100/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [1%@204,4%@204,6%@204,4%@204] EMC_FREQ 26%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28.5C AO@40C thermal@29.75C POM_5V_IN 6247/5835 POM_5V_GPU 4076/3487 POM_5V_CPU 122/128
RAM 1927/3964MB (lfb 36x4MB) SWAP 100/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,6%@102,6%@102,3%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31C PMIC@50C GPU@28.5C AO@39.5C thermal@30C POM_5V_IN 6093/5867 POM_5V_GPU 3919/3541 POM_5V_CPU 122/127
RAM 1927/3964MB (lfb 36x4MB) SWAP 100/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,5%@307,5%@307,4%@307] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@39C thermal@28.75C POM_5V_IN 6052/5888 POM_5V_GPU 3639/3552 POM_5V_CPU 327/150
RAM 1927/3964MB (lfb 36x4MB) SWAP 100/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@204,3%@204,2%@204] EMC_FREQ 27%@1600 GR3D_FREQ 69%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@28C AO@38.5C thermal@30C POM_5V_IN 5051/5804 POM_5V_GPU 3059/3503 POM_5V_CPU 124/147
RAM 1927/3964MB (lfb 36x4MB) SWAP 100/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,1%@102,5%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@29.5C PMIC@50C GPU@28C AO@37C thermal@29.5C POM_5V_IN 4388/5675 POM_5V_GPU 2295/3393 POM_5V_CPU 125/145
RAM 1927/3964MB (lfb 36x4MB) SWAP 100/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,5%@102,1%@102,4%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28.5C AO@37C thermal@29.5C POM_5V_IN 5134/5630 POM_5V_GPU 2820/3345 POM_5V_CPU 124/143
RAM 1927/3964MB (lfb 36x4MB) SWAP 100/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,5%@102,1%@102,4%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@29C AO@37.5C thermal@30C POM_5V_IN 5564/5625 POM_5V_GPU 3219/3335 POM_5V_CPU 124/142
RAM 1927/3964MB (lfb 36x4MB) SWAP 100/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,7%@102,1%@102,4%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@29C AO@38.5C thermal@29C POM_5V_IN 6369/5678 POM_5V_GPU 3885/3375 POM_5V_CPU 122/140
RAM 1927/3964MB (lfb 36x4MB) SWAP 100/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,3%@204,1%@204,5%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@29C AO@40C thermal@30C POM_5V_IN 6441/5729 POM_5V_GPU 4145/3426 POM_5V_CPU 162/142
