RAM 1843/3964MB (lfb 68x4MB) SWAP 266/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [6%@518,3%@518,0%@518,0%@518] EMC_FREQ 6%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29.5C AO@41C thermal@27.25C POM_5V_IN 6450/6450 POM_5V_GPU 4512/4512 POM_5V_CPU 123/123
RAM 1843/3964MB (lfb 68x4MB) SWAP 266/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [17%@403,3%@403,2%@403,3%@403] EMC_FREQ 10%@1600 GR3D_FREQ 81%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@30C AO@41C thermal@30.75C POM_5V_IN 6368/6409 POM_5V_GPU 4225/4368 POM_5V_CPU 205/164
RAM 1843/3964MB (lfb 68x4MB) SWAP 266/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,4%@102,1%@102,2%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@42.5C thermal@31.75C POM_5V_IN 6799/6539 POM_5V_GPU 4825/4520 POM_5V_CPU 122/150
RAM 1843/3964MB (lfb 68x4MB) SWAP 266/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,3%@102,3%@102,0%@102] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@42C thermal@31.5C POM_5V_IN 6604/6555 POM_5V_GPU 4587/4537 POM_5V_CPU 122/143
RAM 1843/3964MB (lfb 68x4MB) SWAP 266/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,2%@102,1%@102,1%@204] EMC_FREQ 15%@1600 GR3D_FREQ 65%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@30C AO@41.5C thermal@31.75C POM_5V_IN 6255/6495 POM_5V_GPU 4232/4476 POM_5V_CPU 123/139
RAM 1843/3964MB (lfb 68x4MB) SWAP 266/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,2%@102,1%@204,1%@204] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@34C PMIC@50C GPU@30C AO@42.5C thermal@31.75C POM_5V_IN 6676/6525 POM_5V_GPU 4784/4527 POM_5V_CPU 122/136
RAM 1843/3964MB (lfb 68x4MB) SWAP 266/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,3%@102,5%@102,1%@102] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@42.5C thermal@32.25C POM_5V_IN 6563/6530 POM_5V_GPU 4587/4536 POM_5V_CPU 122/134
RAM 1843/3964MB (lfb 68x4MB) SWAP 266/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,4%@403,5%@403,2%@403] EMC_FREQ 16%@1600 GR3D_FREQ 64%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@30C AO@41C thermal@31.75C POM_5V_IN 6182/6487 POM_5V_GPU 4156/4488 POM_5V_CPU 123/132
RAM 1843/3964MB (lfb 68x4MB) SWAP 266/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,3%@102,6%@102,1%@102] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34.5C PMIC@50C GPU@30.5C AO@43C thermal@31.75C POM_5V_IN 6758/6517 POM_5V_GPU 4825/4525 POM_5V_CPU 122/131
RAM 1843/3964MB (lfb 68x4MB) SWAP 266/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,2%@204,1%@204,2%@204] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@42.5C thermal@32.5C POM_5V_IN 6563/6521 POM_5V_GPU 4587/4532 POM_5V_CPU 122/130
RAM 1843/3964MB (lfb 68x4MB) SWAP 266/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,5%@204,1%@204,0%@204] EMC_FREQ 17%@1600 GR3D_FREQ 60%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@30C AO@41.5C thermal@32C POM_5V_IN 6182/6490 POM_5V_GPU 4074/4490 POM_5V_CPU 164/133
