RAM 1843/3964MB (lfb 85x4MB) SWAP 340/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [3%@403,9%@403,1%@403,1%@403] EMC_FREQ 6%@1600 GR3D_FREQ 65%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28.5C AO@39C thermal@30C POM_5V_IN 5912/5912 POM_5V_GPU 4045/4045 POM_5V_CPU 165/165
RAM 1843/3964MB (lfb 85x4MB) SWAP 340/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,3%@204,1%@204,1%@204] EMC_FREQ 8%@1600 GR3D_FREQ 76%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@28.5C AO@39.5C thermal@30C POM_5V_IN 5755/5833 POM_5V_GPU 3886/3965 POM_5V_CPU 124/144
RAM 1843/3964MB (lfb 85x4MB) SWAP 340/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,3%@204,3%@204,3%@204] EMC_FREQ 10%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28.5C AO@39C thermal@29.75C POM_5V_IN 5870/5845 POM_5V_GPU 4004/3978 POM_5V_CPU 123/137
RAM 1843/3964MB (lfb 85x4MB) SWAP 340/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,0%@102,2%@102,0%@102] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@28.5C AO@39.5C thermal@30.25C POM_5V_IN 6192/5932 POM_5V_GPU 4004/3984 POM_5V_CPU 123/133
RAM 1843/3964MB (lfb 85x4MB) SWAP 340/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,2%@204,2%@204,3%@204] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@28.5C AO@40C thermal@30C POM_5V_IN 6337/6013 POM_5V_GPU 4368/4061 POM_5V_CPU 123/131
RAM 1843/3964MB (lfb 85x4MB) SWAP 340/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,10%@102,3%@102,3%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@29C AO@39.5C thermal@30.25C POM_5V_IN 6378/6074 POM_5V_GPU 4444/4125 POM_5V_CPU 123/130
RAM 1843/3964MB (lfb 85x4MB) SWAP 340/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,13%@204,2%@204,1%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@29C AO@40C thermal@30C POM_5V_IN 6337/6111 POM_5V_GPU 4320/4153 POM_5V_CPU 123/129
RAM 1843/3964MB (lfb 85x4MB) SWAP 340/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,5%@102,6%@102,8%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@28.5C AO@40C thermal@30.25C POM_5V_IN 6306/6135 POM_5V_GPU 4204/4159 POM_5V_CPU 164/133
RAM 1843/3964MB (lfb 85x4MB) SWAP 340/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,8%@102,2%@102,2%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@29C AO@39.5C thermal@30.5C POM_5V_IN 6306/6154 POM_5V_GPU 4169/4160 POM_5V_CPU 123/132
RAM 1843/3964MB (lfb 85x4MB) SWAP 340/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,7%@102,2%@102,9%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@28.5C AO@39.5C thermal@30.25C POM_5V_IN 6378/6177 POM_5V_GPU 4204/4164 POM_5V_CPU 123/131
RAM 1843/3964MB (lfb 85x4MB) SWAP 340/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,5%@102,2%@204,13%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@29C AO@40C thermal@30.25C POM_5V_IN 6337/6191 POM_5V_GPU 4327/4179 POM_5V_CPU 164/134
