RAM 1805/3964MB (lfb 20x4MB) SWAP 220/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@518,24%@518,3%@518,4%@518] EMC_FREQ 7%@1600 GR3D_FREQ 85%@921 APE 25 PLL@28.5C CPU@34.5C PMIC@50C GPU@31C AO@42.5C thermal@32.75C POM_5V_IN 5903/5903 POM_5V_GPU 3833/3833 POM_5V_CPU 247/247
RAM 1805/3964MB (lfb 20x4MB) SWAP 220/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,25%@307,1%@307,2%@307] EMC_FREQ 10%@1600 GR3D_FREQ 81%@921 APE 25 PLL@28C CPU@34.5C PMIC@50C GPU@30.5C AO@42C thermal@33C POM_5V_IN 5515/5709 POM_5V_GPU 3519/3676 POM_5V_CPU 207/227
RAM 1805/3964MB (lfb 20x4MB) SWAP 220/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@403,34%@403,4%@403,1%@403] EMC_FREQ 11%@1600 GR3D_FREQ 78%@921 APE 25 PLL@28.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42C thermal@32.5C POM_5V_IN 5515/5644 POM_5V_GPU 3519/3623 POM_5V_CPU 207/220
RAM 1805/3964MB (lfb 20x4MB) SWAP 220/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,38%@204,3%@204,3%@204] EMC_FREQ 12%@1600 GR3D_FREQ 75%@921 APE 25 PLL@28.5C CPU@34C PMIC@50C GPU@31C AO@41.5C thermal@32.5C POM_5V_IN 5441/5593 POM_5V_GPU 3442/3578 POM_5V_CPU 207/217
RAM 1805/3964MB (lfb 20x4MB) SWAP 220/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,36%@204,4%@204,3%@204] EMC_FREQ 13%@1600 GR3D_FREQ 89%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@31C AO@42C thermal@32.75C POM_5V_IN 5432/5561 POM_5V_GPU 3483/3559 POM_5V_CPU 207/215
RAM 1805/3964MB (lfb 20x4MB) SWAP 220/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,38%@204,3%@204,5%@204] EMC_FREQ 13%@1600 GR3D_FREQ 77%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@30.5C AO@42C thermal@32.75C POM_5V_IN 5524/5555 POM_5V_GPU 3400/3532 POM_5V_CPU 207/213
RAM 1805/3964MB (lfb 20x4MB) SWAP 220/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,38%@204,4%@204,8%@204] EMC_FREQ 14%@1600 GR3D_FREQ 77%@921 APE 25 PLL@28.5C CPU@34.5C PMIC@50C GPU@31C AO@42C thermal@32.5C POM_5V_IN 5557/5555 POM_5V_GPU 3436/3518 POM_5V_CPU 207/212
RAM 1805/3964MB (lfb 20x4MB) SWAP 220/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,39%@307,3%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 91%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@31C AO@42C thermal@32.75C POM_5V_IN 5557/5555 POM_5V_GPU 3561/3524 POM_5V_CPU 207/212
RAM 1805/3964MB (lfb 20x4MB) SWAP 220/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,39%@204,2%@204,5%@204] EMC_FREQ 14%@1600 GR3D_FREQ 98%@921 APE 25 PLL@28.5C CPU@34.5C PMIC@50C GPU@31C AO@41.5C thermal@32.5C POM_5V_IN 5399/5538 POM_5V_GPU 3400/3510 POM_5V_CPU 207/211
RAM 1805/3964MB (lfb 20x4MB) SWAP 220/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,38%@204,3%@204,4%@204] EMC_FREQ 14%@1600 GR3D_FREQ 88%@921 APE 25 PLL@28.5C CPU@34.5C PMIC@50C GPU@31C AO@42C thermal@33C POM_5V_IN 5590/5543 POM_5V_GPU 3596/3518 POM_5V_CPU 206/210
RAM 1805/3964MB (lfb 20x4MB) SWAP 220/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,38%@204,3%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 85%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@31C AO@42C thermal@32.75C POM_5V_IN 5515/5540 POM_5V_GPU 3519/3518 POM_5V_CPU 207/210
RAM 1805/3964MB (lfb 20x4MB) SWAP 220/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,38%@204,5%@204,5%@307] EMC_FREQ 14%@1600 GR3D_FREQ 88%@921 APE 25 PLL@28.5C CPU@35C PMIC@50C GPU@31C AO@42C thermal@32.75C POM_5V_IN 5474/5535 POM_5V_GPU 3561/3522 POM_5V_CPU 207/210
RAM 1805/3964MB (lfb 20x4MB) SWAP 220/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,37%@204,4%@307,2%@307] EMC_FREQ 14%@1600 GR3D_FREQ 77%@921 APE 25 PLL@28.5C CPU@34.5C PMIC@50C GPU@31C AO@42C thermal@33C POM_5V_IN 5474/5530 POM_5V_GPU 3478/3519 POM_5V_CPU 248/213
