RAM 1817/3964MB (lfb 38x4MB) SWAP 215/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,3%@102,21%@102,2%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@32.5C POM_5V_IN 6150/5945 POM_5V_GPU 3956/3985 POM_5V_CPU 164/143
RAM 1817/3964MB (lfb 38x4MB) SWAP 215/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,2%@307,15%@307,1%@307] EMC_FREQ 12%@1600 GR3D_FREQ 77%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@42.5C thermal@32C POM_5V_IN 6141/5956 POM_5V_GPU 4156/3995 POM_5V_CPU 164/145
RAM 1817/3964MB (lfb 38x4MB) SWAP 215/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,2%@204,5%@204,10%@204] EMC_FREQ 12%@1600 GR3D_FREQ 93%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@42C thermal@31.75C POM_5V_IN 5861/5951 POM_5V_GPU 3997/3996 POM_5V_CPU 123/143
RAM 1817/3964MB (lfb 38x4MB) SWAP 215/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,2%@102,13%@102,3%@204] EMC_FREQ 12%@1600 GR3D_FREQ 72%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@42C thermal@32.25C POM_5V_IN 5861/5946 POM_5V_GPU 3997/3996 POM_5V_CPU 123/142
RAM 1817/3964MB (lfb 38x4MB) SWAP 215/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,1%@204,17%@204,3%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@42C thermal@32.25C POM_5V_IN 5985/5948 POM_5V_GPU 4121/4002 POM_5V_CPU 123/141
RAM 1817/3964MB (lfb 38x4MB) SWAP 215/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,21%@102,2%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30C AO@42.5C thermal@32.5C POM_5V_IN 6017/5951 POM_5V_GPU 4156/4009 POM_5V_CPU 123/140
RAM 1817/3964MB (lfb 38x4MB) SWAP 215/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,4%@204,19%@204,0%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30C AO@42.5C thermal@32C POM_5V_IN 5944/5951 POM_5V_GPU 4121/4014 POM_5V_CPU 164/141
RAM 1817/3964MB (lfb 38x4MB) SWAP 215/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,2%@204,15%@204,6%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30.5C AO@42.5C thermal@32.5C POM_5V_IN 6099/5957 POM_5V_GPU 4238/4024 POM_5V_CPU 123/141
RAM 1817/3964MB (lfb 38x4MB) SWAP 215/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,13%@102,5%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@43C thermal@32.5C POM_5V_IN 6213/5968 POM_5V_GPU 4314/4036 POM_5V_CPU 123/140
RAM 1817/3964MB (lfb 38x4MB) SWAP 215/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,4%@102,12%@102,5%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@42C thermal@32.5C POM_5V_IN 6255/5980 POM_5V_GPU 4238/4044 POM_5V_CPU 164/141
RAM 1817/3964MB (lfb 38x4MB) SWAP 215/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,19%@102,1%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@31.75C POM_5V_IN 5672/5968 POM_5V_GPU 3762/4033 POM_5V_CPU 165/142
RAM 1817/3964MB (lfb 38x4MB) SWAP 215/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,5%@204,12%@204,3%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@42C thermal@32.25C POM_5V_IN 5829/5963 POM_5V_GPU 3839/4026 POM_5V_CPU 165/143
RAM 1817/3964MB (lfb 38x4MB) SWAP 215/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,14%@102,8%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@32C POM_5V_IN 5631/5951 POM_5V_GPU 3720/4015 POM_5V_CPU 165/143
RAM 1817/3964MB (lfb 38x4MB) SWAP 215/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,4%@102,2%@102,9%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@32.5C POM_5V_IN 5672/5941 POM_5V_GPU 3762/4006 POM_5V_CPU 165/144
RAM 1817/3964MB (lfb 38x4MB) SWAP 215/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,5%@102,17%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@32.25C POM_5V_IN 5631/5931 POM_5V_GPU 3720/3997 POM_5V_CPU 165/145
