RAM 1818/3964MB (lfb 13x4MB) SWAP 353/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [23%@710,6%@710,4%@710,6%@710] EMC_FREQ 18%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@37C thermal@28.25C POM_5V_IN 6512/6512 POM_5V_GPU 3680/3680 POM_5V_CPU 286/286
RAM 1818/3964MB (lfb 13x4MB) SWAP 353/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [30%@614,6%@614,6%@614,4%@614] EMC_FREQ 29%@1600 GR3D_FREQ 92%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27.5C AO@36.5C thermal@28.5C POM_5V_IN 6440/6476 POM_5V_GPU 3410/3545 POM_5V_CPU 287/286
RAM 1818/3964MB (lfb 13x4MB) SWAP 353/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [26%@307,11%@307,7%@307,7%@307] EMC_FREQ 35%@1600 GR3D_FREQ 78%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27.5C AO@37C thermal@28.75C POM_5V_IN 5976/6309 POM_5V_GPU 3328/3472 POM_5V_CPU 246/273
RAM 1818/3964MB (lfb 13x4MB) SWAP 353/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [7%@518,36%@518,3%@518,3%@518] EMC_FREQ 40%@1600 GR3D_FREQ 85%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@37.5C thermal@28.75C POM_5V_IN 6276/6301 POM_5V_GPU 3528/3486 POM_5V_CPU 286/276
RAM 1818/3964MB (lfb 13x4MB) SWAP 353/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,33%@307,6%@307,6%@307] EMC_FREQ 43%@1600 GR3D_FREQ 97%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27.5C AO@37C thermal@29C POM_5V_IN 6204/6281 POM_5V_GPU 3446/3478 POM_5V_CPU 286/278
RAM 1818/3964MB (lfb 13x4MB) SWAP 353/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,31%@204,6%@204,5%@204] EMC_FREQ 45%@1600 GR3D_FREQ 96%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@28C AO@37C thermal@28.75C POM_5V_IN 6440/6308 POM_5V_GPU 3446/3473 POM_5V_CPU 246/272
RAM 1818/3964MB (lfb 13x4MB) SWAP 353/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,30%@204,4%@204,5%@204] EMC_FREQ 47%@1600 GR3D_FREQ 90%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@27.5C AO@37.5C thermal@29C POM_5V_IN 6471/6331 POM_5V_GPU 3639/3496 POM_5V_CPU 286/274
RAM 1818/3964MB (lfb 13x4MB) SWAP 353/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [6%@614,28%@614,3%@614,7%@614] EMC_FREQ 48%@1600 GR3D_FREQ 91%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@37.5C thermal@29C POM_5V_IN 6512/6353 POM_5V_GPU 3680/3519 POM_5V_CPU 286/276
RAM 1818/3964MB (lfb 13x4MB) SWAP 353/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [6%@518,28%@518,3%@518,4%@518] EMC_FREQ 49%@1600 GR3D_FREQ 91%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@37C thermal@29.25C POM_5V_IN 6471/6366 POM_5V_GPU 3639/3532 POM_5V_CPU 286/277
RAM 1817/3964MB (lfb 13x4MB) SWAP 353/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [6%@614,30%@614,5%@614,2%@614] EMC_FREQ 49%@1600 GR3D_FREQ 85%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@37C thermal@29.25C POM_5V_IN 6430/6373 POM_5V_GPU 3639/3543 POM_5V_CPU 286/278
RAM 1817/3964MB (lfb 13x4MB) SWAP 353/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,29%@204,5%@307,4%@307] EMC_FREQ 49%@1600 GR3D_FREQ 93%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@28C AO@37C thermal@29.25C POM_5V_IN 6235/6360 POM_5V_GPU 3481/3537 POM_5V_CPU 327/282
RAM 1817/3964MB (lfb 13x4MB) SWAP 353/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [34%@614,7%@614,4%@614,4%@614] EMC_FREQ 49%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@37.5C thermal@29C POM_5V_IN 6358/6360 POM_5V_GPU 3563/3539 POM_5V_CPU 286/282
RAM 1817/3964MB (lfb 13x4MB) SWAP 353/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [19%@307,23%@307,5%@307,6%@307] EMC_FREQ 49%@1600 GR3D_FREQ 93%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@37C thermal@29.25C POM_5V_IN 6163/6345 POM_5V_GPU 3363/3526 POM_5V_CPU 246/280
RAM 1817/3964MB (lfb 13x4MB) SWAP 353/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,31%@307,4%@307,6%@307] EMC_FREQ 49%@1600 GR3D_FREQ 94%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@37.5C thermal@29C POM_5V_IN 6471/6354 POM_5V_GPU 3563/3528 POM_5V_CPU 287/280
RAM 1817/3964MB (lfb 13x4MB) SWAP 353/1982MB (cached 26MB) IRAM 0/252kB(lfb 252kB) CPU [34%@403,4%@403,5%@614,6%@614] EMC_FREQ 49%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@27.5C AO@38C thermal@29C POM_5V_IN 6317/6351 POM_5V_GPU 3563/3531 POM_5V_CPU 286/280
