RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,6%@102,5%@102,4%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@30.5C PMIC@50C GPU@29.5C AO@38C thermal@30C POM_5V_IN 5275/5701 POM_5V_GPU 2571/2777 POM_5V_CPU 165/147
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,4%@204,6%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29.5C AO@38.5C thermal@31.5C POM_5V_IN 5557/5692 POM_5V_GPU 2691/2772 POM_5V_CPU 165/148
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,4%@102,9%@102,3%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29C AO@38.5C thermal@31.5C POM_5V_IN 5316/5671 POM_5V_GPU 2612/2763 POM_5V_CPU 165/149
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,6%@204,6%@204,6%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@30C AO@37.5C thermal@31C POM_5V_IN 5705/5673 POM_5V_GPU 2732/2762 POM_5V_CPU 165/149
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,4%@204,5%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29.5C AO@37.5C thermal@30.75C POM_5V_IN 5746/5677 POM_5V_GPU 2815/2764 POM_5V_CPU 165/150
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@204,4%@204,9%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29.5C AO@38C thermal@31.25C POM_5V_IN 5788/5682 POM_5V_GPU 2857/2769 POM_5V_CPU 124/149
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@204,6%@204,4%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@30C AO@38C thermal@29.75C POM_5V_IN 5788/5687 POM_5V_GPU 2774/2769 POM_5V_CPU 165/150
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,4%@102,5%@102,3%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@29.5C AO@38.5C thermal@31.5C POM_5V_IN 5746/5689 POM_5V_GPU 2774/2769 POM_5V_CPU 124/148
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,5%@102,9%@102] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29C AO@38C thermal@31C POM_5V_IN 5746/5692 POM_5V_GPU 2811/2771 POM_5V_CPU 124/147
RAM 2058/3964MB (lfb 76x4MB) SWAP 355/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,4%@102,8%@204] EMC_FREQ 43%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31C PMIC@50C GPU@29C AO@38.5C thermal@31.25C POM_5V_IN 5714/5693 POM_5V_GPU 2732/2769 POM_5V_CPU 165/148
