RAM 1689/3964MB (lfb 104x4MB) SWAP 327/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,19%@204,5%@204,3%@204] EMC_FREQ 16%@1600 GR3D_FREQ 67%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29.5C AO@41C thermal@30.75C POM_5V_IN 6204/6102 POM_5V_GPU 4314/4134 POM_5V_CPU 123/138
RAM 1689/3964MB (lfb 104x4MB) SWAP 327/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,20%@204,2%@204,2%@204] EMC_FREQ 16%@1600 GR3D_FREQ 71%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@40.5C thermal@30.75C POM_5V_IN 5935/6092 POM_5V_GPU 4032/4128 POM_5V_CPU 123/137
RAM 1689/3964MB (lfb 104x4MB) SWAP 327/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,12%@102,10%@102,3%@102] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29C AO@40C thermal@30.75C POM_5V_IN 6296/6104 POM_5V_GPU 4115/4127 POM_5V_CPU 164/138
RAM 1689/3964MB (lfb 104x4MB) SWAP 327/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,21%@102,0%@102,2%@102] EMC_FREQ 16%@1600 GR3D_FREQ 97%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@29.5C AO@41C thermal@31C POM_5V_IN 5935/6095 POM_5V_GPU 4032/4122 POM_5V_CPU 164/140
RAM 1689/3964MB (lfb 104x4MB) SWAP 327/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,23%@102,3%@102,2%@102] EMC_FREQ 16%@1600 GR3D_FREQ 68%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29.5C AO@41C thermal@31C POM_5V_IN 6245/6102 POM_5V_GPU 4348/4133 POM_5V_CPU 123/139
RAM 1689/3964MB (lfb 104x4MB) SWAP 327/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,21%@204,2%@204,0%@204] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@41.5C thermal@31C POM_5V_IN 5976/6096 POM_5V_GPU 4074/4130 POM_5V_CPU 123/138
RAM 1689/3964MB (lfb 104x4MB) SWAP 327/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,20%@204,2%@204,3%@204] EMC_FREQ 16%@1600 GR3D_FREQ 73%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@40.5C thermal@31C POM_5V_IN 5820/6084 POM_5V_GPU 3874/4119 POM_5V_CPU 164/139
RAM 1689/3964MB (lfb 104x4MB) SWAP 327/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,20%@204,3%@204,3%@204] EMC_FREQ 16%@1600 GR3D_FREQ 94%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@29C AO@41C thermal@30.75C POM_5V_IN 6131/6086 POM_5V_GPU 4232/4123 POM_5V_CPU 164/140
RAM 1689/3964MB (lfb 104x4MB) SWAP 327/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,9%@204,14%@307,3%@307] EMC_FREQ 16%@1600 GR3D_FREQ 83%@921 APE 25 PLL@26.5C CPU@32C PMIC@50C GPU@29.5C AO@40C thermal@30.75C POM_5V_IN 5935/6079 POM_5V_GPU 3997/4118 POM_5V_CPU 123/140
RAM 1689/3964MB (lfb 104x4MB) SWAP 327/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,17%@102,2%@102,0%@102] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@32C PMIC@50C GPU@29.5C AO@40C thermal@31C POM_5V_IN 6286/6088 POM_5V_GPU 4115/4118 POM_5V_CPU 123/139
