RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,20%@204,3%@204,3%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@39C thermal@30C POM_5V_IN 5548/5869 POM_5V_GPU 3596/3830 POM_5V_CPU 165/161
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,18%@102,5%@102,3%@102] EMC_FREQ 20%@1600 GR3D_FREQ 94%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@39C thermal@30C POM_5V_IN 6099/5882 POM_5V_GPU 3956/3838 POM_5V_CPU 123/159
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,12%@102,2%@102,7%@102] EMC_FREQ 20%@1600 GR3D_FREQ 80%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@39C thermal@30C POM_5V_IN 6131/5896 POM_5V_GPU 3991/3846 POM_5V_CPU 164/159
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,16%@204,5%@204,6%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@39C thermal@30C POM_5V_IN 5590/5880 POM_5V_GPU 3596/3833 POM_5V_CPU 165/160
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,22%@204,3%@204,2%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@28.5C AO@39C thermal@30.25C POM_5V_IN 6255/5899 POM_5V_GPU 4032/3843 POM_5V_CPU 164/160
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,16%@204,4%@204,8%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@39C thermal@30C POM_5V_IN 5590/5884 POM_5V_GPU 3596/3831 POM_5V_CPU 165/160
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [17%@102,10%@102,2%@102,2%@102] EMC_FREQ 20%@1600 GR3D_FREQ 80%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@28.5C AO@40C thermal@30C POM_5V_IN 6058/5892 POM_5V_GPU 4074/3842 POM_5V_CPU 164/160
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,4%@204,4%@204,5%@204] EMC_FREQ 20%@1600 GR3D_FREQ 88%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@39C thermal@30.25C POM_5V_IN 5622/5880 POM_5V_GPU 3632/3833 POM_5V_CPU 165/160
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [21%@307,4%@307,2%@307,2%@307] EMC_FREQ 20%@1600 GR3D_FREQ 83%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@29C AO@40C thermal@30.75C POM_5V_IN 5861/5879 POM_5V_GPU 3791/3831 POM_5V_CPU 164/161
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [17%@102,16%@102,6%@102,5%@102] EMC_FREQ 20%@1600 GR3D_FREQ 64%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@28.5C AO@40C thermal@30.25C POM_5V_IN 6512/5905 POM_5V_GPU 4096/3842 POM_5V_CPU 163/161
