RAM 1715/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,8%@102,2%@204,4%@204] EMC_FREQ 49%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30.5C AO@41.5C thermal@32C POM_5V_IN 6911/6907 POM_5V_GPU 3966/4290 POM_5V_CPU 122/139
RAM 1715/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,3%@204,0%@204,2%@204] EMC_FREQ 49%@1600 GR3D_FREQ 69%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@31C AO@42C thermal@32.25C POM_5V_IN 6971/6911 POM_5V_GPU 4436/4299 POM_5V_CPU 122/138
RAM 1715/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,5%@102,1%@102,2%@102] EMC_FREQ 49%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@41C thermal@32.25C POM_5V_IN 6440/6885 POM_5V_GPU 3973/4280 POM_5V_CPU 122/137
RAM 1715/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,5%@204,0%@204,2%@204] EMC_FREQ 49%@1600 GR3D_FREQ 81%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@31C AO@42C thermal@32.25C POM_5V_IN 7041/6893 POM_5V_GPU 4429/4288 POM_5V_CPU 121/136
RAM 1715/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,5%@102,1%@102,2%@102] EMC_FREQ 49%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30.5C AO@41C thermal@32C POM_5V_IN 6799/6888 POM_5V_GPU 4083/4278 POM_5V_CPU 122/136
RAM 1715/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,7%@102,7%@102,1%@102] EMC_FREQ 49%@1600 GR3D_FREQ 85%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@31C AO@41.5C thermal@32.5C POM_5V_IN 6930/6890 POM_5V_GPU 4355/4282 POM_5V_CPU 122/135
RAM 1715/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,10%@204,0%@204,3%@204] EMC_FREQ 49%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@41C thermal@32C POM_5V_IN 7175/6903 POM_5V_GPU 4280/4281 POM_5V_CPU 122/134
RAM 1715/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,9%@204,2%@204,1%@204] EMC_FREQ 49%@1600 GR3D_FREQ 68%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@31C AO@41.5C thermal@32C POM_5V_IN 6706/6894 POM_5V_GPU 4199/4278 POM_5V_CPU 122/134
RAM 1716/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,8%@204,13%@204,1%@204] EMC_FREQ 49%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30.5C AO@42C thermal@32C POM_5V_IN 7494/6919 POM_5V_GPU 4408/4283 POM_5V_CPU 161/135
RAM 1716/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,7%@204,33%@204,9%@204] EMC_FREQ 49%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@31C AO@41.5C thermal@32.25C POM_5V_IN 7494/6942 POM_5V_GPU 4585/4295 POM_5V_CPU 162/136
