RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,4%@102,6%@102,0%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@30C AO@39C thermal@30.75C POM_5V_IN 6829/6456 POM_5V_GPU 3844/3737 POM_5V_CPU 122/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,9%@102,6%@102,1%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@30C AO@39C thermal@30.75C POM_5V_IN 6450/6455 POM_5V_GPU 3563/3727 POM_5V_CPU 122/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,5%@102,8%@102,1%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@30C AO@39.5C thermal@31.25C POM_5V_IN 6286/6446 POM_5V_GPU 3604/3720 POM_5V_CPU 122/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,8%@204,4%@204,2%@204] EMC_FREQ 56%@1600 GR3D_FREQ 89%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@29.5C AO@40C thermal@30.75C POM_5V_IN 6399/6443 POM_5V_GPU 3727/3720 POM_5V_CPU 122/122
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,15%@102,7%@102,6%@102] EMC_FREQ 56%@1600 GR3D_FREQ 71%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40.5C thermal@31.5C POM_5V_IN 7152/6479 POM_5V_GPU 4017/3735 POM_5V_CPU 162/124
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,38%@204,6%@204,3%@204] EMC_FREQ 56%@1600 GR3D_FREQ 72%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@29.5C AO@40C thermal@30.75C POM_5V_IN 6737/6491 POM_5V_GPU 3663/3732 POM_5V_CPU 162/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,5%@204,3%@204,2%@204] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@31.5C POM_5V_IN 6049/6471 POM_5V_GPU 3487/3721 POM_5V_CPU 123/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,7%@102,4%@102,2%@102] EMC_FREQ 56%@1600 GR3D_FREQ 94%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@30.5C POM_5V_IN 6276/6462 POM_5V_GPU 3686/3719 POM_5V_CPU 163/127
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,0%@204,2%@204,0%@204] EMC_FREQ 55%@1600 GR3D_FREQ 70%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@40.5C thermal@31.5C POM_5V_IN 6512/6464 POM_5V_GPU 3844/3724 POM_5V_CPU 122/127
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,14%@204,7%@204,3%@204] EMC_FREQ 55%@1600 GR3D_FREQ 72%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@30.5C AO@40C thermal@31.5C POM_5V_IN 6276/6457 POM_5V_GPU 3686/3723 POM_5V_CPU 122/127
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,1%@204,9%@204,3%@204] EMC_FREQ 56%@1600 GR3D_FREQ 90%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@31.25C POM_5V_IN 6584/6462 POM_5V_GPU 3960/3732 POM_5V_CPU 122/126
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,10%@204,6%@204,0%@204] EMC_FREQ 56%@1600 GR3D_FREQ 77%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@41C thermal@31.25C POM_5V_IN 6584/6466 POM_5V_GPU 3960/3740 POM_5V_CPU 122/126
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,3%@102,2%@204,1%@204] EMC_FREQ 55%@1600 GR3D_FREQ 72%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@31.75C POM_5V_IN 6625/6472 POM_5V_GPU 3995/3749 POM_5V_CPU 122/126
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,3%@204,7%@204,2%@204] EMC_FREQ 56%@1600 GR3D_FREQ 72%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@41C thermal@30.75C POM_5V_IN 6666/6479 POM_5V_GPU 3995/3758 POM_5V_CPU 122/126
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,7%@204,6%@204,0%@204] EMC_FREQ 56%@1600 GR3D_FREQ 86%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@41.5C thermal@31.25C POM_5V_IN 6930/6494 POM_5V_GPU 4233/3774 POM_5V_CPU 121/126
