RAM 1709/3964MB (lfb 71x4MB) SWAP 330/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [10%@307,2%@307,2%@307,0%@307] EMC_FREQ 6%@1600 GR3D_FREQ 85%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@41.5C thermal@31.75C POM_5V_IN 5903/5903 POM_5V_GPU 3997/3997 POM_5V_CPU 164/164
RAM 1709/3964MB (lfb 71x4MB) SWAP 330/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [21%@102,5%@204,2%@204,3%@204] EMC_FREQ 7%@1600 GR3D_FREQ 89%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41C thermal@31.75C POM_5V_IN 5870/5886 POM_5V_GPU 3797/3897 POM_5V_CPU 165/164
RAM 1709/3964MB (lfb 71x4MB) SWAP 330/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,4%@204,4%@204,1%@204] EMC_FREQ 8%@1600 GR3D_FREQ 73%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@41.5C thermal@31.75C POM_5V_IN 5664/5812 POM_5V_GPU 3839/3877 POM_5V_CPU 123/150
RAM 1709/3964MB (lfb 71x4MB) SWAP 330/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,22%@102,2%@102,1%@102] EMC_FREQ 9%@1600 GR3D_FREQ 66%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@41C thermal@31.75C POM_5V_IN 5861/5824 POM_5V_GPU 3962/3898 POM_5V_CPU 123/143
RAM 1709/3964MB (lfb 71x4MB) SWAP 330/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,23%@307,0%@307,5%@307] EMC_FREQ 9%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@30.5C AO@41C thermal@31.75C POM_5V_IN 5432/5746 POM_5V_GPU 3602/3839 POM_5V_CPU 124/139
RAM 1709/3964MB (lfb 71x4MB) SWAP 330/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,21%@204,1%@204,5%@204] EMC_FREQ 10%@1600 GR3D_FREQ 80%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@41C thermal@31.75C POM_5V_IN 5590/5720 POM_5V_GPU 3762/3826 POM_5V_CPU 124/137
RAM 1709/3964MB (lfb 71x4MB) SWAP 330/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,21%@102,1%@102,4%@204] EMC_FREQ 10%@1600 GR3D_FREQ 84%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@41.5C thermal@31.5C POM_5V_IN 5788/5729 POM_5V_GPU 3715/3810 POM_5V_CPU 165/141
RAM 1709/3964MB (lfb 71x4MB) SWAP 330/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,23%@204,3%@204,3%@204] EMC_FREQ 10%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@41.5C thermal@32C POM_5V_IN 5507/5701 POM_5V_GPU 3685/3794 POM_5V_CPU 165/144
RAM 1709/3964MB (lfb 71x4MB) SWAP 330/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,22%@204,2%@204,3%@204] EMC_FREQ 10%@1600 GR3D_FREQ 64%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@31.75C POM_5V_IN 5705/5702 POM_5V_GPU 3880/3804 POM_5V_CPU 123/141
RAM 1709/3964MB (lfb 71x4MB) SWAP 330/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,22%@307,4%@307,2%@204] EMC_FREQ 10%@1600 GR3D_FREQ 65%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@41C thermal@31.5C POM_5V_IN 5861/5718 POM_5V_GPU 3962/3820 POM_5V_CPU 165/144
RAM 1709/3964MB (lfb 71x4MB) SWAP 330/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,22%@204,2%@204,3%@204] EMC_FREQ 10%@1600 GR3D_FREQ 68%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@32C POM_5V_IN 5820/5727 POM_5V_GPU 3997/3836 POM_5V_CPU 123/142
