RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,7%@204,6%@204,6%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@28C AO@37.5C thermal@28.75C POM_5V_IN 5565/5836 POM_5V_GPU 3198/3309 POM_5V_CPU 124/157
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,9%@204,4%@204,2%@204] EMC_FREQ 28%@1600 GR3D_FREQ 76%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38.5C thermal@29.5C POM_5V_IN 5324/5806 POM_5V_GPU 3156/3300 POM_5V_CPU 165/157
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,6%@204,7%@204,4%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31.5C PMIC@50C GPU@28C AO@39.5C thermal@29.5C POM_5V_IN 6068/5820 POM_5V_GPU 3833/3329 POM_5V_CPU 123/155
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,6%@102,6%@102,7%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@28C AO@37C thermal@28.75C POM_5V_IN 5366/5797 POM_5V_GPU 3041/3314 POM_5V_CPU 124/153
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,13%@102,2%@102,2%@102] EMC_FREQ 28%@1600 GR3D_FREQ 66%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@28C AO@39C thermal@29.75C POM_5V_IN 5557/5785 POM_5V_GPU 3478/3322 POM_5V_CPU 124/152
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,8%@102,5%@204,1%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@28C AO@39.5C thermal@29.75C POM_5V_IN 6223/5805 POM_5V_GPU 3991/3354 POM_5V_CPU 123/151
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,6%@204,8%@204,2%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@28C AO@37C thermal@30C POM_5V_IN 5216/5779 POM_5V_GPU 2920/3334 POM_5V_CPU 125/149
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,3%@204,5%@204,5%@204] EMC_FREQ 28%@1600 GR3D_FREQ 92%@921 APE 25 PLL@25C CPU@31C PMIC@50C GPU@28C AO@39C thermal@29.25C POM_5V_IN 5399/5762 POM_5V_GPU 3317/3333 POM_5V_CPU 124/148
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,7%@204,4%@204,4%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28C AO@40C thermal@29.75C POM_5V_IN 6068/5775 POM_5V_GPU 3833/3354 POM_5V_CPU 123/147
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,13%@102,5%@102,4%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@28C AO@37C thermal@29C POM_5V_IN 5408/5760 POM_5V_GPU 3078/3343 POM_5V_CPU 124/146
