RAM 1768/3964MB (lfb 47x4MB) SWAP 148/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@825,2%@825,9%@825,3%@825] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23C CPU@30C PMIC@50C GPU@26.5C AO@37.5C thermal@28.25C POM_5V_IN 6481/6481 POM_5V_GPU 3973/3973 POM_5V_CPU 163/163
RAM 1768/3964MB (lfb 47x4MB) SWAP 148/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,7%@102,5%@204,1%@204] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34C thermal@27.5C POM_5V_IN 5241/5861 POM_5V_GPU 2662/3317 POM_5V_CPU 124/143
RAM 1768/3964MB (lfb 47x4MB) SWAP 148/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,4%@204,9%@204,7%@204] EMC_FREQ 18%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23C CPU@30C PMIC@50C GPU@26.5C AO@37.5C thermal@28C POM_5V_IN 6026/5916 POM_5V_GPU 3615/3416 POM_5V_CPU 164/150
RAM 1768/3964MB (lfb 47x4MB) SWAP 148/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,8%@204,8%@307,0%@307] EMC_FREQ 20%@1600 GR3D_FREQ 85%@921 APE 25 PLL@23C CPU@28C PMIC@50C GPU@26C AO@35C thermal@27.75C POM_5V_IN 4923/5667 POM_5V_GPU 2461/3177 POM_5V_CPU 166/154
RAM 1768/3964MB (lfb 47x4MB) SWAP 148/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,2%@102,15%@102,0%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@30C PMIC@50C GPU@26.5C AO@37.5C thermal@27.75C POM_5V_IN 6450/5824 POM_5V_GPU 3897/3321 POM_5V_CPU 123/148
RAM 1768/3964MB (lfb 47x4MB) SWAP 148/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,2%@204,11%@204,2%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@27C AO@36C thermal@27.75C POM_5V_IN 6141/5877 POM_5V_GPU 3550/3359 POM_5V_CPU 124/144
RAM 1768/3964MB (lfb 47x4MB) SWAP 148/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,3%@102,9%@102,0%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23C CPU@29C PMIC@50C GPU@26C AO@37.5C thermal@27.5C POM_5V_IN 5714/5853 POM_5V_GPU 3224/3340 POM_5V_CPU 124/141
RAM 1768/3964MB (lfb 47x4MB) SWAP 148/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@1479,4%@1479,10%@1479,5%@1479] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@30.5C PMIC@50C GPU@27C AO@38.5C thermal@27.25C POM_5V_IN 6522/5937 POM_5V_GPU 4055/3429 POM_5V_CPU 122/138
RAM 1768/3964MB (lfb 47x4MB) SWAP 148/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,3%@102,10%@102,6%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26.5C AO@34.5C thermal@27.25C POM_5V_IN 5249/5860 POM_5V_GPU 2624/3340 POM_5V_CPU 124/137
RAM 1768/3964MB (lfb 47x4MB) SWAP 148/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,3%@102,10%@102,3%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@30C PMIC@50C GPU@27C AO@38C thermal@27.5C POM_5V_IN 6141/5888 POM_5V_GPU 3780/3384 POM_5V_CPU 123/135
RAM 1768/3964MB (lfb 47x4MB) SWAP 148/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,4%@204,11%@204,2%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@30.5C PMIC@50C GPU@27C AO@37.5C thermal@28C POM_5V_IN 6574/5951 POM_5V_GPU 3862/3427 POM_5V_CPU 164/138
