RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [18%@403,5%@403,10%@403,4%@403] EMC_FREQ 14%@1600 GR3D_FREQ 85%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29C AO@39.5C thermal@27C POM_5V_IN 6409/6409 POM_5V_GPU 3651/3651 POM_5V_CPU 246/246
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [32%@204,2%@204,0%@307,3%@307] EMC_FREQ 21%@1600 GR3D_FREQ 85%@921 APE 25 PLL@25.5C CPU@32.5C PMIC@50C GPU@28.5C AO@39.5C thermal@30C POM_5V_IN 6141/6275 POM_5V_GPU 3703/3677 POM_5V_CPU 206/226
RAM 1629/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [35%@403,4%@403,3%@403,6%@403] EMC_FREQ 26%@1600 GR3D_FREQ 89%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@28.5C AO@39.5C thermal@30.5C POM_5V_IN 6099/6216 POM_5V_GPU 3621/3658 POM_5V_CPU 246/232
RAM 1629/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,7%@204,30%@204,3%@204] EMC_FREQ 29%@1600 GR3D_FREQ 80%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29C AO@39C thermal@30.5C POM_5V_IN 5870/6129 POM_5V_GPU 3426/3600 POM_5V_CPU 247/236
RAM 1629/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,3%@204,34%@204,5%@204] EMC_FREQ 31%@1600 GR3D_FREQ 84%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29C AO@39.5C thermal@30.5C POM_5V_IN 6150/6133 POM_5V_GPU 3426/3565 POM_5V_CPU 247/238
RAM 1629/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,4%@204,37%@204,3%@204] EMC_FREQ 33%@1600 GR3D_FREQ 85%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29C AO@39.5C thermal@30.5C POM_5V_IN 6026/6115 POM_5V_GPU 3544/3561 POM_5V_CPU 247/239
RAM 1629/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,5%@204,32%@204,6%@307] EMC_FREQ 34%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29C AO@39.5C thermal@30.75C POM_5V_IN 5985/6097 POM_5V_GPU 3544/3559 POM_5V_CPU 247/240
RAM 1629/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,4%@204,34%@204,2%@204] EMC_FREQ 34%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29C AO@39C thermal@30.75C POM_5V_IN 5944/6078 POM_5V_GPU 3503/3552 POM_5V_CPU 206/236
RAM 1629/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,8%@204,34%@204,6%@204] EMC_FREQ 35%@1600 GR3D_FREQ 97%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29C AO@39.5C thermal@30.75C POM_5V_IN 6182/6089 POM_5V_GPU 3550/3552 POM_5V_CPU 247/237
RAM 1629/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,3%@204,37%@204,1%@204] EMC_FREQ 35%@1600 GR3D_FREQ 84%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29C AO@39.5C thermal@30.75C POM_5V_IN 6141/6094 POM_5V_GPU 3508/3547 POM_5V_CPU 247/238
RAM 1629/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,4%@204,32%@204,4%@204] EMC_FREQ 35%@1600 GR3D_FREQ 83%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29C AO@39.5C thermal@30.5C POM_5V_IN 5994/6085 POM_5V_GPU 3343/3529 POM_5V_CPU 247/239
RAM 1629/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,3%@204,36%@204,2%@204] EMC_FREQ 35%@1600 GR3D_FREQ 88%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@39.5C thermal@30.5C POM_5V_IN 6264/6100 POM_5V_GPU 3503/3526 POM_5V_CPU 247/240
RAM 1629/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,4%@204,30%@204,7%@204] EMC_FREQ 35%@1600 GR3D_FREQ 82%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29.5C AO@39.5C thermal@30.75C POM_5V_IN 6109/6101 POM_5V_GPU 3585/3531 POM_5V_CPU 247/240
RAM 1629/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,4%@204,34%@204,2%@204] EMC_FREQ 36%@1600 GR3D_FREQ 83%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29C AO@40C thermal@31C POM_5V_IN 6150/6104 POM_5V_GPU 3467/3526 POM_5V_CPU 206/238
RAM 1629/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,2%@204,28%@204,13%@204] EMC_FREQ 35%@1600 GR3D_FREQ 86%@921 APE 25 PLL@26.5C CPU@32C PMIC@50C GPU@29.5C AO@39.5C thermal@30.25C POM_5V_IN 6068/6102 POM_5V_GPU 3384/3517 POM_5V_CPU 247/238
RAM 1629/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [14%@307,5%@307,26%@307,16%@307] EMC_FREQ 35%@1600 GR3D_FREQ 92%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@40C thermal@31C POM_5V_IN 6141/6104 POM_5V_GPU 3703/3528 POM_5V_CPU 205/236
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [38%@204,1%@204,2%@204,4%@204] EMC_FREQ 35%@1600 GR3D_FREQ 83%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29.5C AO@39.5C thermal@30.75C POM_5V_IN 6192/6109 POM_5V_GPU 3426/3522 POM_5V_CPU 247/237
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [36%@204,5%@204,3%@204,1%@204] EMC_FREQ 35%@1600 GR3D_FREQ 85%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@40C thermal@31C POM_5V_IN 5944/6100 POM_5V_GPU 3503/3521 POM_5V_CPU 247/237
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [37%@307,4%@307,4%@307,1%@307] EMC_FREQ 35%@1600 GR3D_FREQ 92%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@40.5C thermal@31C POM_5V_IN 6141/6102 POM_5V_GPU 3621/3526 POM_5V_CPU 246/238
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [38%@307,4%@307,4%@307,4%@307] EMC_FREQ 36%@1600 GR3D_FREQ 83%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@40.5C thermal@31C POM_5V_IN 6026/6098 POM_5V_GPU 3544/3527 POM_5V_CPU 247/238
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [36%@307,1%@307,4%@307,3%@307] EMC_FREQ 36%@1600 GR3D_FREQ 83%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29.5C AO@40C thermal@31C POM_5V_IN 6068/6097 POM_5V_GPU 3585/3530 POM_5V_CPU 206/237
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [34%@204,5%@204,4%@204,5%@204] EMC_FREQ 36%@1600 GR3D_FREQ 96%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@40.5C thermal@31C POM_5V_IN 5953/6090 POM_5V_GPU 3503/3529 POM_5V_CPU 247/237
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [38%@307,2%@403,5%@403,3%@403] EMC_FREQ 36%@1600 GR3D_FREQ 83%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@41C thermal@31C POM_5V_IN 6068/6089 POM_5V_GPU 3585/3531 POM_5V_CPU 247/237
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [34%@307,1%@307,6%@307,2%@307] EMC_FREQ 36%@1600 GR3D_FREQ 92%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@29.5C AO@40.5C thermal@31C POM_5V_IN 6068/6088 POM_5V_GPU 3621/3535 POM_5V_CPU 205/236
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [35%@204,1%@204,6%@204,4%@204] EMC_FREQ 36%@1600 GR3D_FREQ 86%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@29.5C AO@40.5C thermal@31C POM_5V_IN 6109/6089 POM_5V_GPU 3580/3537 POM_5V_CPU 246/236
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [31%@204,3%@204,2%@204,4%@204] EMC_FREQ 36%@1600 GR3D_FREQ 91%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@40.5C thermal@31C POM_5V_IN 6799/6116 POM_5V_GPU 3762/3545 POM_5V_CPU 245/237
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [39%@204,3%@204,6%@307,4%@307] EMC_FREQ 36%@1600 GR3D_FREQ 85%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@31C POM_5V_IN 6182/6119 POM_5V_GPU 3703/3551 POM_5V_CPU 247/237
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [35%@307,2%@307,4%@307,4%@307] EMC_FREQ 36%@1600 GR3D_FREQ 84%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31.25C POM_5V_IN 6223/6123 POM_5V_GPU 3627/3554 POM_5V_CPU 247/237
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [36%@204,5%@204,1%@204,2%@204] EMC_FREQ 36%@1600 GR3D_FREQ 93%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@31.25C POM_5V_IN 6099/6122 POM_5V_GPU 3580/3555 POM_5V_CPU 246/238
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [38%@307,2%@307,4%@307,3%@307] EMC_FREQ 36%@1600 GR3D_FREQ 90%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@30C AO@40.5C thermal@31C POM_5V_IN 5985/6117 POM_5V_GPU 3503/3553 POM_5V_CPU 247/238
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [38%@204,7%@204,0%@204,3%@204] EMC_FREQ 36%@1600 GR3D_FREQ 82%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@29.5C AO@40C thermal@31C POM_5V_IN 5912/6111 POM_5V_GPU 3467/3550 POM_5V_CPU 247/238
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [38%@204,2%@204,4%@204,3%@204] EMC_FREQ 36%@1600 GR3D_FREQ 84%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@31C POM_5V_IN 5985/6107 POM_5V_GPU 3503/3549 POM_5V_CPU 247/239
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [36%@204,3%@204,1%@204,3%@204] EMC_FREQ 36%@1600 GR3D_FREQ 83%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@31C POM_5V_IN 5903/6100 POM_5V_GPU 3462/3546 POM_5V_CPU 247/239
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [37%@204,6%@204,5%@204,4%@204] EMC_FREQ 36%@1600 GR3D_FREQ 81%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@29.5C AO@40C thermal@31.25C POM_5V_IN 5870/6094 POM_5V_GPU 3426/3543 POM_5V_CPU 206/238
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [35%@204,1%@204,6%@204,4%@204] EMC_FREQ 36%@1600 GR3D_FREQ 94%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@30C AO@40C thermal@31C POM_5V_IN 5912/6088 POM_5V_GPU 3462/3540 POM_5V_CPU 206/237
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [35%@204,6%@204,3%@204,3%@204] EMC_FREQ 36%@1600 GR3D_FREQ 87%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@29.5C AO@40.5C thermal@31.25C POM_5V_IN 5912/6084 POM_5V_GPU 3508/3539 POM_5V_CPU 206/236
RAM 1628/3964MB (lfb 97x4MB) SWAP 225/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [34%@204,11%@204,8%@204,3%@204] EMC_FREQ 36%@1600 GR3D_FREQ 83%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@31.25C POM_5V_IN 6068/6083 POM_5V_GPU 3467/3537 POM_5V_CPU 247/236
