RAM 1748/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,0%@102,2%@102,3%@204] EMC_FREQ 9%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@30C PMIC@50C GPU@26.5C AO@36.5C thermal@25C POM_5V_IN 5565/5565 POM_5V_GPU 3364/3364 POM_5V_CPU 124/124
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,3%@204,2%@204,3%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28.25C POM_5V_IN 5648/5606 POM_5V_GPU 3405/3384 POM_5V_CPU 124/124
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,2%@204,3%@204,6%@204] EMC_FREQ 15%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@27.75C POM_5V_IN 5607/5606 POM_5V_GPU 3364/3377 POM_5V_CPU 124/124
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,1%@204,4%@204,2%@204] EMC_FREQ 16%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@26.5C AO@37.5C thermal@28.5C POM_5V_IN 5838/5664 POM_5V_GPU 3643/3444 POM_5V_CPU 165/134
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,3%@204,0%@204,3%@204] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@26.5C AO@38C thermal@28C POM_5V_IN 5838/5699 POM_5V_GPU 3803/3515 POM_5V_CPU 123/132
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,1%@204,4%@204,4%@204] EMC_FREQ 18%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27C AO@38C thermal@28.75C POM_5V_IN 5912/5734 POM_5V_GPU 3844/3570 POM_5V_CPU 124/130
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,10%@102,3%@102,4%@102] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27C AO@38.5C thermal@28.5C POM_5V_IN 6213/5803 POM_5V_GPU 3821/3606 POM_5V_CPU 164/135
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,12%@204,6%@204,3%@204] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@30.5C PMIC@50C GPU@27C AO@38.5C thermal@28.25C POM_5V_IN 5870/5811 POM_5V_GPU 3839/3635 POM_5V_CPU 165/139
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,4%@204,2%@204,2%@204] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@26.5C AO@38.5C thermal@29C POM_5V_IN 5838/5814 POM_5V_GPU 3762/3649 POM_5V_CPU 124/137
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,4%@102,4%@102,3%@102] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@26.5C AO@38.5C thermal@28.75C POM_5V_IN 5714/5804 POM_5V_GPU 3685/3653 POM_5V_CPU 124/136
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,5%@102,3%@102,3%@102] EMC_FREQ 19%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27C AO@38C thermal@28C POM_5V_IN 5672/5792 POM_5V_GPU 3720/3659 POM_5V_CPU 124/135
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,9%@204,3%@204,7%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@26.5C AO@38.5C thermal@28C POM_5V_IN 6068/5815 POM_5V_GPU 3750/3666 POM_5V_CPU 123/134
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,14%@204,2%@204,5%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@38.5C thermal@29C POM_5V_IN 5912/5822 POM_5V_GPU 3550/3657 POM_5V_CPU 164/136
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,11%@102,6%@204,1%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@26.5C AO@38C thermal@28.75C POM_5V_IN 5829/5823 POM_5V_GPU 3508/3647 POM_5V_CPU 123/135
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,16%@102,5%@102,4%@102] EMC_FREQ 20%@1600 GR3D_FREQ 98%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@26.5C AO@38.5C thermal@28.25C POM_5V_IN 5797/5821 POM_5V_GPU 3390/3629 POM_5V_CPU 123/134
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,17%@204,7%@204,7%@204] EMC_FREQ 20%@1600 GR3D_FREQ 65%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@26.5C AO@37C thermal@28.75C POM_5V_IN 5283/5787 POM_5V_GPU 3161/3600 POM_5V_CPU 208/139
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,6%@204,5%@204,3%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28.25C POM_5V_IN 4847/5732 POM_5V_GPU 2879/3558 POM_5V_CPU 125/138
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,10%@307,5%@307,2%@307] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@37C thermal@29C POM_5V_IN 5449/5716 POM_5V_GPU 3161/3536 POM_5V_CPU 208/142
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,5%@102,5%@102,2%@102] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@27.5C AO@37C thermal@29C POM_5V_IN 5449/5702 POM_5V_GPU 3286/3522 POM_5V_CPU 124/141
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,6%@204,2%@204,2%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27.5C AO@37.5C thermal@28.75C POM_5V_IN 5598/5697 POM_5V_GPU 3447/3519 POM_5V_CPU 124/140
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,1%@204,0%@204,2%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@27.5C AO@38C thermal@28.75C POM_5V_IN 5953/5709 POM_5V_GPU 3726/3528 POM_5V_CPU 124/139
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,2%@102,6%@102,3%@102] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@31C PMIC@50C GPU@27.5C AO@38.5C thermal@29C POM_5V_IN 5838/5715 POM_5V_GPU 3880/3544 POM_5V_CPU 124/138
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,3%@102,3%@102,0%@102] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@27.5C AO@38.5C thermal@29C POM_5V_IN 5912/5723 POM_5V_GPU 3839/3557 POM_5V_CPU 123/138
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,6%@204,1%@204,2%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@27.5C AO@38.5C thermal@28.75C POM_5V_IN 5870/5730 POM_5V_GPU 3886/3571 POM_5V_CPU 124/137
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,5%@102,9%@102,2%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31.5C PMIC@50C GPU@27.5C AO@38.5C thermal@29.5C POM_5V_IN 5797/5732 POM_5V_GPU 3880/3583 POM_5V_CPU 124/137
RAM 1749/3964MB (lfb 92x4MB) SWAP 0/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,4%@204,2%@204,1%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31.5C PMIC@50C GPU@27C AO@39C thermal@29C POM_5V_IN 5829/5736 POM_5V_GPU 3844/3593 POM_5V_CPU 124/136
