RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,1%@403,3%@403,2%@403] EMC_FREQ 11%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38C thermal@26.25C POM_5V_IN 5912/5912 POM_5V_GPU 3756/3756 POM_5V_CPU 165/165
RAM 1681/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,4%@102,1%@102,1%@102] EMC_FREQ 17%@1600 GR3D_FREQ 83%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27.5C AO@37.5C thermal@28.25C POM_5V_IN 5598/5755 POM_5V_GPU 3514/3635 POM_5V_CPU 124/144
RAM 1681/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,3%@102,3%@204,3%@204] EMC_FREQ 20%@1600 GR3D_FREQ 91%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@36C thermal@29C POM_5V_IN 5124/5544 POM_5V_GPU 2833/3367 POM_5V_CPU 124/137
RAM 1681/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,2%@102,3%@102,2%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27.5C AO@37.5C thermal@28.5C POM_5V_IN 5912/5636 POM_5V_GPU 3880/3495 POM_5V_CPU 124/134
RAM 1681/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,4%@102,3%@102,2%@102] EMC_FREQ 25%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27.5C AO@38C thermal@28.75C POM_5V_IN 5797/5668 POM_5V_GPU 3638/3524 POM_5V_CPU 124/132
RAM 1681/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,6%@204,0%@204,4%@204] EMC_FREQ 26%@1600 GR3D_FREQ 70%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27.5C AO@37.5C thermal@29C POM_5V_IN 5482/5637 POM_5V_GPU 3312/3488 POM_5V_CPU 124/130
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,3%@102,2%@102,2%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@28C AO@36C thermal@29C POM_5V_IN 5640/5637 POM_5V_GPU 3156/3441 POM_5V_CPU 124/129
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,2%@102,5%@102,3%@102] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@31C PMIC@50C GPU@27.5C AO@38.5C thermal@29.25C POM_5V_IN 5953/5677 POM_5V_GPU 3797/3485 POM_5V_CPU 123/129
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [16%@102,5%@102,5%@102,5%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@27.5C AO@38C thermal@29C POM_5V_IN 5838/5695 POM_5V_GPU 3715/3511 POM_5V_CPU 123/128
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,3%@204,5%@204,4%@204] EMC_FREQ 28%@1600 GR3D_FREQ 89%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38C thermal@29C POM_5V_IN 5474/5673 POM_5V_GPU 3354/3495 POM_5V_CPU 124/127
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,4%@102,7%@204,5%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27.5C AO@36C thermal@28.75C POM_5V_IN 5681/5673 POM_5V_GPU 3115/3460 POM_5V_CPU 124/127
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [11%@307,4%@307,4%@307,2%@307] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@28C AO@38.5C thermal@29.25C POM_5V_IN 5953/5697 POM_5V_GPU 3839/3492 POM_5V_CPU 124/127
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,4%@204,5%@204,3%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@27.5C AO@38.5C thermal@28.5C POM_5V_IN 5714/5698 POM_5V_GPU 3519/3494 POM_5V_CPU 124/127
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,5%@102,4%@102,3%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27C AO@36C thermal@29.25C POM_5V_IN 5283/5668 POM_5V_GPU 2912/3452 POM_5V_CPU 124/126
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,2%@102,3%@102,2%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@27.5C AO@38C thermal@28.5C POM_5V_IN 5944/5687 POM_5V_GPU 3880/3481 POM_5V_CPU 123/126
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,3%@102,5%@102,3%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@28C AO@38.5C thermal@29.25C POM_5V_IN 5838/5696 POM_5V_GPU 3638/3491 POM_5V_CPU 123/126
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,3%@102,7%@204,1%@204] EMC_FREQ 28%@1600 GR3D_FREQ 67%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@37.5C thermal@28.75C POM_5V_IN 5399/5678 POM_5V_GPU 3193/3473 POM_5V_CPU 165/128
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,6%@102,2%@102,2%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27.5C AO@36.5C thermal@29C POM_5V_IN 5755/5683 POM_5V_GPU 3271/3462 POM_5V_CPU 124/128
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,2%@204,6%@204,1%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31.5C PMIC@50C GPU@28C AO@39C thermal@29.25C POM_5V_IN 5870/5693 POM_5V_GPU 3839/3482 POM_5V_CPU 165/130
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,8%@204,5%@204,1%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38.5C thermal@29C POM_5V_IN 5714/5694 POM_5V_GPU 3514/3483 POM_5V_CPU 124/129
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [15%@307,3%@307,3%@307,2%@307] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@37C thermal@29C POM_5V_IN 5208/5670 POM_5V_GPU 3032/3462 POM_5V_CPU 166/131
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,5%@102,2%@102,3%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31C PMIC@50C GPU@28C AO@37.5C thermal@29.5C POM_5V_IN 5953/5683 POM_5V_GPU 3679/3472 POM_5V_CPU 124/131
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,6%@204,7%@204,3%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@28C AO@38.5C thermal@29C POM_5V_IN 5829/5690 POM_5V_GPU 3756/3484 POM_5V_CPU 124/131
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,11%@102,5%@102,2%@102] EMC_FREQ 28%@1600 GR3D_FREQ 66%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38.5C thermal@29.5C POM_5V_IN 5598/5686 POM_5V_GPU 3436/3482 POM_5V_CPU 124/130
RAM 1680/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,5%@102,7%@102,3%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@28C AO@36.5C thermal@29.5C POM_5V_IN 5283/5670 POM_5V_GPU 2949/3461 POM_5V_CPU 166/132
RAM 1681/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,5%@204,12%@204,2%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@28C AO@38C thermal@29C POM_5V_IN 6337/5695 POM_5V_GPU 3703/3470 POM_5V_CPU 164/133
RAM 1681/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,17%@204,7%@204,4%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28C AO@38C thermal@29.75C POM_5V_IN 6409/5722 POM_5V_GPU 3821/3483 POM_5V_CPU 123/132
RAM 1681/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,15%@204,9%@204,3%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31.5C PMIC@50C GPU@28C AO@38.5C thermal@29.25C POM_5V_IN 6296/5742 POM_5V_GPU 3744/3492 POM_5V_CPU 164/134
RAM 1681/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,7%@102,11%@102,5%@102] EMC_FREQ 28%@1600 GR3D_FREQ 84%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@28C AO@38.5C thermal@29.75C POM_5V_IN 5598/5737 POM_5V_GPU 3395/3489 POM_5V_CPU 124/133
RAM 1681/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,5%@102,3%@102,1%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@28C AO@37.5C thermal@29.5C POM_5V_IN 5249/5721 POM_5V_GPU 2912/3470 POM_5V_CPU 124/133
RAM 1681/3964MB (lfb 80x4MB) SWAP 198/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,6%@102,7%@102,4%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28C AO@39C thermal@29C POM_5V_IN 5944/5728 POM_5V_GPU 3880/3483 POM_5V_CPU 124/133
