RAM 1653/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,1%@204,10%@204,3%@204] EMC_FREQ 14%@1600 GR3D_FREQ 78%@921 APE 25 PLL@23.5C CPU@29.5C PMIC@50C GPU@26C AO@37C thermal@25.5C POM_5V_IN 5714/5714 POM_5V_GPU 3348/3348 POM_5V_CPU 165/165
RAM 1653/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,4%@307,12%@307,3%@307] EMC_FREQ 22%@1600 GR3D_FREQ 66%@921 APE 25 PLL@23.5C CPU@30C PMIC@50C GPU@26C AO@37C thermal@27.5C POM_5V_IN 5557/5635 POM_5V_GPU 3229/3288 POM_5V_CPU 165/165
RAM 1653/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,2%@307,19%@307,2%@307] EMC_FREQ 27%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@36.5C thermal@27.5C POM_5V_IN 5208/5493 POM_5V_GPU 2787/3121 POM_5V_CPU 166/165
RAM 1653/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,3%@204,19%@204,3%@204] EMC_FREQ 30%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26.5C AO@36C thermal@27.5C POM_5V_IN 5208/5421 POM_5V_GPU 2782/3036 POM_5V_CPU 166/165
RAM 1653/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,2%@307,15%@307,2%@307] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26.5C AO@36.5C thermal@28C POM_5V_IN 5441/5425 POM_5V_GPU 2944/3018 POM_5V_CPU 165/165
RAM 1653/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,4%@102,15%@102,3%@102] EMC_FREQ 34%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@27C AO@35.5C thermal@27.75C POM_5V_IN 5366/5415 POM_5V_GPU 2787/2979 POM_5V_CPU 166/165
RAM 1653/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,5%@102,21%@102,0%@102] EMC_FREQ 35%@1600 GR3D_FREQ 63%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@26.5C AO@37.5C thermal@28C POM_5V_IN 5672/5452 POM_5V_GPU 3307/3026 POM_5V_CPU 124/159
RAM 1653/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,1%@102,19%@204,4%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@36.5C thermal@28C POM_5V_IN 5166/5416 POM_5V_GPU 2787/2996 POM_5V_CPU 166/160
RAM 1653/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,5%@204,19%@204,5%@204] EMC_FREQ 36%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@26.5C AO@36C thermal@28C POM_5V_IN 5524/5428 POM_5V_GPU 2865/2981 POM_5V_CPU 166/161
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,5%@102,19%@102,2%@102] EMC_FREQ 36%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@36.5C thermal@27.75C POM_5V_IN 5332/5418 POM_5V_GPU 2662/2949 POM_5V_CPU 166/161
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,16%@102,2%@102] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@36.5C thermal@27.75C POM_5V_IN 5491/5425 POM_5V_GPU 2782/2934 POM_5V_CPU 166/161
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,5%@204,21%@204,2%@204] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28C POM_5V_IN 5482/5430 POM_5V_GPU 2824/2925 POM_5V_CPU 124/158
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,4%@102,19%@102,3%@102] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@36C thermal@28C POM_5V_IN 5408/5428 POM_5V_GPU 2907/2923 POM_5V_CPU 166/159
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,3%@204,16%@204,5%@204] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27C AO@37C thermal@28.5C POM_5V_IN 5838/5457 POM_5V_GPU 3354/2954 POM_5V_CPU 165/159
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,13%@102,8%@102] EMC_FREQ 37%@1600 GR3D_FREQ 73%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27C AO@38C thermal@28C POM_5V_IN 5723/5475 POM_5V_GPU 3390/2983 POM_5V_CPU 165/160
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [15%@307,7%@204,11%@204,9%@204] EMC_FREQ 37%@1600 GR3D_FREQ 87%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@37C thermal@28.5C POM_5V_IN 5482/5475 POM_5V_GPU 3027/2986 POM_5V_CPU 165/160
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [16%@102,6%@102,9%@102,6%@204] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28.25C POM_5V_IN 5565/5481 POM_5V_GPU 2824/2976 POM_5V_CPU 166/160
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,8%@102,11%@204,7%@204] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30C PMIC@50C GPU@27C AO@37C thermal@28C POM_5V_IN 5797/5498 POM_5V_GPU 3472/3004 POM_5V_CPU 165/160
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,3%@204,19%@204,4%@204] EMC_FREQ 37%@1600 GR3D_FREQ 66%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@37.5C thermal@28.75C POM_5V_IN 5482/5497 POM_5V_GPU 3151/3012 POM_5V_CPU 165/161
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,6%@204,16%@204,3%@204] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27C AO@37.5C thermal@28.25C POM_5V_IN 5441/5494 POM_5V_GPU 3068/3014 POM_5V_CPU 165/161
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,6%@204,11%@204,7%@204] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27C AO@36C thermal@28.25C POM_5V_IN 5681/5503 POM_5V_GPU 3068/3017 POM_5V_CPU 124/159
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,6%@102,20%@102,3%@102] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@27.5C AO@36.5C thermal@28.25C POM_5V_IN 5847/5519 POM_5V_GPU 3193/3025 POM_5V_CPU 124/157
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,4%@307,22%@307,2%@307] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@27C AO@37.5C thermal@28.5C POM_5V_IN 5208/5505 POM_5V_GPU 2870/3018 POM_5V_CPU 166/158
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,4%@102,14%@102,5%@204] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27.5C AO@36.5C thermal@28.25C POM_5V_IN 5640/5511 POM_5V_GPU 2949/3015 POM_5V_CPU 165/158
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,4%@102,20%@102,6%@102] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@36C thermal@28.5C POM_5V_IN 5723/5519 POM_5V_GPU 3027/3016 POM_5V_CPU 166/158
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,6%@204,14%@204,4%@204] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38C thermal@28.25C POM_5V_IN 6182/5545 POM_5V_GPU 3456/3033 POM_5V_CPU 164/159
RAM 1654/3964MB (lfb 70x4MB) SWAP 155/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,5%@102,17%@102,12%@102] EMC_FREQ 37%@1600 GR3D_FREQ 65%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@27.5C AO@37.5C thermal@29C POM_5V_IN 5788/5554 POM_5V_GPU 3178/3038 POM_5V_CPU 165/159
