RAM 1719/3964MB (lfb 113x4MB) SWAP 231/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,2%@204,2%@204,0%@204] EMC_FREQ 31%@1600 GR3D_FREQ 67%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28.5C AO@38C thermal@29.5C POM_5V_IN 5124/5827 POM_5V_GPU 2704/3426 POM_5V_CPU 166/154
RAM 1719/3964MB (lfb 113x4MB) SWAP 231/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,2%@102,4%@204,1%@204] EMC_FREQ 31%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@29C AO@39.5C thermal@30C POM_5V_IN 5976/5836 POM_5V_GPU 3909/3455 POM_5V_CPU 123/152
RAM 1719/3964MB (lfb 113x4MB) SWAP 231/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,5%@102,6%@102,5%@102] EMC_FREQ 31%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@29C AO@39.5C thermal@30C POM_5V_IN 5705/5829 POM_5V_GPU 3591/3462 POM_5V_CPU 123/150
RAM 1719/3964MB (lfb 113x4MB) SWAP 231/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,2%@204,7%@204,0%@204] EMC_FREQ 31%@1600 GR3D_FREQ 62%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@29C AO@38C thermal@30C POM_5V_IN 5158/5793 POM_5V_GPU 2782/3426 POM_5V_CPU 124/149
RAM 1719/3964MB (lfb 113x4MB) SWAP 231/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,5%@102,7%@102,1%@204] EMC_FREQ 31%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@29.5C AO@39.5C thermal@30.25C POM_5V_IN 6058/5807 POM_5V_GPU 3909/3451 POM_5V_CPU 123/147
RAM 1719/3964MB (lfb 113x4MB) SWAP 231/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,4%@204,5%@204,6%@204] EMC_FREQ 31%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@29C AO@39.5C thermal@29.75C POM_5V_IN 5944/5813 POM_5V_GPU 3709/3463 POM_5V_CPU 123/146
RAM 1719/3964MB (lfb 113x4MB) SWAP 231/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,4%@403,3%@403,2%@403] EMC_FREQ 31%@1600 GR3D_FREQ 60%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@38.5C thermal@30.25C POM_5V_IN 5441/5796 POM_5V_GPU 3068/3445 POM_5V_CPU 124/145
RAM 1719/3964MB (lfb 113x4MB) SWAP 231/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,4%@204,4%@204,2%@204] EMC_FREQ 31%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@32C PMIC@50C GPU@28.5C AO@40C thermal@30.5C POM_5V_IN 5985/5804 POM_5V_GPU 3833/3462 POM_5V_CPU 123/144
RAM 1719/3964MB (lfb 113x4MB) SWAP 231/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,6%@307,4%@307,5%@307] EMC_FREQ 31%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@29C AO@39.5C thermal@29.25C POM_5V_IN 5746/5802 POM_5V_GPU 3550/3465 POM_5V_CPU 123/143
RAM 1719/3964MB (lfb 113x4MB) SWAP 231/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,3%@102,5%@102,3%@102] EMC_FREQ 31%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@29C AO@37.5C thermal@30C POM_5V_IN 5358/5784 POM_5V_GPU 2824/3440 POM_5V_CPU 124/143
