RAM 1734/3964MB (lfb 86x4MB) SWAP 76/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,7%@307,1%@307,3%@307] EMC_FREQ 16%@1600 GR3D_FREQ 62%@921 APE 25 PLL@26C CPU@30.5C PMIC@50C GPU@29C AO@38.5C thermal@31C POM_5V_IN 5598/5598 POM_5V_GPU 3147/3147 POM_5V_CPU 165/165
RAM 1734/3964MB (lfb 86x4MB) SWAP 76/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,12%@204,2%@204,1%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31C PMIC@50C GPU@29C AO@38.5C thermal@31C POM_5V_IN 5482/5540 POM_5V_GPU 3022/3084 POM_5V_CPU 165/165
RAM 1734/3964MB (lfb 86x4MB) SWAP 76/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,11%@204,2%@204,3%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31C PMIC@50C GPU@29.5C AO@38.5C thermal@31C POM_5V_IN 5607/5562 POM_5V_GPU 3068/3079 POM_5V_CPU 124/151
RAM 1734/3964MB (lfb 86x4MB) SWAP 76/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,11%@102,1%@102,3%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29.5C AO@38.5C thermal@30.5C POM_5V_IN 5681/5592 POM_5V_GPU 3064/3075 POM_5V_CPU 165/154
RAM 1734/3964MB (lfb 86x4MB) SWAP 76/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,13%@204,3%@204,1%@204] EMC_FREQ 34%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29.5C AO@38.5C thermal@31C POM_5V_IN 5366/5546 POM_5V_GPU 2985/3057 POM_5V_CPU 165/156
RAM 1734/3964MB (lfb 86x4MB) SWAP 76/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,10%@102,2%@102,4%@102] EMC_FREQ 36%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31C PMIC@50C GPU@29.5C AO@38.5C thermal@31.5C POM_5V_IN 5764/5583 POM_5V_GPU 3022/3051 POM_5V_CPU 165/158
RAM 1734/3964MB (lfb 86x4MB) SWAP 76/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,15%@204,3%@204,0%@204] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@29C AO@39.5C thermal@30.75C POM_5V_IN 5598/5585 POM_5V_GPU 3147/3065 POM_5V_CPU 165/159
RAM 1734/3964MB (lfb 86x4MB) SWAP 76/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,14%@204,4%@204,0%@204] EMC_FREQ 37%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@29.5C AO@39C thermal@30.25C POM_5V_IN 5524/5577 POM_5V_GPU 3105/3070 POM_5V_CPU 124/154
RAM 1734/3964MB (lfb 86x4MB) SWAP 76/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,10%@204,3%@204,1%@204] EMC_FREQ 38%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@29.5C AO@39.5C thermal@31.5C POM_5V_IN 5524/5571 POM_5V_GPU 3105/3073 POM_5V_CPU 165/155
RAM 1734/3964MB (lfb 86x4MB) SWAP 76/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,9%@102,7%@102,7%@102] EMC_FREQ 38%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29.5C AO@39C thermal@31.25C POM_5V_IN 5441/5558 POM_5V_GPU 2944/3060 POM_5V_CPU 165/156
RAM 1734/3964MB (lfb 86x4MB) SWAP 76/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,12%@307,3%@307,5%@307] EMC_FREQ 38%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@30C AO@39C thermal@30.75C POM_5V_IN 5723/5573 POM_5V_GPU 3183/3072 POM_5V_CPU 165/157
RAM 1734/3964MB (lfb 86x4MB) SWAP 76/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,13%@102,5%@102,2%@204] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@29C AO@39C thermal@31.5C POM_5V_IN 5616/5577 POM_5V_GPU 2865/3054 POM_5V_CPU 165/158
RAM 1734/3964MB (lfb 86x4MB) SWAP 76/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,8%@204,3%@204,4%@204] EMC_FREQ 38%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31C PMIC@50C GPU@29.5C AO@38.5C thermal@31.5C POM_5V_IN 5921/5603 POM_5V_GPU 3105/3058 POM_5V_CPU 165/158
RAM 1735/3964MB (lfb 86x4MB) SWAP 76/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,11%@204,11%@204,7%@204] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@30C AO@39.5C thermal@31.25C POM_5V_IN 5912/5625 POM_5V_GPU 3132/3063 POM_5V_CPU 164/159
RAM 1735/3964MB (lfb 86x4MB) SWAP 76/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,10%@204,11%@204,3%@204] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@31.5C PMIC@50C GPU@30C AO@39.5C thermal@31C POM_5V_IN 5985/5649 POM_5V_GPU 3091/3065 POM_5V_CPU 164/159
